Date,ARIES
2013-01-01,66.0
2013-01-02,66.05
2013-01-03,66.65
2013-01-04,64.75
2013-01-07,62.85
2013-01-08,62.8
2013-01-09,62.85
2013-01-10,62.1
2013-01-11,60.8
2013-01-14,61.5
2013-01-15,61.2
2013-01-16,59.9
2013-01-17,60.25
2013-01-18,60.0
2013-01-21,60.4
2013-01-22,61.6
2013-01-23,59.85
2013-01-24,56.45
2013-01-25,55.05
2013-01-28,55.65
2013-01-29,55.1
2013-01-30,54.85
2013-01-31,53.65
2013-02-01,54.2
2013-02-04,54.35
2013-02-05,53.15
2013-02-06,53.6
2013-02-07,52.4
2013-02-08,51.45
2013-02-11,50.55
2013-02-12,52.6
2013-02-13,50.0
2013-02-14,47.8
2013-02-15,46.3
2013-02-18,44.3
2013-02-19,42.6
2013-02-20,43.75
2013-02-21,42.85
2013-02-22,44.5
2013-02-25,43.0
2013-02-26,42.15
2013-02-27,42.5
2013-02-28,43.25
2013-03-01,42.55
2013-03-04,41.45
2013-03-05,43.0
2013-03-06,44.4
2013-03-07,44.65
2013-03-08,45.25
2013-03-11,46.2
2013-03-12,45.15
2013-03-13,43.95
2013-03-14,43.6
2013-03-15,43.8
2013-03-18,41.55
2013-03-19,40.85
2013-03-20,41.95
2013-03-21,38.5
2013-03-22,38.8
2013-03-25,39.6
2013-03-26,38.2
2013-03-28,45.1
2013-04-01,47.35
2013-04-02,50.4
2013-04-03,52.8
2013-04-04,48.8
2013-04-05,47.6
2013-04-08,47.6
2013-04-09,46.75
2013-04-10,46.6
2013-04-11,46.55
2013-04-12,45.75
2013-04-15,44.95
2013-04-16,46.15
2013-04-17,44.05
2013-04-18,45.2
2013-04-22,47.15
2013-04-23,45.75
2013-04-25,45.7
2013-04-26,45.65
2013-04-29,45.7
2013-04-30,44.6
2013-05-02,44.3
2013-05-03,44.2
2013-05-06,44.95
2013-05-07,44.35
2013-05-08,45.45
2013-05-09,45.0
2013-05-10,44.3
2013-05-11,44.5
2013-05-13,44.05
2013-05-14,45.45
2013-05-15,45.0
2013-05-16,44.4
2013-05-17,42.95
2013-05-20,42.5
2013-05-21,41.5
2013-05-22,40.25
2013-05-23,40.45
2013-05-24,41.75
2013-05-27,41.45
2013-05-28,42.2
2013-05-29,42.6
2013-05-30,43.4
2013-05-31,41.55
2013-06-03,40.35
2013-06-04,38.4
2013-06-05,37.5
2013-06-06,38.0
2013-06-07,38.35
2013-06-10,37.85
2013-06-11,39.1
2013-06-12,38.75
2013-06-13,38.9
2013-06-14,39.85
2013-06-17,40.3
2013-06-18,39.05
2013-06-19,38.4
2013-06-20,37.05
2013-06-21,36.0
2013-06-24,34.9
2013-06-25,34.0
2013-06-26,35.15
2013-06-27,34.1
2013-06-28,35.0
2013-07-01,35.9
2013-07-02,35.6
2013-07-03,34.5
2013-07-04,33.85
2013-07-05,34.1
2013-07-08,34.4
2013-07-09,34.45
2013-07-10,33.65
2013-07-11,34.1
2013-07-12,33.9
2013-07-15,36.4
2013-07-16,35.2
2013-07-17,36.3
2013-07-18,37.4
2013-07-19,37.75
2013-07-22,38.2
2013-07-23,41.55
2013-07-24,44.35
2013-07-25,41.65
2013-07-26,39.9
2013-07-29,40.0
2013-07-30,37.8
2013-07-31,40.0
2013-08-01,38.45
2013-08-02,37.85
2013-08-05,36.9
2013-08-06,36.7
2013-08-07,37.05
2013-08-08,36.9
2013-08-12,36.6
2013-08-13,38.8
2013-08-14,38.55
2013-08-16,39.85
2013-08-19,38.05
2013-08-20,40.45
2013-08-21,39.8
2013-08-22,39.95
2013-08-23,39.75
2013-08-26,39.75
2013-08-27,38.55
2013-08-28,38.05
2013-08-29,38.2
2013-08-30,38.7
2013-09-02,39.2
2013-09-03,39.15
2013-09-04,38.4
2013-09-05,39.0
2013-09-06,38.45
2013-09-10,39.5
2013-09-11,39.95
2013-09-12,39.1
2013-09-13,39.85
2013-09-16,39.8
2013-09-17,40.0
2013-09-18,40.05
2013-09-19,39.8
2013-09-20,38.35
2013-09-23,37.55
2013-09-24,37.1
2013-09-25,37.3
2013-09-26,36.4
2013-09-27,37.05
2013-09-30,36.75
2013-10-01,36.8
2013-10-03,37.5
2013-10-04,37.55
2013-10-07,37.0
2013-10-08,36.65
2013-10-09,36.9
2013-10-10,36.8
2013-10-11,36.75
2013-10-14,36.65
2013-10-15,36.25
2013-10-17,36.1
2013-10-18,35.9
2013-10-21,36.2
2013-10-22,36.0
2013-10-23,35.85
2013-10-24,35.85
2013-10-25,36.05
2013-10-28,35.6
2013-10-29,35.5
2013-10-30,36.85
2013-10-31,36.2
2013-11-01,35.8
2013-11-03,37.3
2013-11-05,36.7
2013-11-06,36.65
2013-11-07,36.65
2013-11-08,36.1
2013-11-11,36.15
2013-11-12,35.5
2013-11-13,34.85
2013-11-14,36.85
2013-11-18,38.2
2013-11-19,38.2
2013-11-20,44.0
2013-11-21,43.7
2013-11-22,43.05
2013-11-25,44.95
2013-11-26,42.45
2013-11-27,42.05
2013-11-28,42.9
2013-11-29,41.0
2013-12-02,41.65
2013-12-03,41.55
2013-12-04,40.65
2013-12-05,41.55
2013-12-06,40.6
2013-12-09,43.45
2013-12-10,42.9
2013-12-11,42.4
2013-12-12,41.65
2013-12-13,40.4
2013-12-16,41.6
2013-12-17,40.45
2013-12-18,42.4
2013-12-19,41.0
2013-12-20,41.2
2013-12-23,41.45
2013-12-24,41.2
2013-12-26,43.85
2013-12-27,42.45
2013-12-30,42.8
2013-12-31,51.35
