Date,AARVEEDEN
2017-01-02,80.7
2017-01-03,83.15
2017-01-04,85.5
2017-01-05,84.4
2017-01-06,84.55
2017-01-09,88.5
2017-01-10,86.75
2017-01-11,86.95
2017-01-12,84.8
2017-01-13,85.05
2017-01-16,92.1
2017-01-17,93.7
2017-01-18,91.15
2017-01-19,89.2
2017-01-20,87.85
2017-01-23,91.95
2017-01-24,91.3
2017-01-25,90.2
2017-01-27,89.85
2017-01-30,86.7
2017-01-31,85.9
2017-02-01,86.25
2017-02-02,87.25
2017-02-03,91.55
2017-02-06,93.25
2017-02-07,91.35
2017-02-08,89.65
2017-02-09,87.5
2017-02-10,86.7
2017-02-13,76.6
2017-02-14,75.15
2017-02-15,73.25
2017-02-16,74.0
2017-02-17,73.45
2017-02-20,74.1
2017-02-21,75.25
2017-02-22,74.9
2017-02-23,73.8
2017-02-27,73.5
2017-02-28,73.5
2017-03-01,74.7
2017-03-02,74.35
2017-03-03,74.4
2017-03-06,74.1
2017-03-07,73.65
2017-03-08,74.05
2017-03-09,74.35
2017-03-10,73.2
2017-03-14,73.7
2017-03-15,74.7
2017-03-16,74.4
2017-03-17,74.65
2017-03-20,74.2
2017-03-21,73.0
2017-03-22,72.7
2017-03-23,73.9
2017-03-24,80.75
2017-03-27,77.8
2017-03-28,77.8
2017-03-29,75.65
2017-03-30,75.85
2017-03-31,74.35
2017-04-03,73.75
2017-04-05,73.85
2017-04-06,72.45
2017-04-07,72.3
2017-04-10,71.3
2017-04-11,72.45
2017-04-12,71.25
2017-04-13,73.9
2017-04-17,72.55
2017-04-18,70.95
2017-04-19,70.75
2017-04-20,71.6
2017-04-21,72.3
2017-04-24,75.3
2017-04-25,73.2
2017-04-26,71.55
2017-04-27,70.6
2017-04-28,70.35
2017-05-02,70.7
2017-05-03,70.8
2017-05-04,71.05
2017-05-05,72.8
2017-05-08,71.0
2017-05-09,71.2
2017-05-10,71.05
2017-05-11,70.8
2017-05-12,70.35
2017-05-15,70.9
2017-05-16,69.75
2017-05-17,68.45
2017-05-18,67.05
2017-05-19,66.05
2017-05-22,64.8
2017-05-23,65.0
2017-05-24,60.25
2017-05-25,63.4
2017-05-26,62.4
2017-05-29,61.6
2017-05-30,60.4
2017-05-31,61.35
2017-06-01,61.6
2017-06-02,63.3
2017-06-05,63.55
2017-06-06,62.65
2017-06-07,61.7
2017-06-08,62.35
2017-06-09,61.5
2017-06-12,61.5
2017-06-13,61.55
2017-06-14,61.9
2017-06-15,61.55
2017-06-16,61.65
2017-06-19,63.85
2017-06-20,65.8
2017-06-21,65.9
2017-06-22,65.2
2017-06-23,61.4
2017-06-27,58.85
2017-06-28,59.5
2017-06-29,60.6
2017-06-30,59.3
2017-07-03,61.15
2017-07-04,60.6
2017-07-05,61.85
2017-07-06,64.3
2017-07-07,64.85
2017-07-10,63.85
2017-07-11,63.05
2017-07-12,65.5
2017-07-13,66.95
2017-07-14,64.95
2017-07-17,65.95
2017-07-18,63.5
2017-07-19,63.9
2017-07-20,63.65
2017-07-21,64.7
2017-07-24,62.8
2017-07-25,63.15
2017-07-26,62.8
2017-07-27,63.3
2017-07-28,62.6
2017-07-31,62.3
2017-08-01,61.85
2017-08-02,61.6
2017-08-03,60.95
2017-08-04,61.1
2017-08-07,57.3
2017-08-08,57.05
2017-08-09,55.1
2017-08-10,44.85
2017-08-11,35.9
2017-08-14,32.65
2017-08-16,29.4
2017-08-17,32.3
2017-08-18,35.5
2017-08-21,33.95
2017-08-22,33.5
2017-08-23,34.85
2017-08-24,34.55
2017-08-28,34.8
2017-08-29,32.95
2017-08-30,34.05
2017-08-31,37.45
2017-09-01,41.15
2017-09-04,45.25
2017-09-05,47.5
2017-09-06,49.85
2017-09-07,52.3
2017-09-08,54.9
2017-09-11,52.2
2017-09-12,49.6
2017-09-13,47.15
2017-11-14,46.1
2017-11-15,43.8
2017-11-16,44.95
2017-11-17,44.85
2017-11-20,45.35
2017-11-21,45.65
2017-11-22,47.9
2017-11-23,49.6
2017-11-24,47.5
2017-11-27,47.9
2017-11-28,47.1
2017-11-29,46.55
2017-11-30,46.35
2017-12-01,45.65
2017-12-04,46.4
2017-12-05,46.35
2017-12-06,46.1
2017-12-07,47.85
2017-12-08,47.4
2017-12-11,45.6
2017-12-12,46.0
2017-12-13,45.8
2017-12-14,45.0
2017-12-15,45.1
2017-12-18,45.75
2017-12-19,47.65
2017-12-20,47.45
2017-12-21,48.6
2017-12-22,48.85
2017-12-26,49.1
2017-12-27,48.55
2017-12-28,49.95
2017-12-29,49.5
