Date,GEOJITFSL
2017-01-02,35.3
2017-01-03,35.5
2017-01-04,35.25
2017-01-05,36.45
2017-01-06,36.2
2017-01-09,35.65
2017-01-10,36.0
2017-01-11,36.9
2017-01-12,36.55
2017-01-13,36.8
2017-01-16,36.05
2017-01-17,36.15
2017-01-18,37.2
2017-01-19,36.8
2017-01-20,36.6
2017-01-23,36.6
2017-01-24,36.7
2017-01-25,36.75
2017-01-27,38.05
2017-01-30,39.45
2017-01-31,38.95
2017-02-01,38.7
2017-02-02,39.3
2017-02-03,39.05
2017-02-06,39.5
2017-02-07,39.3
2017-02-08,39.15
2017-02-09,39.15
2017-02-10,39.25
2017-02-13,40.8
2017-02-14,40.45
2017-02-15,39.6
2017-02-16,40.8
2017-02-17,40.9
2017-02-20,41.4
2017-02-21,42.65
2017-02-22,42.0
2017-02-23,41.9
2017-02-27,40.9
2017-02-28,44.0
2017-03-01,43.7
2017-03-02,42.35
2017-03-03,43.05
2017-03-06,44.55
2017-03-07,46.8
2017-03-08,45.7
2017-03-09,49.05
2017-03-10,48.3
2017-03-14,49.3
2017-03-15,49.75
2017-03-16,50.95
2017-03-17,49.8
2017-03-20,50.4
2017-03-21,49.6
2017-03-22,48.7
2017-03-23,48.35
2017-03-24,47.65
2017-03-27,47.1
2017-03-28,49.25
2017-03-29,51.0
2017-03-30,52.7
2017-03-31,59.15
2017-04-03,59.65
2017-04-05,61.8
2017-04-06,60.65
2017-04-07,59.65
2017-04-10,60.5
2017-04-11,61.25
2017-04-12,60.4
2017-04-13,59.6
2017-04-17,59.35
2017-04-18,59.0
2017-04-19,59.55
2017-04-20,59.8
2017-04-21,59.65
2017-04-24,63.65
2017-04-25,65.55
2017-04-26,63.55
2017-04-27,65.55
2017-04-28,63.15
2017-05-02,62.95
2017-05-03,64.0
2017-05-04,64.65
2017-05-05,64.1
2017-05-08,67.9
2017-05-09,69.85
2017-05-10,70.0
2017-05-11,71.65
2017-05-12,71.25
2017-05-15,77.75
2017-05-16,77.95
2017-05-17,80.8
2017-05-18,76.8
2017-05-19,76.0
2017-05-22,77.1
2017-05-23,74.2
2017-05-24,72.3
2017-05-25,74.75
2017-05-26,78.45
2017-05-29,74.2
2017-05-30,75.2
2017-05-31,77.0
2017-06-01,78.35
2017-06-02,80.0
2017-06-05,83.9
2017-06-06,82.6
2017-06-07,86.5
2017-06-08,89.5
2017-06-09,93.0
2017-06-12,91.45
2017-06-13,94.95
2017-06-14,104.0
2017-06-15,104.5
2017-06-16,103.75
2017-06-19,98.65
2017-06-20,99.85
2017-06-21,99.95
2017-06-22,100.3
2017-06-23,99.55
2017-06-27,98.45
2017-06-28,97.05
2017-06-29,97.75
2017-06-30,97.8
2017-07-03,98.5
2017-07-04,102.65
2017-07-05,104.65
2017-07-06,107.45
2017-07-07,108.1
2017-07-10,108.4
2017-07-11,104.45
2017-07-12,105.2
2017-07-13,107.4
2017-07-14,104.6
2017-07-17,105.1
2017-07-18,104.0
2017-07-19,104.85
2017-07-20,108.55
2017-07-21,105.35
2017-07-24,107.75
2017-07-25,107.95
2017-07-26,106.65
2017-07-27,107.45
2017-07-28,108.5
2017-07-31,108.25
2017-08-01,109.15
2017-08-02,109.3
2017-08-03,108.5
2017-08-04,109.9
2017-08-07,112.55
2017-08-08,111.7
2017-08-09,109.2
2017-08-10,103.25
2017-08-11,97.1
2017-08-14,99.95
2017-08-16,102.4
2017-08-17,104.15
2017-08-18,103.6
2017-08-21,102.1
2017-08-22,101.25
2017-08-23,100.95
2017-08-24,101.45
2017-08-28,102.2
2017-08-29,99.05
2017-08-30,103.0
2017-08-31,111.5
2017-09-01,117.4
2017-09-04,115.5
2017-09-05,116.2
2017-09-06,115.2
2017-09-07,117.0
2017-09-08,114.35
2017-09-11,112.45
2017-09-12,112.5
2017-09-13,115.0
2017-09-14,114.55
2017-09-15,113.6
2017-09-18,116.5
2017-09-19,124.3
2017-09-20,127.2
2017-09-21,128.75
2017-09-22,120.65
2017-09-25,115.7
2017-09-26,115.95
2017-09-27,117.95
2017-09-28,121.25
2017-09-29,123.2
2017-10-03,125.05
2017-10-04,133.6
2017-10-05,137.8
2017-10-06,142.7
2017-10-09,137.4
2017-10-10,142.95
2017-10-11,138.55
2017-10-12,142.05
2017-10-13,136.05
2017-10-16,133.8
2017-10-17,133.85
2017-10-18,134.75
2017-10-19,135.2
2017-10-23,135.65
2017-10-24,136.2
2017-10-25,128.15
2017-10-26,133.25
2017-10-27,129.95
2017-10-30,129.3
2017-10-31,128.65
2017-11-01,128.2
2017-11-02,126.35
2017-11-03,124.85
2017-11-06,124.15
2017-11-07,120.45
2017-11-08,115.9
2017-11-09,114.8
2017-11-10,120.15
2017-11-13,118.65
2017-11-14,121.05
2017-11-15,118.2
2017-11-16,122.3
2017-11-17,119.0
2017-11-20,119.75
2017-11-21,121.65
2017-11-22,118.75
2017-11-23,122.85
2017-11-24,122.25
2017-11-27,124.75
2017-11-28,121.55
2017-11-29,119.0
2017-11-30,118.05
2017-12-01,117.55
2017-12-04,118.05
2017-12-05,118.2
2017-12-06,118.0
2017-12-07,118.65
2017-12-08,120.4
2017-12-11,118.4
2017-12-12,115.95
2017-12-13,115.45
2017-12-14,113.65
2017-12-15,115.8
2017-12-18,119.25
2017-12-19,123.6
2017-12-20,123.95
2017-12-21,124.1
2017-12-22,122.7
2017-12-26,122.75
2017-12-27,124.1
2017-12-28,120.65
2017-12-29,121.65
