Date,SURYAROSNI
2017-01-02,177.0
2017-01-03,181.9
2017-01-04,181.7
2017-01-05,183.05
2017-01-06,185.3
2017-01-09,188.4
2017-01-10,188.1
2017-01-11,189.85
2017-01-12,191.45
2017-01-13,187.65
2017-01-16,188.5
2017-01-17,188.45
2017-01-18,189.45
2017-01-19,188.25
2017-01-20,183.5
2017-01-23,184.3
2017-01-24,185.7
2017-01-25,188.15
2017-01-27,191.15
2017-01-30,188.6
2017-01-31,184.4
2017-02-01,187.7
2017-02-02,191.5
2017-02-03,191.0
2017-02-06,191.1
2017-02-07,190.35
2017-02-08,190.35
2017-02-09,188.4
2017-02-10,186.7
2017-02-13,184.75
2017-02-14,183.55
2017-02-15,184.15
2017-02-16,181.95
2017-02-17,185.55
2017-02-20,185.4
2017-02-21,190.1
2017-02-22,194.1
2017-02-23,191.8
2017-02-27,186.8
2017-02-28,185.85
2017-03-01,193.55
2017-03-02,193.0
2017-03-03,187.45
2017-03-06,188.0
2017-03-07,185.65
2017-03-08,182.35
2017-03-09,184.1
2017-03-10,183.1
2017-03-14,185.2
2017-03-15,186.6
2017-03-16,184.55
2017-03-17,188.65
2017-03-20,189.75
2017-03-21,187.95
2017-03-22,187.05
2017-03-23,188.35
2017-03-24,197.25
2017-03-27,200.8
2017-03-28,196.9
2017-03-29,201.2
2017-03-30,203.25
2017-03-31,212.65
2017-04-03,214.85
2017-04-05,212.7
2017-04-06,209.4
2017-04-07,209.2
2017-04-10,209.0
2017-04-11,210.75
2017-04-12,209.55
2017-04-13,209.65
2017-04-17,215.5
2017-04-18,209.1
2017-04-19,217.45
2017-04-20,216.3
2017-04-21,213.15
2017-04-24,211.7
2017-04-25,211.65
2017-04-26,221.95
2017-04-27,255.8
2017-04-28,264.7
2017-05-02,263.8
2017-05-03,275.2
2017-05-04,290.05
2017-05-05,282.0
2017-05-08,282.35
2017-05-09,277.0
2017-05-10,284.05
2017-05-11,279.4
2017-05-12,271.75
2017-05-15,273.15
2017-05-16,285.85
2017-05-17,286.6
2017-05-18,280.3
2017-05-19,278.3
2017-05-22,276.35
2017-05-23,266.15
2017-05-24,263.55
2017-05-25,265.85
2017-05-26,272.15
2017-05-29,262.1
2017-05-30,281.8
2017-05-31,281.4
2017-06-01,283.45
2017-06-02,286.2
2017-06-05,288.7
2017-06-06,282.35
2017-06-07,290.05
2017-06-08,293.5
2017-06-09,288.8
2017-06-12,285.35
2017-06-13,284.9
2017-06-14,281.85
2017-06-15,286.05
2017-06-16,283.65
2017-06-19,286.25
2017-06-20,292.0
2017-06-21,300.65
2017-06-22,295.2
2017-06-23,285.9
2017-06-27,286.4
2017-06-28,282.2
2017-06-29,283.5
2017-06-30,282.35
2017-07-03,285.55
2017-07-04,285.8
2017-07-05,293.3
2017-07-06,287.85
2017-07-07,288.6
2017-07-10,288.05
2017-07-11,284.55
2017-07-12,284.15
2017-07-13,285.05
2017-07-14,280.65
2017-07-17,280.1
2017-07-18,278.25
2017-07-19,286.25
2017-07-20,292.5
2017-07-21,290.2
2017-07-24,290.35
2017-07-25,291.85
2017-07-26,290.25
2017-07-27,288.7
2017-07-28,279.0
2017-07-31,281.8
2017-08-01,281.9
2017-08-02,278.4
2017-08-03,285.0
2017-08-04,284.95
2017-08-07,282.05
2017-08-08,272.35
2017-08-09,271.3
2017-08-10,253.25
2017-08-11,250.5
2017-08-14,254.65
2017-08-16,255.7
2017-08-17,278.85
2017-08-18,276.75
2017-08-21,275.65
2017-08-22,270.9
2017-08-23,275.8
2017-08-24,274.4
2017-08-28,281.25
2017-08-29,281.85
2017-08-30,286.45
2017-08-31,284.45
2017-09-01,290.8
2017-09-04,314.4
2017-09-05,309.9
2017-09-06,307.15
2017-09-07,306.6
2017-09-08,301.45
2017-09-11,305.2
2017-09-12,310.5
2017-09-13,303.15
2017-09-14,305.05
2017-09-15,306.55
2017-09-18,309.1
2017-09-19,318.1
2017-09-20,319.0
2017-09-21,319.35
2017-09-22,303.15
2017-09-25,294.95
2017-09-26,306.25
2017-09-27,290.7
2017-09-28,293.2
2017-09-29,294.5
2017-10-03,295.45
2017-10-04,297.3
2017-10-05,302.9
2017-10-06,314.55
2017-10-09,313.8
2017-10-10,309.8
2017-10-11,302.9
2017-10-12,305.0
2017-10-13,308.35
2017-10-16,307.1
2017-10-17,308.65
2017-10-18,323.35
2017-10-19,322.75
2017-10-23,316.55
2017-10-24,326.35
2017-10-25,327.85
2017-10-26,337.15
2017-10-27,377.45
2017-10-30,377.5
2017-10-31,369.95
2017-11-01,372.1
2017-11-02,369.2
2017-11-03,371.65
2017-11-06,378.55
2017-11-07,364.5
2017-11-08,364.1
2017-11-09,365.7
2017-11-10,369.95
2017-11-13,360.3
2017-11-14,353.35
2017-11-15,343.35
2017-11-16,367.55
2017-11-17,379.55
2017-11-20,376.25
2017-11-21,370.4
2017-11-22,372.05
2017-11-23,393.4
2017-11-24,387.95
2017-11-27,395.85
2017-11-28,390.2
2017-11-29,380.5
2017-11-30,382.6
2017-12-01,375.15
2017-12-04,369.65
2017-12-05,361.0
2017-12-06,363.3
2017-12-07,370.45
2017-12-08,376.5
2017-12-11,379.2
2017-12-12,379.95
2017-12-13,370.65
2017-12-14,368.85
2017-12-15,368.35
2017-12-18,380.0
2017-12-19,384.6
2017-12-20,387.5
2017-12-21,385.65
2017-12-22,385.9
2017-12-26,384.25
2017-12-27,387.1
2017-12-28,394.95
2017-12-29,393.8
