Date,BAJAJHIND
2017-01-02,14.75
2017-01-03,15.1
2017-01-04,15.25
2017-01-05,14.95
2017-01-06,14.75
2017-01-09,14.8
2017-01-10,15.8
2017-01-11,15.4
2017-01-12,15.0
2017-01-13,15.2
2017-01-16,14.8
2017-01-17,14.9
2017-01-18,14.75
2017-01-19,14.55
2017-01-20,14.35
2017-01-23,14.2
2017-01-24,14.35
2017-01-25,14.35
2017-01-27,14.45
2017-01-30,14.3
2017-01-31,14.45
2017-02-01,14.4
2017-02-02,14.8
2017-02-03,15.0
2017-02-06,16.25
2017-02-07,15.9
2017-02-08,15.55
2017-02-09,15.75
2017-02-10,15.75
2017-02-13,15.65
2017-02-14,15.05
2017-02-15,14.4
2017-02-16,14.55
2017-02-17,14.4
2017-02-20,15.2
2017-02-21,15.1
2017-02-22,14.6
2017-02-23,14.55
2017-02-27,14.35
2017-02-28,14.5
2017-03-01,14.55
2017-03-02,14.35
2017-03-03,14.45
2017-03-06,14.6
2017-03-07,14.35
2017-03-08,14.1
2017-03-09,14.2
2017-03-10,14.15
2017-03-14,14.2
2017-03-15,14.05
2017-03-16,14.1
2017-03-17,14.25
2017-03-20,14.1
2017-03-21,14.0
2017-03-22,14.0
2017-03-23,13.95
2017-03-24,13.75
2017-03-27,13.45
2017-03-28,13.45
2017-03-29,13.1
2017-03-30,13.4
2017-03-31,13.35
2017-04-03,13.7
2017-04-05,14.0
2017-04-06,14.1
2017-04-07,13.65
2017-04-10,14.0
2017-04-11,14.2
2017-04-12,14.2
2017-04-13,14.2
2017-04-17,14.25
2017-04-18,14.05
2017-04-19,14.45
2017-04-20,15.6
2017-04-21,17.55
2017-04-24,17.75
2017-04-25,17.1
2017-04-26,16.7
2017-04-27,16.85
2017-04-28,16.65
2017-05-02,16.25
2017-05-03,16.1
2017-05-04,16.15
2017-05-05,15.55
2017-05-08,15.25
2017-05-09,16.4
2017-05-10,16.55
2017-05-11,16.55
2017-05-12,16.75
2017-05-15,16.45
2017-05-16,16.35
2017-05-17,16.5
2017-05-18,15.85
2017-05-19,15.7
2017-05-22,15.3
2017-05-23,14.65
2017-05-24,14.3
2017-05-25,16.15
2017-05-26,16.15
2017-05-29,15.85
2017-05-30,15.55
2017-05-31,15.4
2017-06-01,16.0
2017-06-02,16.55
2017-06-05,16.1
2017-06-06,15.85
2017-06-07,15.65
2017-06-08,15.55
2017-06-09,15.55
2017-06-12,15.35
2017-06-13,15.5
2017-06-14,15.2
2017-06-15,15.1
2017-06-16,15.2
2017-06-19,14.95
2017-06-20,14.7
2017-06-21,15.25
2017-06-22,14.9
2017-06-23,14.5
2017-06-27,14.35
2017-06-28,14.35
2017-06-29,14.55
2017-06-30,14.65
2017-07-03,14.8
2017-07-04,14.85
2017-07-05,14.9
2017-07-06,14.95
2017-07-07,16.35
2017-07-10,15.9
2017-07-11,15.75
2017-07-12,15.7
2017-07-13,15.15
2017-07-14,15.3
2017-07-17,15.15
2017-07-18,15.05
2017-07-19,15.0
2017-07-20,15.6
2017-07-21,16.45
2017-07-24,16.0
2017-07-25,17.2
2017-07-26,16.55
2017-07-27,15.8
2017-07-28,15.65
2017-07-31,15.9
2017-08-01,15.75
2017-08-02,15.9
2017-08-03,15.5
2017-08-04,15.65
2017-08-07,16.05
2017-08-08,15.3
2017-08-09,14.85
2017-08-10,14.6
2017-08-11,14.5
2017-08-14,15.2
2017-08-16,15.2
2017-08-17,15.15
2017-08-18,14.8
2017-08-21,14.55
2017-08-22,14.5
2017-08-23,14.45
2017-08-24,14.9
2017-08-28,14.9
2017-08-29,14.55
2017-08-30,14.55
2017-08-31,14.65
2017-09-01,14.55
2017-09-04,14.5
2017-09-05,14.6
2017-09-06,14.5
2017-09-07,14.7
2017-09-08,14.6
2017-09-11,14.7
2017-09-12,14.7
2017-09-13,14.75
2017-09-14,14.85
2017-09-15,14.65
2017-09-18,14.7
2017-09-19,14.65
2017-09-20,14.55
2017-09-21,14.5
2017-09-22,14.3
2017-09-25,13.7
2017-09-26,13.6
2017-09-27,13.5
2017-09-28,13.6
2017-09-29,13.6
2017-10-03,13.6
2017-10-04,13.55
2017-10-05,13.45
2017-10-06,13.85
2017-10-09,14.2
2017-10-10,15.0
2017-10-11,14.45
2017-10-12,14.55
2017-10-13,14.65
2017-10-16,14.5
2017-10-17,14.3
2017-10-18,14.3
2017-10-19,14.25
2017-10-23,14.35
2017-10-24,14.3
2017-10-25,14.45
2017-10-26,14.45
2017-10-27,14.65
2017-10-30,14.95
2017-10-31,14.9
2017-11-01,15.4
2017-11-02,15.1
2017-11-03,15.65
2017-11-06,15.35
2017-11-07,14.75
2017-11-08,14.65
2017-11-09,14.85
2017-11-10,14.85
2017-11-13,14.9
2017-11-14,14.75
2017-11-15,14.35
2017-11-16,14.25
2017-11-17,14.75
2017-11-20,14.95
2017-11-21,14.95
2017-11-22,14.8
2017-11-23,15.7
2017-11-24,15.45
2017-11-27,15.35
2017-11-28,15.5
2017-11-29,15.25
2017-11-30,15.25
2017-12-01,15.1
2017-12-04,15.15
2017-12-05,15.15
2017-12-06,15.0
2017-12-07,15.05
2017-12-08,14.95
2017-12-11,14.85
2017-12-12,14.7
2017-12-13,14.35
2017-12-14,14.15
2017-12-15,14.2
2017-12-18,14.0
2017-12-19,14.5
2017-12-20,14.55
2017-12-21,14.6
2017-12-22,14.6
2017-12-26,14.7
2017-12-27,14.55
2017-12-28,14.5
2017-12-29,15.4
