Date,TATAMOTORS
2017-01-02,487.05
2017-01-03,481.1
2017-01-04,486.65
2017-01-05,502.15
2017-01-06,497.75
2017-01-09,500.15
2017-01-10,516.25
2017-01-11,519.25
2017-01-12,518.25
2017-01-13,514.85
2017-01-16,526.4
2017-01-17,523.7
2017-01-18,522.45
2017-01-19,531.45
2017-01-20,523.2
2017-01-23,532.7
2017-01-24,541.55
2017-01-25,548.9
2017-01-27,541.95
2017-01-30,532.3
2017-01-31,523.55
2017-02-01,542.25
2017-02-02,531.5
2017-02-03,522.6
2017-02-06,525.85
2017-02-07,506.8
2017-02-08,513.05
2017-02-09,512.85
2017-02-10,509.55
2017-02-13,505.3
2017-02-14,482.05
2017-02-15,436.45
2017-02-16,446.0
2017-02-17,452.95
2017-02-20,455.45
2017-02-21,458.65
2017-02-22,460.05
2017-02-23,462.35
2017-02-27,457.8
2017-02-28,456.75
2017-03-01,449.45
2017-03-02,461.7
2017-03-03,459.95
2017-03-06,470.8
2017-03-07,467.55
2017-03-08,462.8
2017-03-09,467.6
2017-03-10,469.1
2017-03-14,469.75
2017-03-15,473.45
2017-03-16,480.95
2017-03-17,476.5
2017-03-20,476.0
2017-03-21,473.75
2017-03-22,459.9
2017-03-23,472.9
2017-03-24,470.4
2017-03-27,464.75
2017-03-28,472.4
2017-03-29,469.05
2017-03-30,468.4
2017-03-31,465.85
2017-04-03,470.4
2017-04-05,473.5
2017-04-06,473.2
2017-04-07,468.3
2017-04-10,474.9
2017-04-11,472.25
2017-04-12,464.55
2017-04-13,453.35
2017-04-17,449.2
2017-04-18,443.7
2017-04-19,443.05
2017-04-20,443.95
2017-04-21,440.6
2017-04-24,443.85
2017-04-25,445.65
2017-04-26,450.8
2017-04-27,455.35
2017-04-28,458.9
2017-05-02,451.25
2017-05-03,446.6
2017-05-04,436.5
2017-05-05,419.6
2017-05-08,422.65
2017-05-09,426.8
2017-05-10,432.3
2017-05-11,427.45
2017-05-12,430.85
2017-05-15,431.9
2017-05-16,437.25
2017-05-17,449.1
2017-05-18,437.95
2017-05-19,443.35
2017-05-22,449.65
2017-05-23,450.5
2017-05-24,469.55
2017-05-25,476.0
2017-05-26,481.1
2017-05-29,481.5
2017-05-30,481.3
2017-05-31,476.15
2017-06-01,476.65
2017-06-02,478.75
2017-06-05,478.15
2017-06-06,461.0
2017-06-07,458.0
2017-06-08,460.8
2017-06-09,467.1
2017-06-12,456.25
2017-06-13,449.55
2017-06-14,451.95
2017-06-15,448.3
2017-06-16,455.75
2017-06-19,452.35
2017-06-20,467.4
2017-06-21,457.3
2017-06-22,452.7
2017-06-23,443.15
2017-06-27,442.3
2017-06-28,442.5
2017-06-29,435.6
2017-06-30,432.55
2017-07-03,430.25
2017-07-04,426.9
2017-07-05,431.75
2017-07-06,437.1
2017-07-07,436.85
2017-07-10,446.95
2017-07-11,456.95
2017-07-12,461.0
2017-07-13,459.05
2017-07-14,451.3
2017-07-17,454.15
2017-07-18,456.15
2017-07-19,460.6
2017-07-20,460.15
2017-07-21,464.6
2017-07-24,464.0
2017-07-25,456.1
2017-07-26,457.3
2017-07-27,445.4
2017-07-28,445.85
2017-07-31,444.6
2017-08-01,446.9
2017-08-02,440.35
2017-08-03,431.45
2017-08-04,435.6
2017-08-07,430.0
2017-08-08,430.0
2017-08-09,416.05
2017-08-10,380.2
2017-08-11,374.5
2017-08-14,375.4
2017-08-16,389.25
2017-08-17,385.3
2017-08-18,380.4
2017-08-21,374.35
2017-08-22,373.6
2017-08-23,379.95
2017-08-24,384.15
2017-08-28,379.3
2017-08-29,376.1
2017-08-30,378.5
2017-08-31,376.55
2017-09-01,390.85
2017-09-04,383.4
2017-09-05,388.15
2017-09-06,382.7
2017-09-07,378.15
2017-09-08,375.05
2017-09-11,375.3
2017-09-12,388.25
2017-09-13,389.65
2017-09-14,404.4
2017-09-15,401.75
2017-09-18,404.95
2017-09-19,423.65
2017-09-20,414.8
2017-09-21,413.65
2017-09-22,411.8
2017-09-25,408.2
2017-09-26,411.25
2017-09-27,404.9
2017-09-28,401.4
2017-09-29,401.5
2017-10-03,416.0
2017-10-04,423.55
2017-10-05,423.3
2017-10-06,424.85
2017-10-09,425.6
2017-10-10,423.6
2017-10-11,415.5
2017-10-12,420.15
2017-10-13,424.8
2017-10-16,437.05
2017-10-17,432.3
2017-10-18,433.2
2017-10-19,426.95
2017-10-23,422.75
2017-10-24,416.05
2017-10-25,421.95
2017-10-26,419.4
2017-10-27,429.9
2017-10-30,436.55
2017-10-31,428.4
2017-11-01,437.75
2017-11-02,434.9
2017-11-03,447.7
2017-11-06,462.9
2017-11-07,451.85
2017-11-08,438.2
2017-11-09,440.15
2017-11-10,422.55
2017-11-13,418.1
2017-11-14,414.3
2017-11-15,408.65
2017-11-16,413.45
2017-11-17,421.8
2017-11-20,423.0
2017-11-21,424.25
2017-11-22,428.6
2017-11-23,426.25
2017-11-24,425.5
2017-11-27,421.4
2017-11-28,415.95
2017-11-29,413.95
2017-11-30,404.15
2017-12-01,398.9
2017-12-04,403.65
2017-12-05,402.25
2017-12-06,397.05
2017-12-07,402.0
2017-12-08,411.15
2017-12-11,410.15
2017-12-12,406.85
2017-12-13,401.95
2017-12-14,402.4
2017-12-15,405.1
2017-12-18,405.8
2017-12-19,420.1
2017-12-20,422.6
2017-12-21,420.8
2017-12-22,422.0
2017-12-26,424.2
2017-12-27,422.45
2017-12-28,418.6
2017-12-29,431.85
