Date,KCPSUGIND
2017-01-02,32.7
2017-01-03,32.25
2017-01-04,31.8
2017-01-05,32.0
2017-01-06,32.1
2017-01-09,32.65
2017-01-10,34.1
2017-01-11,34.1
2017-01-12,33.65
2017-01-13,33.95
2017-01-16,34.0
2017-01-17,34.05
2017-01-18,33.6
2017-01-19,34.05
2017-01-20,32.9
2017-01-23,33.25
2017-01-24,34.4
2017-01-25,34.25
2017-01-27,33.3
2017-01-30,33.8
2017-01-31,32.9
2017-02-01,33.45
2017-02-02,34.55
2017-02-03,37.4
2017-02-06,41.5
2017-02-07,40.6
2017-02-08,40.95
2017-02-09,39.1
2017-02-10,40.2
2017-02-13,39.0
2017-02-14,38.15
2017-02-15,39.05
2017-02-16,41.35
2017-02-17,40.8
2017-02-20,41.0
2017-02-21,40.2
2017-02-22,39.35
2017-02-23,40.1
2017-02-27,40.1
2017-02-28,39.45
2017-03-01,39.05
2017-03-02,37.9
2017-03-03,38.95
2017-03-06,39.05
2017-03-07,38.0
2017-03-08,37.35
2017-03-09,37.6
2017-03-10,37.6
2017-03-14,36.5
2017-03-15,35.95
2017-03-16,36.0
2017-03-17,36.75
2017-03-20,36.15
2017-03-21,35.65
2017-03-22,34.85
2017-03-23,37.15
2017-03-24,36.1
2017-03-27,35.75
2017-03-28,35.95
2017-03-29,35.55
2017-03-30,36.95
2017-03-31,38.05
2017-04-03,38.8
2017-04-05,38.5
2017-04-06,37.9
2017-04-07,37.85
2017-04-10,37.85
2017-04-11,37.65
2017-04-12,38.15
2017-04-13,37.55
2017-04-17,37.9
2017-04-18,36.65
2017-04-19,36.95
2017-04-20,37.6
2017-04-21,37.85
2017-04-24,37.4
2017-04-25,37.4
2017-04-26,36.3
2017-04-27,36.55
2017-04-28,36.3
2017-05-02,35.7
2017-05-03,35.4
2017-05-04,35.6
2017-05-05,35.25
2017-05-08,35.05
2017-05-09,35.4
2017-05-10,35.7
2017-05-11,35.4
2017-05-12,34.9
2017-05-15,34.4
2017-05-16,34.4
2017-05-17,34.35
2017-05-18,33.9
2017-05-19,33.7
2017-05-22,32.95
2017-05-23,31.85
2017-05-24,30.7
2017-05-25,32.65
2017-05-26,33.05
2017-05-29,32.75
2017-05-30,30.15
2017-05-31,29.2
2017-06-01,29.15
2017-06-02,29.45
2017-06-05,29.0
2017-06-06,28.85
2017-06-07,28.05
2017-06-08,29.1
2017-06-09,29.6
2017-06-12,29.25
2017-06-13,29.75
2017-06-14,29.95
2017-06-15,29.25
2017-06-16,28.9
2017-06-19,28.65
2017-06-20,28.65
2017-06-21,30.65
2017-06-22,29.7
2017-06-23,28.7
2017-06-27,28.0
2017-06-28,27.95
2017-06-29,28.35
2017-06-30,29.1
2017-07-03,30.25
2017-07-04,29.9
2017-07-05,30.3
2017-07-06,30.7
2017-07-07,32.45
2017-07-10,32.45
2017-07-11,32.8
2017-07-12,31.95
2017-07-13,31.75
2017-07-14,31.65
2017-07-17,31.3
2017-07-18,31.0
2017-07-19,30.85
2017-07-20,31.6
2017-07-21,32.2
2017-07-24,31.75
2017-07-25,32.45
2017-07-26,32.55
2017-07-27,31.15
2017-07-28,31.05
2017-07-31,30.9
2017-08-01,30.6
2017-08-02,31.35
2017-08-03,31.1
2017-08-04,31.0
2017-08-07,32.3
2017-08-08,30.85
2017-08-09,29.7
2017-08-10,28.45
2017-08-11,28.55
2017-08-14,28.35
2017-08-16,28.05
2017-08-17,28.7
2017-08-18,28.0
2017-08-21,27.8
2017-08-22,27.05
2017-08-23,27.35
2017-08-24,27.55
2017-08-28,28.1
2017-08-29,28.65
2017-08-30,30.1
2017-08-31,31.65
2017-09-01,32.05
2017-09-04,31.5
2017-09-05,32.0
2017-09-06,30.7
2017-09-07,30.65
2017-09-08,29.85
2017-09-11,29.2
2017-09-12,28.5
2017-09-13,28.7
2017-09-14,28.8
2017-09-15,28.65
2017-09-18,28.8
2017-09-19,28.7
2017-09-20,29.85
2017-09-21,29.1
2017-09-22,28.2
2017-09-25,27.9
2017-09-26,28.15
2017-09-27,27.45
2017-09-28,27.3
2017-09-29,27.5
2017-10-03,27.8
2017-10-04,27.95
2017-10-05,27.7
2017-10-06,28.25
2017-10-09,28.4
2017-10-10,29.7
2017-10-11,28.5
2017-10-12,29.6
2017-10-13,28.9
2017-10-16,28.7
2017-10-17,28.65
2017-10-18,28.6
2017-10-19,28.8
2017-10-23,29.35
2017-10-24,29.15
2017-10-25,28.85
2017-10-26,30.0
2017-10-27,29.8
2017-10-30,30.15
2017-10-31,30.4
2017-11-01,31.65
2017-11-02,31.5
2017-11-03,31.8
2017-11-06,31.5
2017-11-07,30.2
2017-11-08,30.0
2017-11-09,30.1
2017-11-10,30.85
2017-11-13,30.05
2017-11-14,30.15
2017-11-15,28.8
2017-11-16,29.2
2017-11-17,29.65
2017-11-20,29.7
2017-11-21,29.85
2017-11-22,29.8
2017-11-23,30.5
2017-11-24,30.6
2017-11-27,30.65
2017-11-28,33.35
2017-11-29,34.0
2017-11-30,33.5
2017-12-01,32.9
2017-12-04,31.8
2017-12-05,32.15
2017-12-06,31.55
2017-12-07,31.35
2017-12-08,31.65
2017-12-11,31.3
2017-12-12,31.0
2017-12-13,31.05
2017-12-14,30.7
2017-12-15,31.25
2017-12-18,30.65
2017-12-19,32.05
2017-12-20,32.9
2017-12-21,32.75
2017-12-22,35.05
2017-12-26,36.7
2017-12-27,35.35
2017-12-28,35.5
2017-12-29,35.2
