Date,VINATIORGA
2017-01-02,596.45
2017-01-03,596.45
2017-01-04,594.8
2017-01-05,627.15
2017-01-06,626.4
2017-01-09,626.4
2017-01-10,649.65
2017-01-11,670.75
2017-01-12,690.1
2017-01-13,706.8
2017-01-16,699.35
2017-01-17,684.5
2017-01-18,684.65
2017-01-19,699.7
2017-01-20,697.15
2017-01-23,688.4
2017-01-24,709.3
2017-01-25,722.05
2017-01-27,742.0
2017-01-30,735.0
2017-01-31,736.8
2017-02-01,743.9
2017-02-02,737.7
2017-02-03,732.3
2017-02-06,755.15
2017-02-07,743.65
2017-02-08,728.35
2017-02-09,740.7
2017-02-10,742.25
2017-02-13,754.25
2017-02-14,745.7
2017-02-15,725.95
2017-02-16,729.95
2017-02-17,744.15
2017-02-20,779.1
2017-02-21,774.1
2017-02-22,756.6
2017-02-23,748.2
2017-02-27,743.8
2017-02-28,724.9
2017-03-01,718.0
2017-03-02,742.35
2017-03-03,734.3
2017-03-06,743.05
2017-03-07,745.25
2017-03-08,729.8
2017-03-09,719.4
2017-03-10,723.4
2017-03-14,748.4
2017-03-15,733.9
2017-03-16,735.35
2017-03-17,734.7
2017-03-20,738.35
2017-03-21,734.35
2017-03-22,725.3
2017-03-23,723.05
2017-03-24,711.95
2017-03-27,710.2
2017-03-28,705.3
2017-03-29,750.4
2017-03-30,742.3
2017-03-31,758.0
2017-04-03,745.6
2017-04-05,749.6
2017-04-06,739.15
2017-04-07,726.35
2017-04-10,737.65
2017-04-11,741.75
2017-04-12,740.95
2017-04-13,746.15
2017-04-17,739.7
2017-04-18,750.5
2017-04-19,815.8
2017-04-20,811.0
2017-04-21,813.3
2017-04-24,841.5
2017-04-25,830.75
2017-04-26,838.3
2017-04-27,872.3
2017-04-28,865.3
2017-05-02,832.7
2017-05-03,829.55
2017-05-04,846.95
2017-05-05,844.75
2017-05-08,859.7
2017-05-09,847.8
2017-05-10,848.5
2017-05-11,839.95
2017-05-12,823.45
2017-05-15,845.25
2017-05-16,873.3
2017-05-17,863.8
2017-05-18,846.05
2017-05-19,838.4
2017-05-22,834.3
2017-05-23,839.75
2017-05-24,824.7
2017-05-25,825.05
2017-05-26,859.9
2017-05-29,887.3
2017-05-30,885.75
2017-05-31,928.25
2017-06-01,906.0
2017-06-02,894.85
2017-06-05,901.25
2017-06-06,903.35
2017-06-07,905.7
2017-06-08,913.55
2017-06-09,915.05
2017-06-12,950.85
2017-06-13,945.35
2017-06-14,926.4
2017-06-15,923.65
2017-06-16,947.6
2017-06-19,963.65
2017-06-20,997.9
2017-06-21,958.9
2017-06-22,955.6
2017-06-23,948.1
2017-06-27,915.3
2017-06-28,922.65
2017-06-29,932.7
2017-06-30,920.55
2017-07-03,963.1
2017-07-04,960.4
2017-07-05,952.9
2017-07-06,961.45
2017-07-07,949.05
2017-07-10,940.8
2017-07-11,950.35
2017-07-12,974.2
2017-07-13,968.1
2017-07-14,971.4
2017-07-17,1037.95
2017-07-18,996.6
2017-07-19,1016.05
2017-07-20,1015.85
2017-07-21,1035.45
2017-07-24,1058.05
2017-07-25,1059.8
2017-07-26,1053.55
2017-07-27,1032.95
2017-07-28,1029.6
2017-07-31,1037.75
2017-08-01,1033.85
2017-08-02,1026.4
2017-08-03,1027.05
2017-08-04,1051.8
2017-08-07,1080.25
2017-08-08,1068.7
2017-08-09,1016.35
2017-08-10,961.45
2017-08-11,962.05
2017-08-14,1017.55
2017-08-16,1029.1
2017-08-17,1023.35
2017-08-18,1022.5
2017-08-21,980.1
2017-08-22,986.65
2017-08-23,999.35
2017-08-24,996.7
2017-08-28,1013.6
2017-08-29,1012.0
2017-08-30,1020.8
2017-08-31,1025.1
2017-09-01,1024.4
2017-09-04,1008.15
2017-09-05,1020.15
2017-09-06,1012.0
2017-09-07,986.05
2017-09-08,971.25
2017-09-11,976.5
2017-09-12,971.7
2017-09-13,963.65
2017-09-14,961.95
2017-09-15,948.25
2017-09-18,944.85
2017-09-19,937.25
2017-09-20,939.35
2017-09-21,938.75
2017-09-22,901.9
2017-09-25,920.85
2017-09-26,946.9
2017-09-27,949.95
2017-09-28,943.25
2017-09-29,963.55
2017-10-03,963.1
2017-10-04,963.35
2017-10-05,950.75
2017-10-06,949.85
2017-10-09,968.2
2017-10-10,991.2
2017-10-11,991.6
2017-10-12,981.3
2017-10-13,978.4
2017-10-16,988.15
2017-10-17,1009.6
2017-10-18,971.5
2017-10-19,971.6
2017-10-23,965.6
2017-10-24,962.45
2017-10-25,948.75
2017-10-26,950.45
2017-10-27,968.85
2017-10-30,991.3
2017-10-31,1019.9
2017-11-01,1003.8
2017-11-02,997.1
2017-11-03,1000.05
2017-11-06,953.65
2017-11-07,914.1
2017-11-08,964.85
2017-11-09,965.45
2017-11-10,965.45
2017-11-13,955.0
2017-11-14,965.35
2017-11-15,965.05
2017-11-16,962.0
2017-11-17,965.3
2017-11-20,965.45
2017-11-21,977.05
2017-11-22,979.2
2017-11-23,973.6
2017-11-24,980.45
2017-11-27,975.4
2017-11-28,958.55
2017-11-29,979.6
2017-11-30,973.85
2017-12-01,978.25
2017-12-04,994.45
2017-12-05,987.1
2017-12-06,987.4
2017-12-07,994.0
2017-12-08,995.15
2017-12-11,1009.85
2017-12-12,1008.05
2017-12-13,1022.65
2017-12-14,1038.8
2017-12-15,1039.5
2017-12-18,1040.25
2017-12-19,1038.15
2017-12-20,1019.7
2017-12-21,1041.9
2017-12-22,1030.2
2017-12-26,1018.8
2017-12-27,999.85
2017-12-28,996.5
2017-12-29,997.9
