Date,BAJAJ-AUTO
2013-01-01,2131.9
2013-01-02,2202.25
2013-01-03,2214.9
2013-01-04,2205.6
2013-01-07,2196.9
2013-01-08,2198.45
2013-01-09,2157.9
2013-01-10,2138.15
2013-01-11,2118.1
2013-01-14,2093.35
2013-01-15,2115.35
2013-01-16,2076.5
2013-01-17,2052.75
2013-01-18,2059.25
2013-01-21,2058.1
2013-01-22,2067.15
2013-01-23,2033.25
2013-01-24,2013.05
2013-01-25,2080.0
2013-01-28,2086.65
2013-01-29,2031.85
2013-01-30,2028.35
2013-01-31,2027.15
2013-02-01,2055.95
2013-02-04,2064.6
2013-02-05,2094.7
2013-02-06,2081.8
2013-02-07,2063.8
2013-02-08,2046.85
2013-02-11,2044.75
2013-02-12,2076.15
2013-02-13,2018.8
2013-02-14,2002.6
2013-02-15,1970.35
2013-02-18,1946.6
2013-02-19,1988.05
2013-02-20,1982.7
2013-02-21,1983.55
2013-02-22,1993.65
2013-02-25,2009.55
2013-02-26,1921.6
2013-02-27,1964.1
2013-02-28,1973.0
2013-03-01,2028.3
2013-03-04,1989.2
2013-03-05,1973.4
2013-03-06,1973.3
2013-03-07,1994.25
2013-03-08,2013.45
2013-03-11,1986.3
2013-03-12,1955.95
2013-03-13,1895.4
2013-03-14,1854.8
2013-03-15,1850.3
2013-03-18,1812.1
2013-03-19,1835.9
2013-03-20,1840.0
2013-03-21,1755.3
2013-03-22,1820.65
2013-03-25,1802.5
2013-03-26,1801.25
2013-03-28,1799.55
2013-04-01,1781.3
2013-04-02,1752.7
2013-04-03,1692.35
2013-04-04,1673.6
2013-04-05,1701.25
2013-04-08,1705.45
2013-04-09,1703.45
2013-04-10,1721.35
2013-04-11,1701.65
2013-04-12,1721.0
2013-04-15,1724.7
2013-04-16,1770.65
2013-04-17,1791.7
2013-04-18,1792.1
2013-04-22,1762.85
2013-04-23,1805.0
2013-04-25,1838.0
2013-04-26,1895.7
2013-04-29,1900.0
2013-04-30,1880.4
2013-05-02,1860.05
2013-05-03,1807.5
2013-05-06,1827.1
2013-05-07,1848.45
2013-05-08,1838.65
2013-05-09,1826.5
2013-05-10,1858.05
2013-05-11,1862.0
2013-05-13,1819.3
2013-05-14,1787.7
2013-05-15,1822.05
2013-05-16,1806.5
2013-05-17,1832.05
2013-05-20,1863.8
2013-05-21,1853.85
2013-05-22,1849.35
2013-05-23,1813.45
2013-05-24,1804.65
2013-05-27,1818.1
2013-05-28,1840.6
2013-05-29,1824.55
2013-05-30,1837.9
2013-05-31,1820.5
2013-06-03,1759.5
2013-06-04,1767.95
2013-06-05,1755.9
2013-06-06,1745.9
2013-06-07,1745.0
2013-06-10,1767.0
2013-06-11,1783.2
2013-06-12,1743.15
2013-06-13,1708.3
2013-06-14,1764.65
2013-06-17,1808.8
2013-06-18,1828.75
2013-06-19,1835.65
2013-06-20,1820.35
2013-06-21,1830.05
2013-06-24,1794.55
2013-06-25,1799.55
2013-06-26,1787.1
2013-06-27,1838.2
2013-06-28,1923.95
2013-07-01,1922.9
2013-07-02,1913.3
2013-07-03,1890.05
2013-07-04,1876.6
2013-07-05,1879.5
2013-07-08,1863.05
2013-07-09,1898.2
2013-07-10,1862.4
2013-07-11,1876.55
2013-07-12,1869.65
2013-07-15,1901.7
2013-07-16,1907.55
2013-07-17,1909.55
2013-07-18,1896.7
2013-07-19,1966.0
2013-07-22,1985.35
2013-07-23,1975.5
2013-07-24,2001.8
2013-07-25,2001.85
2013-07-26,2032.15
2013-07-29,1996.2
2013-07-30,1925.8
2013-07-31,1934.75
2013-08-01,1933.8
2013-08-02,1909.25
2013-08-05,1875.95
2013-08-06,1808.75
2013-08-07,1771.55
2013-08-08,1782.3
2013-08-12,1807.6
2013-08-13,1858.8
2013-08-14,1908.6
2013-08-16,1848.35
2013-08-19,1763.05
2013-08-20,1756.75
2013-08-21,1734.5
2013-08-22,1776.7
2013-08-23,1779.6
2013-08-26,1780.65
2013-08-27,1727.75
2013-08-28,1727.75
2013-08-29,1740.45
2013-08-30,1837.0
2013-09-02,1856.1
2013-09-03,1837.85
2013-09-04,1888.75
2013-09-05,1901.0
2013-09-06,1910.85
2013-09-10,1980.7
2013-09-11,1996.5
2013-09-12,1978.7
2013-09-13,2003.4
2013-09-16,2000.25
2013-09-17,2013.4
2013-09-18,2017.25
2013-09-19,2053.15
2013-09-20,1992.45
2013-09-23,1979.1
2013-09-24,2031.6
2013-09-25,2005.35
2013-09-26,1995.8
2013-09-27,1993.15
2013-09-30,1987.45
2013-10-01,2020.0
2013-10-03,2119.4
2013-10-04,2117.9
2013-10-07,2128.3
2013-10-08,2116.05
2013-10-09,2153.9
2013-10-10,2141.4
2013-10-11,2141.1
2013-10-14,2137.85
2013-10-15,2125.65
2013-10-17,2153.3
2013-10-18,2153.05
2013-10-21,2150.7
2013-10-22,2139.7
2013-10-23,2094.9
2013-10-24,2082.3
2013-10-25,2080.6
2013-10-28,2070.6
2013-10-29,2094.05
2013-10-30,2136.7
2013-10-31,2129.9
2013-11-01,2124.9
2013-11-03,2127.7
2013-11-05,2092.0
2013-11-06,2076.5
2013-11-07,2101.15
2013-11-08,2065.9
2013-11-11,2037.85
2013-11-12,2026.15
2013-11-13,2021.3
2013-11-14,2034.8
2013-11-18,2030.05
2013-11-19,2013.8
2013-11-20,1974.45
2013-11-21,1932.85
2013-11-22,1889.35
2013-11-25,1939.35
2013-11-26,1938.6
2013-11-27,1949.1
2013-11-28,1950.5
2013-11-29,1974.45
2013-12-02,1961.4
2013-12-03,1952.85
2013-12-04,1931.75
2013-12-05,1940.25
2013-12-06,1950.0
2013-12-09,1978.75
2013-12-10,1987.65
2013-12-11,1997.55
2013-12-12,1951.4
2013-12-13,1905.25
2013-12-16,1902.15
2013-12-17,1863.1
2013-12-18,1928.4
2013-12-19,1897.0
2013-12-20,1931.8
2013-12-23,1946.7
2013-12-24,1990.35
2013-12-26,1949.5
2013-12-27,1934.75
2013-12-30,1900.7
2013-12-31,1910.85
2014-01-01,1917.4
2014-01-02,1900.05
2014-01-03,1895.55
2014-01-06,1888.3
2014-01-07,1889.95
2014-01-08,1918.3
2014-01-09,1909.45
2014-01-10,1900.3
2014-01-13,1895.8
2014-01-14,1870.55
2014-01-15,1894.0
2014-01-16,1907.75
2014-01-17,1933.45
2014-01-20,1931.5
2014-01-21,1942.4
2014-01-22,1949.7
2014-01-23,1939.05
2014-01-24,1931.7
2014-01-27,1912.8
2014-01-28,1944.7
2014-01-29,1912.95
2014-01-30,1920.85
2014-01-31,1901.5
2014-02-03,1830.8
2014-02-04,1868.25
2014-02-05,1894.7
2014-02-06,1896.95
2014-02-07,1935.35
2014-02-10,1935.35
2014-02-11,1936.5
2014-02-12,1927.5
2014-02-13,1902.85
2014-02-14,1839.6
2014-02-17,1845.35
2014-02-18,1844.65
2014-02-19,1820.9
2014-02-20,1842.4
2014-02-21,1862.7
2014-02-24,1861.8
2014-02-25,1902.25
2014-02-26,1920.9
2014-02-28,1946.35
2014-03-03,1917.05
2014-03-04,1921.95
2014-03-05,1920.65
2014-03-06,1957.9
2014-03-07,1954.7
2014-03-10,2005.0
2014-03-11,1986.55
2014-03-12,1959.0
2014-03-13,1966.7
2014-03-14,1974.3
2014-03-18,1994.9
2014-03-19,2008.7
2014-03-20,1972.9
2014-03-21,1977.85
2014-03-22,1981.1
2014-03-24,2021.45
2014-03-25,2014.05
2014-03-26,2039.6
2014-03-27,2072.35
2014-03-28,2058.0
2014-03-31,2083.6
2014-04-01,2065.2
2014-04-02,2053.6
2014-04-03,2053.35
2014-04-04,2028.9
2014-04-07,2022.6
2014-04-09,2031.3
2014-04-10,2022.15
2014-04-11,2007.55
2014-04-15,2004.4
2014-04-16,2000.55
2014-04-17,2016.05
2014-04-21,2014.15
2014-04-22,2003.35
2014-04-23,2004.65
2014-04-25,1996.05
2014-04-28,1985.0
2014-04-29,1939.5
2014-04-30,1912.15
2014-05-02,1906.7
2014-05-05,1918.85
2014-05-06,1900.35
2014-05-07,1868.15
2014-05-08,1879.25
2014-05-09,1919.95
2014-05-12,1948.15
2014-05-13,1977.3
2014-05-14,2041.75
2014-05-15,1950.5
2014-05-16,1931.7
2014-05-19,1878.35
2014-05-20,1866.4
2014-05-21,1961.15
2014-05-22,1986.75
2014-05-23,1976.25
2014-05-26,1961.2
2014-05-27,1972.0
2014-05-28,1948.4
2014-05-29,1941.2
2014-05-30,1943.95
2014-06-02,1974.4
2014-06-03,1970.15
2014-06-04,2002.5
2014-06-05,2000.9
2014-06-06,2048.4
2014-06-09,2161.75
2014-06-10,2152.5
2014-06-11,2180.85
2014-06-12,2185.6
2014-06-13,2170.7
2014-06-16,2169.75
2014-06-17,2160.35
2014-06-18,2150.6
2014-06-19,2160.25
2014-06-20,2179.8
2014-06-23,2191.1
2014-06-24,2221.15
2014-06-25,2275.85
2014-06-26,2289.0
2014-06-27,2309.1
2014-06-30,2316.2
2014-07-01,2334.7
2014-07-02,2349.8
2014-07-03,2300.1
2014-07-04,2299.2
2014-07-07,2302.7
2014-07-08,2226.3
2014-07-09,2169.65
2014-07-10,2152.2
2014-07-11,2133.95
2014-07-14,2127.55
2014-07-15,2155.75
2014-07-16,2137.1
2014-07-17,2087.65
2014-07-18,2081.25
2014-07-21,2070.7
2014-07-22,2070.15
2014-07-23,2105.3
2014-07-24,2108.7
2014-07-25,2100.75
2014-07-28,2084.05
2014-07-30,2079.4
2014-07-31,2075.9
2014-08-01,2057.9
2014-08-04,2088.1
2014-08-05,2155.6
2014-08-06,2143.75
2014-08-07,2139.25
2014-08-08,2121.65
2014-08-11,2129.3
2014-08-12,2135.55
2014-08-13,2147.95
2014-08-14,2135.0
2014-08-18,2134.5
2014-08-19,2198.2
2014-08-20,2198.8
2014-08-21,2268.05
2014-08-22,2266.35
2014-08-25,2251.6
2014-08-26,2260.0
2014-08-27,2280.3
2014-08-28,2258.7
2014-09-01,2260.55
2014-09-02,2258.6
2014-09-03,2225.85
2014-09-04,2301.9
2014-09-05,2339.65
2014-09-08,2359.3
2014-09-09,2321.15
2014-09-10,2354.7
2014-09-11,2336.55
2014-09-12,2348.45
