Date,HARRMALAYA
2013-01-01,61.1
2013-01-02,62.75
2013-01-03,63.25
2013-01-04,64.3
2013-01-07,63.75
2013-01-08,62.85
2013-01-09,62.8
2013-01-10,62.15
2013-01-11,61.5
2013-01-14,61.25
2013-01-15,61.0
2013-01-16,59.55
2013-01-17,60.25
2013-01-18,60.25
2013-01-21,59.75
2013-01-22,59.6
2013-01-23,58.9
2013-01-24,57.95
2013-01-25,57.75
2013-01-28,58.25
2013-01-29,57.5
2013-01-30,57.2
2013-01-31,56.95
2013-02-01,57.85
2013-02-04,56.9
2013-02-05,55.45
2013-02-06,55.8
2013-02-07,55.2
2013-02-08,54.4
2013-02-11,56.5
2013-02-12,55.6
2013-02-13,55.65
2013-02-14,55.4
2013-02-15,54.55
2013-02-18,54.5
2013-02-19,57.8
2013-02-20,59.05
2013-02-21,56.8
2013-02-22,56.95
2013-02-25,55.5
2013-02-26,54.3
2013-02-27,55.0
2013-02-28,54.1
2013-03-01,53.35
2013-03-04,52.15
2013-03-05,52.45
2013-03-06,52.4
2013-03-07,53.45
2013-03-08,53.75
2013-03-11,52.7
2013-03-12,52.35
2013-03-13,51.75
2013-03-14,51.35
2013-03-15,51.1
2013-03-18,51.45
2013-03-19,50.4
2013-03-20,49.65
2013-03-21,49.0
2013-03-22,48.1
2013-03-25,46.2
2013-03-26,46.3
2013-03-28,46.75
2013-04-01,46.45
2013-04-02,49.2
2013-04-03,47.55
2013-04-04,46.9
2013-04-05,46.45
2013-04-08,46.4
2013-04-09,46.15
2013-04-10,45.4
2013-04-11,46.1
2013-04-12,46.45
2013-04-15,45.9
2013-04-16,46.6
2013-04-17,46.9
2013-04-18,46.35
2013-04-22,45.7
2013-04-23,46.9
2013-04-25,47.0
2013-04-26,46.75
2013-04-29,46.65
2013-04-30,46.55
2013-05-02,47.2
2013-05-03,45.8
2013-05-06,45.4
2013-05-07,46.4
2013-05-08,47.3
2013-05-09,46.75
2013-05-10,48.2
2013-05-11,48.6
2013-05-13,47.4
2013-05-14,47.05
2013-05-15,47.05
2013-05-16,46.85
2013-05-17,46.85
2013-05-20,46.75
2013-05-21,46.6
2013-05-22,45.95
2013-05-23,44.55
2013-05-24,44.75
2013-05-27,44.55
2013-05-28,44.45
2013-05-29,44.55
2013-05-30,44.15
2013-05-31,42.15
2013-06-03,40.75
2013-06-04,41.15
2013-06-05,41.4
2013-06-06,41.15
2013-06-07,41.4
2013-06-10,40.55
2013-06-11,40.1
2013-06-12,41.0
2013-06-13,39.35
2013-06-14,39.4
2013-06-17,40.0
2013-06-18,40.9
2013-06-19,41.35
2013-06-20,40.55
2013-06-21,40.15
2013-06-24,39.65
2013-06-25,39.9
2013-06-26,39.75
2013-06-27,39.6
2013-06-28,39.85
2013-07-01,40.3
2013-07-02,40.15
2013-07-03,39.45
2013-07-04,39.4
2013-07-05,39.05
2013-07-08,38.75
2013-07-09,38.95
2013-07-10,38.6
2013-07-11,39.4
2013-07-12,39.1
2013-07-15,39.55
2013-07-16,38.95
2013-07-17,39.5
2013-07-18,39.55
2013-07-19,38.65
2013-07-22,38.7
2013-07-23,39.3
2013-07-24,38.65
2013-07-25,37.65
2013-07-26,36.4
2013-07-29,35.3
2013-07-30,34.0
2013-07-31,33.4
2013-08-01,32.9
2013-08-02,31.75
2013-08-05,31.75
2013-08-06,30.4
2013-08-07,31.25
2013-08-08,31.55
2013-08-12,31.65
2013-08-13,31.9
2013-08-14,33.6
2013-08-16,31.7
2013-08-19,31.75
2013-08-20,31.95
2013-08-21,32.2
2013-08-22,32.55
2013-08-23,34.5
2013-08-26,36.85
2013-08-27,35.9
2013-08-28,38.75
2013-08-29,42.9
2013-08-30,42.45
2013-09-02,40.65
2013-09-03,37.9
2013-09-04,37.6
2013-09-05,37.9
2013-09-06,38.5
2013-09-10,40.9
2013-09-11,44.9
2013-09-12,42.35
2013-09-13,42.0
2013-09-16,42.2
2013-09-17,42.45
2013-09-18,41.55
2013-09-19,40.65
2013-09-20,39.75
2013-09-23,40.4
2013-09-24,39.9
2013-09-25,39.3
2013-09-26,39.25
2013-09-27,38.6
2013-09-30,37.0
2013-10-01,38.8
2013-10-03,39.5
2013-10-04,39.2
2013-10-07,39.1
2013-10-08,39.4
2013-10-09,40.5
2013-10-10,40.6
2013-10-11,40.0
2013-10-14,39.55
2013-10-15,39.7
2013-10-17,40.75
2013-10-18,40.25
2013-10-21,40.25
2013-10-22,40.3
2013-10-23,40.9
2013-10-24,40.2
2013-10-25,40.25
2013-10-28,40.3
2013-10-29,40.15
2013-10-30,40.15
2013-10-31,39.8
2013-11-01,39.95
2013-11-03,41.15
2013-11-05,42.7
2013-11-06,43.5
2013-11-07,46.0
2013-11-08,45.1
2013-11-11,44.6
2013-11-12,41.7
2013-11-13,40.45
2013-11-14,40.05
2013-11-18,40.75
2013-11-19,40.7
2013-11-20,41.0
2013-11-21,40.85
2013-11-22,40.9
2013-11-25,40.8
2013-11-26,40.05
2013-11-27,39.95
2013-11-28,40.3
2013-11-29,39.6
2013-12-02,41.9
2013-12-03,43.4
2013-12-04,44.3
2013-12-05,43.6
2013-12-06,42.75
2013-12-09,44.0
2013-12-10,44.0
2013-12-11,43.15
2013-12-12,44.0
2013-12-13,42.6
2013-12-16,42.6
2013-12-17,42.9
2013-12-18,42.15
2013-12-19,41.75
2013-12-20,42.45
2013-12-23,43.95
2013-12-24,46.05
2013-12-26,45.6
2013-12-27,45.55
2013-12-30,50.1
2013-12-31,50.7
2014-01-01,51.0
2014-01-02,49.6
2014-01-03,49.65
2014-01-06,51.05
2014-01-07,56.1
2014-01-08,56.55
2014-01-09,55.9
2014-01-10,53.2
2014-01-13,51.95
2014-01-14,52.05
2014-01-15,51.45
2014-01-16,52.7
2014-01-17,50.35
2014-01-20,50.95
2014-01-21,49.85
2014-01-22,49.7
2014-01-23,49.95
2014-01-24,48.5
2014-01-27,45.2
2014-01-28,45.2
2014-01-29,45.35
2014-01-30,45.6
2014-01-31,45.95
2014-02-03,44.7
2014-02-04,44.05
2014-02-05,44.6
2014-02-06,45.0
2014-02-07,44.4
2014-02-10,44.8
2014-02-11,44.9
2014-02-12,45.0
2014-02-13,44.0
2014-02-14,44.25
2014-02-17,46.25
2014-02-18,45.9
2014-02-19,45.8
2014-02-20,44.65
2014-02-21,45.25
2014-02-24,45.2
2014-02-25,47.25
2014-02-26,45.95
2014-02-28,46.4
2014-03-03,45.7
2014-03-04,47.65
2014-03-05,47.35
2014-03-06,47.75
2014-03-07,47.55
2014-03-10,47.25
2014-03-11,46.5
2014-03-12,46.45
2014-03-13,49.45
2014-03-14,48.45
2014-03-18,49.0
2014-03-19,49.35
2014-03-20,48.2
2014-03-21,47.85
2014-03-22,48.5
