Date,BSELINFRA
2013-01-01,3.4
2013-01-02,3.45
2013-01-03,3.35
2013-01-04,3.35
2013-01-07,3.45
2013-01-08,3.45
2013-01-09,3.4
2013-01-10,3.3
2013-01-11,3.25
2013-01-14,3.3
2013-01-15,3.4
2013-01-16,3.3
2013-01-17,3.35
2013-01-18,3.35
2013-01-21,3.3
2013-01-22,3.25
2013-01-23,3.25
2013-01-24,3.1
2013-01-25,3.2
2013-01-28,3.2
2013-01-29,2.9
2013-01-30,3.0
2013-01-31,3.1
2013-02-01,3.1
2013-02-04,3.15
2013-02-05,3.0
2013-02-06,2.95
2013-02-07,3.0
2013-02-08,2.9
2013-02-11,2.85
2013-02-12,2.75
2013-02-13,2.7
2013-02-14,2.7
2013-02-15,2.65
2013-02-18,2.65
2013-02-19,2.8
2013-02-20,2.85
2013-02-21,2.8
2013-02-22,2.7
2013-02-25,2.65
2013-02-26,2.55
2013-02-27,2.8
2013-02-28,2.75
2013-03-01,2.55
2013-03-04,2.5
2013-03-05,2.45
2013-03-06,2.4
2013-03-07,2.5
2013-03-08,2.6
2013-03-11,2.55
2013-03-12,2.55
2013-03-13,2.5
2013-03-14,2.55
2013-03-15,2.45
2013-03-18,2.35
2013-03-19,2.3
2013-03-20,2.25
2013-03-21,2.25
2013-03-22,2.0
2013-03-25,2.0
2013-03-26,1.9
2013-03-28,2.05
2013-04-01,2.1
2013-04-02,2.5
2013-04-03,2.4
2013-04-04,2.2
2013-04-05,2.25
2013-04-08,2.25
2013-04-09,2.4
2013-04-10,2.3
2013-04-11,2.35
2013-04-12,2.3
2013-04-15,2.25
2013-04-16,2.2
2013-04-17,2.35
2013-04-18,2.2
2013-04-22,2.2
2013-04-23,2.2
2013-04-25,2.15
2013-04-26,2.1
2013-04-29,2.1
2013-04-30,2.15
2013-05-02,2.15
2013-05-03,2.2
2013-05-06,2.15
2013-05-07,2.2
2013-05-08,2.1
2013-05-09,2.15
2013-05-10,2.15
2013-05-11,2.1
2013-05-13,2.1
2013-05-14,2.1
2013-05-15,2.1
2013-05-16,2.15
2013-05-17,2.15
2013-05-20,2.2
2013-05-21,2.2
2013-05-22,2.1
2013-05-23,2.0
2013-05-24,2.05
2013-05-27,1.95
2013-05-28,1.95
2013-05-29,2.0
2013-05-30,2.0
2013-05-31,1.85
2013-06-03,1.8
2013-06-04,2.15
2013-06-05,2.0
2013-06-06,1.9
2013-06-07,2.05
2013-06-10,1.95
2013-06-11,1.9
2013-06-12,1.9
2013-06-13,1.95
2013-06-14,1.9
2013-06-17,1.8
2013-06-18,1.85
2013-06-19,1.9
2013-06-20,1.8
2013-06-21,1.8
2013-06-24,1.85
2013-06-25,1.7
2013-06-26,1.65
2013-06-27,1.7
2013-06-28,1.85
2013-07-01,1.9
2013-07-02,1.85
2013-07-03,1.75
2013-07-04,1.75
2013-07-05,1.7
2013-07-08,1.65
2013-07-09,1.7
2013-07-10,1.65
2013-07-11,1.65
2013-07-12,1.85
2013-07-15,1.8
2013-07-16,1.8
2013-07-17,1.8
2013-07-18,1.75
2013-07-19,1.65
2013-07-22,1.7
2013-07-23,1.6
2013-07-24,1.55
2013-07-25,1.35
2013-07-26,1.4
2013-07-29,1.45
2013-07-30,1.4
2013-07-31,1.45
2013-08-01,1.3
2013-08-02,1.25
2013-08-05,1.35
2013-08-06,1.25
2013-08-07,1.4
2013-08-08,1.2
2013-08-12,1.25
2013-08-13,1.2
2013-08-14,1.15
2013-08-16,1.15
2013-08-19,1.05
2013-08-20,1.15
2013-08-21,1.1
2013-08-22,1.1
2013-08-23,1.15
2013-08-26,1.35
2013-08-27,1.25
2013-08-28,1.2
2013-08-29,1.3
2013-08-30,1.3
2013-09-02,1.35
2013-09-03,1.5
2013-09-04,1.6
2013-09-05,1.5
2013-09-06,1.6
2013-09-10,1.85
2013-09-11,1.7
2013-09-12,1.8
2013-09-13,1.65
2014-03-03,1.3
2014-03-04,1.25
2014-03-05,1.2
2014-03-06,1.15
2014-03-07,1.25
2014-03-10,1.35
2014-03-11,1.35
2014-03-12,1.3
2014-03-13,1.35
2014-03-14,1.35
2014-03-18,1.35
2014-03-19,1.3
2014-03-20,1.3
2014-03-21,1.35
2014-03-22,1.3
2014-03-24,1.35
2014-03-25,1.25
2014-03-26,1.3
2014-03-27,1.35
2014-03-28,1.35
2014-03-31,1.4
2014-04-01,1.4
2014-04-02,1.5
2014-04-03,1.65
2014-04-04,1.75
2014-04-07,1.7
2014-04-09,1.75
2014-04-10,1.8
2014-04-11,1.8
2014-08-06,2.75
2014-08-07,2.85
2014-08-08,2.9
2014-08-11,2.9
2014-08-12,2.8
2014-08-13,2.7
2014-08-14,2.6
2014-08-18,2.6
2014-08-19,2.55
2014-08-20,2.6
2014-08-21,2.7
2014-08-22,2.8
2014-08-25,2.85
2014-08-26,2.75
2014-08-27,2.65
2014-08-28,2.55
2014-09-01,2.6
2014-09-02,2.6
2014-09-03,2.7
2014-09-04,2.6
2014-09-05,2.65
2014-09-08,2.9
2014-09-09,2.9
2014-09-10,2.8
2014-09-11,2.9
2014-09-12,3.0
2014-09-15,3.2
2014-09-16,3.0
2014-09-17,2.9
2014-09-18,2.95
2014-09-19,2.95
2014-09-22,2.9
2014-09-23,2.85
2014-09-24,2.8
2014-09-25,2.75
2014-09-26,2.7
2014-09-29,2.8
2014-09-30,2.8
2014-10-01,2.65
2014-10-07,2.55
2014-10-08,2.6
2014-10-09,2.6
2014-10-10,2.65
2014-10-13,2.65
2014-10-14,2.55
2014-10-16,2.6
2014-10-17,2.6
2014-10-20,2.5
2014-10-21,2.5
2014-10-22,2.6
2014-10-23,2.65
2014-10-27,2.55
2014-10-28,2.65
2014-10-29,2.5
2014-10-30,2.5
2014-10-31,2.55
2014-11-03,3.05
2014-11-05,3.65
2014-11-07,3.5
2014-11-10,3.25
2014-11-11,3.35
2014-11-12,3.15
2014-11-13,3.45
2014-11-14,3.35
2014-11-17,3.2
2014-11-18,3.15
2014-11-19,3.05
2014-11-20,2.9
2014-11-21,3.45
2014-11-24,3.35
2014-11-25,3.15
2014-11-26,3.1
2014-11-27,3.05
2014-11-28,3.1
2014-12-01,3.1
2014-12-02,3.0
2014-12-03,3.1
2014-12-04,3.05
2014-12-05,3.0
2014-12-08,3.0
2014-12-09,2.85
2014-12-10,2.9
2014-12-11,2.85
2014-12-12,2.8
2014-12-15,2.75
2014-12-16,2.7
2014-12-17,2.5
2014-12-18,2.55
2014-12-19,2.6
2014-12-22,2.6
2014-12-23,2.65
2014-12-24,2.8
2014-12-26,2.75
2014-12-29,2.4
2014-12-30,2.65
2014-12-31,2.6
2015-01-01,2.75
2015-01-02,2.8
2015-01-05,2.8
2015-01-06,2.6
2015-01-07,2.5
2015-01-08,2.6
2015-01-09,2.7
2015-01-12,2.5
2015-01-13,2.7
2015-01-14,2.7
2015-01-15,2.95
2015-01-16,2.85
2015-01-19,2.9
2015-01-20,2.95
2015-01-21,2.75
2015-01-22,2.75
2015-01-23,2.75
2015-01-27,2.8
2015-01-28,2.75
2015-01-29,2.8
2015-01-30,2.95
2015-02-02,2.8
2015-02-03,2.95
2015-02-04,2.85
2015-02-05,2.8
2015-02-06,2.65
2015-02-09,2.6
2015-02-10,2.6
2015-02-11,2.6
2015-02-12,2.7
2015-02-13,2.6
2015-02-16,2.9
2015-02-18,2.85
2015-02-19,2.9
2015-02-20,2.85
2015-02-23,2.8
2015-02-24,2.8
2015-02-25,2.8
2015-02-26,2.65
2015-02-27,2.75
2015-02-28,2.75
2015-03-02,2.7
2015-03-03,2.65
2015-03-04,2.65
2015-03-05,2.65
2015-03-09,2.65
2015-03-10,2.6
2015-03-11,2.6
2015-03-12,2.6
2015-03-13,2.65
2015-03-16,2.55
2015-03-17,2.45
2015-03-18,2.4
2015-03-19,2.4
2015-03-20,2.25
2015-03-23,2.1
2015-03-24,2.0
2015-03-25,2.15
2015-03-26,2.1
2015-03-27,1.9
2015-03-30,1.9
2015-03-31,1.85
2015-04-01,2.05
2015-04-06,2.15
2015-04-07,2.25
2015-04-08,2.45
2015-04-09,2.35
2015-04-10,2.35
2015-04-13,2.4
2015-04-15,2.35
2015-04-16,2.25
2015-04-17,2.4
2015-04-20,2.4
2015-04-21,2.4
2015-04-22,2.3
2015-04-23,2.2
2015-04-24,2.1
2015-04-27,2.05
2015-04-28,2.1
2015-04-29,2.15
2015-04-30,2.15
2015-05-04,2.15
2015-05-05,2.15
2015-05-06,2.05
2015-05-07,2.05
2015-05-08,2.15
2015-05-11,2.25
2015-05-12,2.1
2015-05-13,2.15
2015-05-14,2.15
2015-05-15,2.05
2015-05-18,2.05
2015-05-19,2.0
2015-05-20,2.05
2015-05-21,2.05
2015-05-22,2.05
2015-05-25,2.2
2015-05-26,2.2
2015-05-27,2.1
2015-05-28,2.1
2015-05-29,2.3
2015-06-01,2.2
2015-06-02,2.0
2015-06-03,1.9
2015-06-04,1.9
2015-06-05,2.1
2015-06-08,2.0
2015-06-09,2.05
2015-06-10,2.05
2015-06-11,1.95
2015-06-12,2.0
2015-06-15,1.9
2015-06-16,1.95
2015-06-17,2.0
2015-06-18,2.0
2015-06-19,2.05
2015-06-22,2.05
2015-06-23,2.0
2015-06-24,2.1
2015-06-25,2.0
2015-06-26,2.05
2015-06-29,1.95
2015-06-30,2.0
2015-07-01,2.0
2015-07-02,2.05
2015-07-03,2.0
2015-07-06,1.95
2015-07-07,2.0
2015-07-08,2.0
2015-07-09,2.0
2015-07-10,2.1
2015-07-13,2.05
2015-07-14,1.95
2015-07-15,1.95
2015-07-16,1.85
2015-07-17,1.75
2015-07-20,1.75
2015-07-21,1.55
2015-07-22,1.7
2015-07-23,1.7
2015-07-24,1.75
2015-07-27,1.7
2015-07-28,1.7
2015-07-29,1.6
2015-07-30,1.85
2015-07-31,1.75
2015-08-03,1.75
2015-08-04,1.75
2015-08-05,1.8
2015-08-06,1.8
2015-08-07,2.05
2015-08-10,2.05
2015-08-11,2.05
2015-08-12,2.0
2015-08-13,2.0
2015-08-14,2.1
2015-08-17,2.05
2015-08-18,2.1
2015-08-19,2.15
2015-08-20,2.15
2015-08-21,2.15
2015-08-24,1.8
2015-08-25,1.9
2015-08-26,2.0
2015-08-27,2.0
2015-08-28,1.8
2015-08-31,1.75
2015-09-01,1.95
2015-09-02,2.0
2015-09-03,1.95
2015-09-04,1.9
2015-09-07,1.9
2015-09-08,1.95
2015-09-09,1.9
2015-09-10,2.0
2015-09-11,1.95
2015-09-14,2.0
2015-09-15,1.95
