Date,ORICONENT
2016-01-08,69.8
2016-01-11,71.65
2016-01-12,69.65
2016-01-13,66.85
2016-01-14,64.7
2016-01-15,60.1
2016-01-18,56.65
2016-01-19,58.75
2016-01-20,57.7
2016-01-21,58.5
2016-01-22,61.55
2016-01-25,62.15
2016-01-27,62.9
2016-01-28,63.7
2016-01-29,64.5
2016-02-01,64.05
2016-02-02,60.9
2016-02-03,59.6
2016-02-04,58.3
2016-02-05,59.4
2016-02-08,62.25
2016-02-09,61.45
2016-02-10,58.05
2016-02-11,52.6
2016-02-12,52.35
2016-02-15,54.3
2016-02-16,50.45
2016-02-17,51.8
2016-02-18,51.6
2016-02-19,51.8
2016-02-22,51.95
2016-02-23,49.1
2016-02-24,47.15
2016-02-25,47.4
2016-02-26,46.5
2016-02-29,46.8
2016-03-01,50.4
2016-03-02,52.1
2016-03-03,54.0
2016-03-04,54.3
2016-03-08,52.55
2016-03-09,51.65
2016-03-10,52.8
2016-03-11,53.55
2016-03-14,52.15
2016-03-15,51.65
2016-03-16,53.15
2016-03-17,52.15
2016-03-18,51.45
2016-03-21,52.35
2016-03-22,52.7
2016-03-23,52.55
2016-03-28,50.8
2016-03-29,59.55
2016-03-30,59.0
2016-03-31,56.45
2016-04-01,57.35
2016-04-04,58.75
2016-04-05,56.5
2016-04-06,57.65
2016-04-07,56.9
2016-04-08,59.8
2016-04-11,58.6
2016-04-12,59.2
2016-04-13,60.9
2016-04-18,60.05
2016-04-20,59.35
2016-04-21,56.8
2016-04-22,56.85
2016-04-25,56.5
2016-04-26,58.2
2016-04-27,57.85
2016-04-28,57.3
2016-04-29,62.7
2016-05-02,63.6
2016-05-03,61.0
2016-05-04,60.5
2016-05-05,61.8
2016-05-06,61.1
2016-05-09,61.65
2016-05-10,60.35
2016-05-11,60.15
2016-05-12,62.6
2016-05-13,62.0
2016-05-16,61.0
2016-05-17,60.9
2016-05-18,60.4
2016-05-19,59.35
2016-05-20,57.9
2016-05-23,57.65
2016-05-24,56.35
2016-05-25,59.55
2016-05-26,58.0
2016-05-27,63.25
2016-05-30,65.2
2016-05-31,63.7
2016-06-01,63.75
2016-06-02,70.55
2016-06-03,65.5
2016-06-06,66.65
2016-06-07,64.75
2016-06-08,65.3
2016-06-09,65.2
2016-06-10,63.5
2016-06-13,61.85
2016-06-14,62.8
2016-06-15,63.05
2016-06-16,62.65
2016-06-17,61.6
2016-06-20,62.05
2016-06-21,62.65
2016-06-22,61.85
2016-06-23,60.65
2016-06-24,59.05
2016-06-27,59.15
2016-06-28,59.7
2016-06-29,60.3
2016-06-30,59.5
2016-07-01,62.9
2016-07-04,63.35
2016-07-05,63.05
2016-07-07,62.15
2016-07-08,63.35
2016-07-11,62.85
2016-07-12,62.15
2016-07-13,60.8
2016-07-14,63.05
2016-07-15,61.3
2016-07-18,58.7
2016-07-19,59.2
2016-07-20,59.85
2016-07-21,60.15
2016-07-22,59.5
2016-07-25,60.25
2016-07-26,59.35
2016-07-27,58.55
2016-07-28,58.35
2016-07-29,58.05
2016-08-01,57.95
2016-08-02,57.6
2016-08-03,56.5
2016-08-04,56.55
2016-08-05,58.65
2016-08-08,58.65
2016-08-09,57.85
2016-08-10,56.25
2016-08-11,56.25
2016-08-12,57.6
2016-08-16,55.4
2016-08-17,57.2
2016-08-18,60.6
2016-08-19,60.3
2016-08-22,59.3
2016-08-23,59.3
2016-08-24,60.0
2016-08-25,59.5
2016-08-26,58.0
2016-08-29,57.0
2016-08-30,58.45
2016-08-31,58.3
2016-09-01,59.35
2016-09-02,59.55
2016-09-06,58.65
2016-09-07,58.45
2016-09-08,61.4
2016-09-09,60.35
2016-09-12,57.95
2016-09-14,59.15
2016-09-15,58.25
2016-09-16,58.75
2016-09-19,59.45
2016-09-20,58.5
2016-09-21,58.45
2016-09-22,59.1
2016-09-23,58.25
2016-09-26,56.95
2016-09-27,57.7
2016-09-28,57.65
2016-09-29,53.35
2016-09-30,54.25
2016-10-03,56.6
2016-10-04,56.35
2016-10-05,57.1
2016-10-06,55.6
2016-10-07,54.8
2016-10-10,54.45
2016-10-13,52.55
2016-10-14,53.75
2016-10-17,53.85
2016-10-18,56.4
2016-10-19,56.75
2016-10-20,56.8
2016-10-21,56.7
2016-10-24,58.35
2016-10-25,61.6
2016-10-26,60.05
2016-10-27,58.95
2016-10-28,60.3
2016-10-30,60.15
2016-11-01,59.15
2016-11-02,57.45
2016-11-03,57.85
2016-11-04,54.8
2016-11-07,56.6
2016-11-08,57.45
2016-11-09,53.65
2016-11-10,55.6
2016-11-11,52.6
2016-11-15,48.5
2016-11-16,49.2
2016-11-17,46.95
2016-11-18,45.9
2016-11-21,41.45
2016-11-22,43.8
2016-11-23,44.8
2016-11-24,44.7
2016-11-25,46.05
2016-11-28,46.35
2016-11-29,47.85
2016-11-30,48.25
2016-12-01,48.65
2016-12-02,46.8
2016-12-05,47.25
2016-12-06,46.95
2016-12-07,53.8
2016-12-08,55.9
2016-12-09,53.8
2016-12-12,51.95
2016-12-13,54.25
2016-12-14,53.8
2016-12-15,53.05
2016-12-16,53.1
2016-12-19,52.7
2016-12-20,50.7
2016-12-21,50.45
2016-12-22,49.4
2016-12-23,50.3
2016-12-26,48.35
2016-12-27,49.55
2016-12-28,50.95
2016-12-29,51.0
2016-12-30,50.9
2017-01-02,51.35
2017-01-03,53.35
2017-01-04,52.45
2017-01-05,52.85
2017-01-06,51.55
2017-01-09,52.55
2017-01-10,52.65
2017-01-11,51.85
2017-01-12,51.5
2017-01-13,51.1
2017-01-16,52.25
2017-01-17,51.6
2017-01-18,51.25
2017-01-19,51.3
2017-01-20,50.75
2017-01-23,51.1
2017-01-24,50.95
2017-01-25,50.9
2017-01-27,53.1
2017-01-30,52.15
2017-01-31,51.1
2017-02-01,51.55
2017-02-02,51.05
2017-02-03,51.7
2017-02-06,51.95
2017-02-07,53.25
2017-02-08,55.15
2017-02-09,56.85
2017-02-10,57.95
2017-02-13,55.4
2017-02-14,54.25
2017-02-15,52.8
2017-02-16,53.25
2017-02-17,53.4
2017-02-20,53.05
2017-02-21,53.65
2017-02-22,52.6
2017-02-23,52.8
2017-02-27,52.0
2017-02-28,54.55
2017-03-01,56.05
2017-03-02,54.0
2017-03-03,53.55
2017-03-06,54.9
2017-03-07,53.6
2017-03-08,53.0
2017-03-09,52.1
2017-03-10,50.85
2017-03-14,52.35
2017-03-15,53.2
2017-03-16,52.3
2017-03-17,52.05
2017-03-20,52.1
2017-03-21,51.65
2017-03-22,51.4
2017-03-23,52.3
2017-03-24,52.2
2017-03-27,53.55
2017-03-28,53.6
2017-03-29,55.4
2017-03-30,56.75
2017-03-31,56.15
2017-04-03,59.8
2017-04-05,59.1
2017-04-06,57.85
2017-04-07,56.9
2017-04-10,58.15
2017-04-11,61.7
2017-04-12,62.1
2017-04-13,60.95
2017-04-17,61.45
2017-04-18,59.05
2017-04-19,60.85
2017-04-20,61.75
2017-04-21,61.9
2017-04-24,62.5
2017-04-25,62.05
2017-04-26,61.9
2017-04-27,60.55
2017-04-28,59.5
2017-05-02,59.5
2017-05-03,59.35
2017-05-04,58.7
2017-05-05,56.95
2017-05-08,58.4
2017-05-09,58.5
2017-05-10,58.9
2017-05-11,59.15
2017-05-12,57.85
2017-05-15,58.25
2017-05-16,57.65
2017-05-17,56.7
2017-05-18,55.3
2017-05-19,54.25
2017-05-22,53.6
2017-05-23,52.55
2017-05-24,52.5
2017-05-25,57.25
2017-05-26,56.9
2017-05-29,55.25
2017-05-30,56.65
2017-05-31,55.2
2017-06-01,55.25
2017-06-02,55.35
2017-06-05,55.65
2017-06-06,55.6
2017-06-07,54.7
2017-06-08,53.45
2017-06-09,55.0
2017-06-12,54.5
2017-06-13,56.3
2017-06-14,57.0
2017-06-15,57.15
2017-06-16,58.7
2017-06-19,58.3
2017-06-20,59.35
2017-06-21,57.75
2017-06-22,57.2
2017-06-23,56.15
2017-06-27,54.35
2017-06-28,53.65
2017-06-29,54.6
2017-06-30,54.3
2017-07-03,54.75
2017-07-04,55.05
2017-07-05,56.6
2017-07-06,57.75
2017-07-07,59.65
2017-07-10,59.85
2017-07-11,59.3
2017-07-12,58.9
2017-07-13,57.65
2017-07-14,56.3
2017-07-17,57.2
2017-07-18,55.8
2017-07-19,56.15
2017-07-20,55.6
2017-07-21,62.65
2017-07-24,63.2
2017-07-25,61.9
2017-07-26,61.35
2017-07-27,58.7
2017-07-28,58.75
2017-07-31,59.3
2017-08-01,58.65
2017-08-02,57.65
2017-08-03,59.15
2017-08-04,58.55
2017-08-07,59.75
2017-08-08,61.05
2017-08-09,58.4
2017-08-10,54.95
2017-08-11,54.3
2017-08-14,55.5
2017-08-16,56.25
2017-08-17,57.7
2017-08-18,59.45
2017-08-21,56.7
2017-08-22,56.0
2017-08-23,57.7
2017-08-24,58.0
2017-08-28,57.35
2017-08-29,56.55
2017-08-30,56.8
2017-08-31,57.85
2017-09-01,57.1
2017-09-04,56.45
2017-09-05,56.95
2017-09-06,60.1
2017-09-07,60.45
2017-09-08,58.85
2017-09-11,59.85
2017-09-12,58.65
2017-09-13,57.2
2017-09-14,57.35
2017-09-15,57.25
2017-09-18,57.85
2017-09-19,61.4
2017-09-20,63.95
2017-09-21,67.35
2017-09-22,66.2
2017-09-25,62.15
2017-09-26,63.85
2017-09-27,61.0
2017-09-28,62.35
2017-09-29,63.95
2017-10-03,62.9
2017-10-04,67.15
2017-10-05,67.45
2017-10-06,67.2
2017-10-09,65.9
2017-10-10,65.5
2017-10-11,64.0
2017-10-12,64.05
2017-10-13,62.9
2017-10-16,63.6
2017-10-17,65.55
2017-10-18,65.1
2017-10-19,63.9
2017-10-23,64.9
2017-10-24,66.6
2017-10-25,64.85
2017-10-26,68.3
2017-10-27,70.3
2017-10-30,68.1
2017-10-31,64.2
2017-11-01,63.95
2017-11-02,62.05
2017-11-03,61.35
2017-11-06,63.0
2017-11-07,60.6
2017-11-08,59.5
2017-11-09,59.85
2017-11-10,58.9
2017-11-13,58.35
2017-11-14,58.4
2017-11-15,57.05
2017-11-16,57.3
2017-11-17,58.8
2017-11-20,59.5
2017-11-21,58.1
2017-11-22,58.1
2017-11-23,58.1
2017-11-24,59.85
2017-11-27,60.5
2017-11-28,59.35
2017-11-29,59.25
2017-11-30,58.8
2017-12-01,57.3
2017-12-04,56.45
2017-12-05,56.35
2017-12-06,55.35
2017-12-07,56.1
2017-12-08,56.1
2017-12-11,56.7
2017-12-12,55.65
2017-12-13,55.1
2017-12-14,54.4
2017-12-15,54.2
2017-12-18,56.3
2017-12-19,58.0
2017-12-20,59.6
2017-12-21,61.2
2017-12-22,62.9
2017-12-26,61.5
2017-12-27,59.35
2017-12-28,59.85
2017-12-29,59.15
