Date,GPIL
2013-01-01,117.6
2013-01-02,117.85
2013-01-03,120.1
2013-01-04,117.85
2013-01-07,119.85
2013-01-08,122.55
2013-01-09,121.7
2013-01-10,120.4
2013-01-11,117.7
2013-01-14,118.45
2013-01-15,117.25
2013-01-16,117.1
2013-01-17,116.55
2013-01-18,115.2
2013-01-21,115.95
2013-01-22,115.45
2013-01-23,113.5
2013-01-24,111.4
2013-01-25,111.65
2013-01-28,112.1
2013-01-29,110.0
2013-01-30,108.2
2013-01-31,107.7
2013-02-01,105.7
2013-02-04,103.7
2013-02-05,102.2
2013-02-06,103.75
2013-02-07,101.5
2013-02-08,102.5
2013-02-11,104.0
2013-02-12,103.3
2013-02-13,103.15
2013-02-14,97.95
2013-02-15,99.1
2013-02-18,101.3
2013-02-19,103.25
2013-02-20,103.65
2013-02-21,100.25
2013-02-22,100.65
2013-02-25,98.45
2013-02-26,94.3
2013-02-27,93.95
2013-02-28,90.9
2013-03-01,88.8
2013-03-04,87.5
2013-03-05,90.35
2013-03-06,93.2
2013-03-07,93.35
2013-03-08,93.4
2013-03-11,92.45
2013-03-12,92.1
2013-03-13,91.4
2013-03-14,91.55
2013-03-15,88.45
2013-03-18,91.6
2013-03-19,88.65
2013-03-20,86.15
2013-03-21,84.6
2013-03-22,87.05
2013-03-25,82.8
2013-03-26,80.2
2013-03-28,82.6
2013-04-01,86.0
2013-04-02,88.95
2013-04-03,88.8
2013-04-04,86.5
2013-04-05,84.3
2013-04-08,83.45
2013-04-09,82.25
2013-04-10,81.95
2013-04-11,82.45
2013-04-12,82.7
2013-04-15,82.5
2013-04-16,84.75
2013-04-17,84.35
2013-04-18,83.7
2013-04-22,84.4
2013-04-23,84.75
2013-04-25,86.75
2013-04-26,87.6
2013-04-29,88.6
2013-04-30,86.0
2013-05-02,85.3
2013-05-03,87.0
2013-05-06,85.5
2013-05-07,86.1
2013-05-08,85.9
2013-05-09,86.25
2013-05-10,87.35
2013-05-11,87.8
2013-05-13,85.95
2013-05-14,86.75
2013-05-15,86.85
2013-05-16,86.7
2013-05-17,84.95
2013-05-20,85.45
2013-05-21,84.8
2013-05-22,83.45
2013-05-23,80.0
2013-05-24,80.75
2013-05-27,81.95
2013-05-28,81.0
2013-05-29,84.65
2013-05-30,85.2
2013-05-31,81.75
2013-06-03,81.7
2013-06-04,81.5
2013-06-05,81.2
2013-06-06,81.7
2013-06-07,80.6
2013-06-10,80.4
2013-06-11,77.5
2013-06-12,78.75
2013-06-13,76.4
2013-06-14,78.0
2013-06-17,77.5
2013-06-18,81.2
2013-06-19,81.6
2013-06-20,78.45
2013-06-21,77.9
2013-06-24,75.45
2013-06-25,74.1
2013-06-26,73.1
2013-06-27,73.55
2013-06-28,73.95
2013-07-01,76.15
2013-07-02,74.8
2013-07-03,75.6
2013-07-04,74.95
2013-07-05,76.5
2013-07-08,75.25
2013-07-09,76.5
2013-07-10,76.4
2013-07-11,76.4
2013-07-12,74.2
2013-07-15,74.15
2013-07-16,74.1
2013-07-17,73.5
2013-07-18,73.95
2013-07-19,74.75
2013-07-22,73.0
2013-07-23,74.55
2013-07-24,72.65
2013-07-25,71.65
2013-07-26,70.95
2013-07-29,68.65
2013-07-30,66.25
2013-07-31,65.95
2013-08-01,65.0
2013-08-02,64.55
2013-08-05,64.8
2013-08-06,63.25
2013-08-07,64.55
2013-08-08,65.7
2013-08-12,68.9
2013-08-13,70.75
2013-08-14,71.15
2013-08-16,68.75
2013-08-19,65.3
2013-08-20,68.05
2013-08-21,69.8
2013-08-22,71.5
2013-08-23,71.9
2013-08-26,73.2
2013-08-27,72.7
2013-08-28,71.85
2013-08-29,72.7
2013-08-30,71.15
2013-09-02,73.15
2013-09-03,77.4
2013-09-04,77.55
2013-09-05,79.6
2013-09-06,78.95
2013-09-10,80.35
2013-09-11,81.3
2013-09-12,82.55
2013-09-13,84.15
2013-09-16,84.9
2013-09-17,84.65
2013-09-18,81.95
2013-09-19,82.85
2013-09-20,82.25
2013-09-23,84.55
2013-09-24,83.05
2013-09-25,81.1
2013-09-26,81.5
2013-09-27,81.65
2013-09-30,78.3
2013-10-01,78.7
2013-10-03,80.7
2013-10-04,78.85
2013-10-07,79.7
2013-10-08,80.15
2013-10-09,88.75
2013-10-10,90.35
2013-10-11,88.3
2013-10-14,87.4
2013-10-15,85.55
2013-10-17,84.35
2013-10-18,85.95
2013-10-21,87.0
2013-10-22,87.85
2013-10-23,87.7
2013-10-24,87.05
2013-10-25,85.1
2013-10-28,83.3
2013-10-29,84.3
2013-10-30,84.15
2013-10-31,81.6
2013-11-01,84.75
2013-11-03,86.95
2013-11-05,91.4
2013-11-06,91.25
2013-11-07,89.25
2013-11-08,90.2
2013-11-11,83.65
2013-11-12,82.75
2013-11-13,81.75
2013-11-14,83.25
2013-11-18,81.55
2013-11-19,82.95
2013-11-20,82.9
2013-11-21,81.9
2013-11-22,80.75
2013-11-25,88.95
2013-11-26,88.55
2013-11-27,88.65
2013-11-28,87.25
2013-11-29,86.6
2013-12-02,83.6
2013-12-03,84.35
2013-12-04,89.5
2013-12-05,88.05
2013-12-06,87.85
