Date,NEULANDLAB
2013-01-01,115.65
2013-01-02,121.4
2013-01-03,127.45
2013-01-04,133.8
2013-01-07,129.5
2013-01-08,130.9
2013-01-09,126.65
2013-01-10,121.9
2013-01-11,122.4
2013-01-14,123.35
2013-01-15,120.05
2013-01-16,121.3
2013-01-17,120.05
2013-01-18,122.1
2013-01-21,119.8
2013-01-22,117.8
2013-01-23,119.5
2013-01-24,119.4
2013-01-25,124.2
2013-01-28,130.4
2013-01-29,136.9
2013-01-30,132.05
2013-01-31,129.75
2013-02-01,127.25
2013-02-04,130.0
2013-02-05,130.0
2013-02-06,126.05
2013-02-07,119.8
2013-02-08,115.85
2013-02-11,119.75
2013-02-12,115.0
2013-02-13,111.1
2013-02-14,106.85
2013-02-15,101.55
2013-02-18,101.8
2013-02-19,103.0
2013-02-20,100.8
2013-02-21,101.0
2013-02-22,99.4
2013-02-25,99.15
2013-02-26,98.05
2013-02-27,96.0
2013-02-28,95.45
2013-03-01,94.3
2013-03-04,91.05
2013-03-05,89.1
2013-03-06,93.35
2013-03-07,97.2
2013-03-08,100.9
2013-03-11,100.35
2013-03-12,95.4
2013-03-13,93.95
2013-03-14,89.55
2013-03-15,88.8
2013-03-18,88.45
2013-03-19,88.55
2013-03-20,92.1
2013-03-21,92.7
2013-03-22,89.5
2013-03-25,93.95
2013-03-26,91.95
2013-03-28,93.05
2013-04-01,97.7
2013-04-02,102.55
2013-04-03,102.0
2013-04-04,101.75
2013-04-05,99.1
2013-04-08,100.45
2013-04-09,100.3
2013-04-10,99.45
2013-04-11,98.6
2013-04-12,99.3
2013-04-15,99.9
2013-04-16,101.0
2013-04-17,102.0
2013-04-18,107.1
2013-04-22,111.75
2013-04-23,108.7
2013-04-25,107.5
2013-04-26,112.85
2013-04-29,111.2
2013-04-30,112.0
2013-05-02,112.15
2013-05-03,111.1
2013-05-06,112.65
2013-05-07,113.1
2013-05-08,114.3
2013-05-09,120.4
2013-05-10,108.5
2013-05-11,117.6
2013-05-13,112.3
2013-05-14,108.9
2013-05-15,110.4
2013-05-16,109.55
2013-05-17,108.4
2013-05-20,106.75
2013-05-21,104.15
2013-05-22,100.4
2013-05-23,98.25
2013-05-24,101.55
2013-05-27,100.4
2013-05-28,99.4
2013-05-29,99.0
2013-05-30,99.7
2013-05-31,99.0
2013-06-03,99.1
2013-06-04,101.85
2013-06-05,99.9
2013-06-06,100.0
2013-06-07,99.5
2013-06-10,98.15
2013-06-11,99.0
2013-06-12,98.5
2013-06-13,90.95
2013-06-14,91.3
2013-06-17,92.15
2013-06-18,91.4
2013-06-19,93.7
2013-06-20,93.95
2013-06-21,91.85
2013-06-24,93.6
2013-06-25,90.6
2013-06-26,90.55
2013-06-27,89.0
2013-06-28,92.85
2013-07-01,100.45
2013-07-02,101.0
2013-07-03,99.95
2013-07-04,104.5
2013-07-05,112.85
2013-07-08,122.8
2013-07-09,132.65
2013-07-10,132.55
2013-07-11,138.25
2013-07-12,138.3
2013-07-15,160.8
2013-07-16,192.95
2013-07-17,212.2
2013-07-18,233.4
2013-07-19,256.7
2013-07-22,243.9
2013-07-23,254.9
2013-07-24,241.05
2013-07-25,235.4
2013-07-26,230.3
2013-07-29,241.8
2013-07-30,241.2
2013-07-31,235.2
2013-08-01,223.45
2013-08-02,234.6
2013-08-05,246.3
2013-08-06,238.9
2013-08-07,250.05
2013-08-08,244.4
2013-08-12,244.0
2013-08-13,255.85
2013-08-14,268.6
2013-08-16,255.2
2013-08-19,242.45
2013-08-20,230.35
2013-08-21,218.85
2013-08-22,215.75
2013-08-23,223.85
2013-08-26,220.2
2013-08-27,209.6
2013-08-28,216.95
2013-08-29,216.8
2013-08-30,216.6
2013-09-02,215.5
2013-09-03,219.95
2013-09-04,224.2
2013-09-05,227.9
2013-09-06,237.75
