Date,AYMSYNTEX
2015-08-14,128.15
2015-08-17,132.65
2015-08-18,138.9
2015-08-19,145.8
2015-08-20,140.95
2015-08-21,136.85
2015-08-24,130.05
2015-08-25,123.55
2015-08-26,117.4
2015-08-27,116.15
2015-08-28,110.35
2015-08-31,107.5
2015-09-01,102.15
2015-09-02,103.45
2015-09-03,108.6
2015-09-04,103.5
2015-09-07,98.35
2015-09-08,93.7
2015-09-09,98.35
2015-09-10,103.25
2015-09-11,108.4
2015-09-14,113.8
2015-09-15,116.05
2015-09-16,111.45
2015-09-18,117.0
2015-09-21,117.85
2015-09-22,115.15
2015-09-23,115.65
2015-09-24,114.75
2015-09-28,109.25
2015-09-29,104.25
2015-09-30,106.6
2015-10-01,106.05
2015-10-05,108.95
2015-10-06,106.7
2015-10-07,104.35
2015-10-08,102.3
2015-10-09,97.35
2015-10-12,99.8
2015-10-13,96.55
2015-10-14,106.2
2015-10-15,113.55
2015-10-16,109.9
2015-10-19,112.15
2015-10-20,108.95
2015-10-21,110.25
2015-10-23,109.6
2015-10-26,111.4
2015-10-27,112.9
2015-10-28,121.85
2015-10-29,123.5
2015-10-30,124.4
2015-11-02,112.0
2015-11-03,112.5
2015-11-04,106.1
2015-11-05,107.7
2015-11-06,105.45
2015-11-09,109.7
2015-11-10,106.55
2015-11-11,110.85
2015-11-13,111.85
2015-11-16,113.35
2015-11-17,114.15
2015-11-18,111.1
2015-11-19,114.3
2015-11-20,116.05
2015-11-23,121.3
2015-11-24,140.65
2015-11-26,141.2
2015-11-27,136.35
2015-11-30,137.1
2015-12-01,137.8
2015-12-02,136.2
2015-12-03,138.2
2015-12-04,142.95
2015-12-07,137.25
2015-12-08,133.95
2015-12-09,124.4
2015-12-10,128.2
2015-12-11,128.5
2015-12-14,131.9
2015-12-15,132.9
2015-12-16,136.9
2015-12-17,140.25
2015-12-18,143.25
2015-12-21,156.5
2015-12-22,148.9
2015-12-23,149.2
2015-12-24,157.45
2015-12-28,154.6
2015-12-29,151.2
2015-12-30,151.0
2015-12-31,152.7
2016-01-01,153.75
2016-01-04,147.35
2016-01-05,146.4
2016-01-06,140.65
2016-01-07,136.25
2016-01-08,136.45
2016-01-11,138.05
2016-01-12,134.5
2016-01-13,132.15
2016-01-14,128.25
2016-01-15,121.75
2016-01-18,107.1
2016-01-19,113.85
2016-01-20,119.4
2016-01-21,125.3
2016-01-22,126.4
2016-01-25,127.45
2016-01-27,133.65
2016-01-28,125.05
2016-01-29,127.25
2016-02-01,126.55
2016-02-02,126.65
2016-02-03,118.35
2016-02-04,115.7
2016-02-05,115.7
2016-02-08,116.55
2016-02-09,116.95
2016-02-10,108.1
2016-02-11,98.0
2016-02-12,100.0
2016-02-15,105.9
2016-02-16,98.1
2016-02-17,96.65
2016-02-18,98.6
2016-02-19,98.05
2016-02-22,97.25
2016-02-23,97.1
2016-02-24,93.45
2016-02-25,90.2
2016-02-26,91.8
2016-02-29,88.6
2016-03-01,92.4
2016-03-02,94.35
2016-03-03,93.9
2016-03-04,98.05
2016-03-08,98.35
2016-03-09,103.0
2016-03-10,101.0
2016-03-11,99.35
2016-03-14,99.05
2016-03-15,95.45
2016-03-16,94.35
2016-03-17,101.45
2016-03-18,99.4
2016-03-21,99.4
2016-03-22,99.6
2016-03-23,100.75
2016-03-28,97.4
2016-03-29,95.15
2016-03-30,97.6
2016-03-31,97.45
2016-04-01,101.85
2016-04-04,101.55
2016-04-05,99.95
2016-04-06,100.55
2016-04-07,98.7
2016-04-08,102.9
2016-04-11,102.7
2016-04-12,103.65
2016-04-13,103.55
2016-04-18,103.1
2016-04-20,105.95
2016-04-21,104.4
2016-04-22,105.45
2016-04-25,105.4
2016-04-26,107.45
2016-04-27,107.55
2016-04-28,104.75
2016-04-29,104.65
2016-05-02,106.2
2016-05-03,107.45
2016-05-04,105.5
2016-05-05,104.75
2016-05-06,105.4
2016-05-09,107.65
2016-05-10,104.75
2016-05-11,101.9
2016-05-12,103.55
2016-05-13,107.8
2016-05-16,109.75
2016-05-17,107.3
2016-05-18,110.05
2016-05-19,110.8
2016-05-20,107.8
2016-05-23,105.6
2016-05-24,106.95
2016-05-25,107.3
2016-05-26,109.2
2016-05-27,105.3
2016-05-30,103.75
2016-05-31,104.4
2016-06-01,103.0
2016-06-02,101.5
2016-06-03,103.5
2016-06-06,101.9
2016-06-07,100.35
2016-06-08,99.85
2016-06-09,97.2
2016-06-10,99.8
2016-06-13,99.15
2016-06-14,102.8
2016-06-15,100.45
2016-06-16,98.05
2016-06-17,98.15
2016-06-20,98.25
2016-06-21,101.4
2016-06-22,98.65
2016-06-23,98.5
2016-06-24,99.15
2016-06-27,98.3
2016-06-28,98.25
2016-06-29,102.25
2016-06-30,102.45
2016-07-01,100.65
2016-07-04,101.2
2016-07-05,99.1
2016-07-07,99.05
2016-07-08,98.7
2016-07-11,98.3
2016-07-12,97.75
2016-07-13,97.1
2016-07-14,100.0
2016-07-15,98.1
2016-07-18,99.4
2016-07-19,97.4
2016-07-20,97.4
2016-07-21,93.95
2016-07-22,95.25
2016-07-25,96.75
2016-07-26,98.85
2016-07-27,98.15
2016-07-28,98.6
2016-07-29,98.45
2016-08-01,95.35
2016-08-02,93.15
2016-08-03,92.65
2016-08-04,92.55
2016-08-05,94.05
2016-08-08,92.5
2016-08-09,92.65
2016-08-10,89.95
2016-08-11,91.5
2016-08-12,89.75
2016-08-16,88.7
2016-08-17,88.65
2016-08-18,90.0
2016-08-19,89.1
2016-08-22,77.45
2016-08-23,74.75
2016-08-24,78.8
2016-08-25,79.6
2016-08-26,76.9
2016-08-29,78.2
2016-08-30,80.05
2016-08-31,80.55
2016-09-01,84.0
2016-09-02,91.35
2016-09-06,90.85
2016-09-07,90.05
2016-09-08,89.85
2016-09-09,85.05
2016-09-12,84.35
2016-09-14,83.8
2016-09-15,81.95
2016-09-16,83.3
2016-09-19,82.9
2016-09-20,82.65
2016-09-21,82.85
2016-09-22,83.05
2016-09-23,84.8
2016-09-26,83.25
2016-09-27,82.9
2016-09-28,85.1
2016-09-29,81.25
2016-09-30,82.05
2016-10-03,82.8
2016-10-04,85.45
2016-10-05,86.5
2016-10-06,86.85
2016-10-07,86.05
2016-10-10,85.75
2016-10-13,85.9
2016-10-14,85.35
2016-10-17,84.1
2016-10-18,85.35
2016-10-19,84.55
2016-10-20,85.4
2016-10-21,86.9
2016-10-24,89.95
2016-10-25,88.55
2016-10-26,88.35
2016-10-27,85.95
2016-10-28,85.65
2016-10-30,85.05
2016-11-01,85.3
2016-11-02,82.55
2016-11-03,82.6
2016-11-04,77.75
2016-11-07,78.65
2016-11-08,77.85
2016-11-09,75.4
2016-11-10,77.7
2016-11-11,74.5
2016-11-15,68.8
2016-11-16,67.2
2016-11-17,68.5
2016-11-18,67.6
2016-11-21,66.8
2016-11-22,67.05
2016-11-23,67.75
2016-11-24,67.95
2016-11-25,69.45
2016-11-28,69.05
2016-11-29,70.65
2016-11-30,72.4
2016-12-01,73.4
2016-12-02,72.35
2016-12-05,74.15
2016-12-06,72.95
2016-12-07,73.15
2016-12-08,73.7
2016-12-09,75.65
2016-12-12,72.8
2016-12-13,74.3
2016-12-14,73.05
2016-12-15,72.95
2016-12-16,73.5
2016-12-19,73.5
2016-12-20,73.6
2016-12-21,71.55
2016-12-22,69.35
2016-12-23,72.8
2016-12-26,69.35
2016-12-27,69.35
2016-12-28,69.35
2016-12-29,69.15
2016-12-30,70.5
2017-01-02,70.15
2017-01-03,70.2
2017-01-04,70.75
2017-01-05,71.1
2017-01-06,74.3
2017-01-09,75.35
2017-01-10,74.65
2017-01-11,74.75
2017-01-12,74.9
2017-01-13,74.45
2017-01-16,75.2
2017-01-17,75.45
2017-01-18,82.15
2017-01-19,79.85
2017-01-20,76.85
2017-01-23,82.55
2017-01-24,91.4
2017-01-25,89.45
2017-01-27,98.15
2017-01-30,98.05
