Date,ASHOKLEY
2013-01-01,27.3
2013-01-02,27.3
2013-01-03,27.15
2013-01-04,26.65
2013-01-07,26.6
2013-01-08,26.7
2013-01-09,26.75
2013-01-10,27.0
2013-01-11,26.65
2013-01-14,27.0
2013-01-15,26.4
2013-01-16,26.7
2013-01-17,26.65
2013-01-18,26.3
2013-01-21,26.35
2013-01-22,25.6
2013-01-23,24.95
2013-01-24,24.4
2013-01-25,25.0
2013-01-28,24.9
2013-01-29,24.8
2013-01-30,24.85
2013-01-31,24.45
2013-02-01,24.65
2013-02-04,24.85
2013-02-05,25.25
2013-02-06,25.1
2013-02-07,24.8
2013-02-08,23.7
2013-02-11,23.35
2013-02-12,23.25
2013-02-13,23.1
2013-02-14,22.7
2013-02-15,22.65
2013-02-18,23.15
2013-02-19,23.1
2013-02-20,23.4
2013-02-21,22.7
2013-02-22,22.9
2013-02-25,23.3
2013-02-26,22.65
2013-02-27,22.75
2013-02-28,22.25
2013-03-01,23.2
2013-03-04,22.5
2013-03-05,23.25
2013-03-06,23.25
2013-03-07,23.35
2013-03-08,24.05
2013-03-11,23.65
2013-03-12,23.25
2013-03-13,22.6
2013-03-14,22.8
2013-03-15,22.6
2013-03-18,22.8
2013-03-19,23.15
2013-03-20,22.65
2013-03-21,22.85
2013-03-22,23.0
2013-03-25,22.35
2013-03-26,22.1
2013-03-28,21.85
2013-04-01,22.15
2013-04-02,22.45
2013-04-03,22.3
2013-04-04,21.95
2013-04-05,22.2
2013-04-08,22.05
2013-04-09,21.8
2013-04-10,21.8
2013-04-11,21.95
2013-04-12,21.95
2013-04-15,22.1
2013-04-16,22.3
2013-04-17,22.05
2013-04-18,22.4
2013-04-22,22.5
2013-04-23,22.7
2013-04-25,22.5
2013-04-26,22.4
2013-04-29,22.5
2013-04-30,22.8
2013-05-02,22.95
2013-05-03,22.65
2013-05-06,22.55
2013-05-07,23.25
2013-05-08,22.85
2013-05-09,22.65
2013-05-10,22.45
2013-05-11,22.45
2013-05-13,22.05
2013-05-14,22.15
2013-05-15,22.5
2013-05-16,23.45
2013-05-17,23.3
2013-05-20,23.9
2013-05-21,23.55
2013-05-22,23.1
2013-05-23,22.95
2013-05-24,23.15
2013-05-27,23.9
2013-05-28,23.95
2013-05-29,23.9
2013-05-30,24.35
2013-05-31,23.75
2013-06-03,23.35
2013-06-04,23.55
2013-06-05,23.85
2013-06-06,23.8
2013-06-07,23.05
2013-06-10,22.4
2013-06-11,21.0
2013-06-12,21.15
2013-06-13,21.5
2013-06-14,22.45
2013-06-17,22.4
2013-06-18,22.1
2013-06-19,22.15
2013-06-20,21.75
2013-06-21,21.25
2013-06-24,20.5
2013-06-25,20.65
2013-06-26,20.0
2013-06-27,19.75
2013-06-28,20.1
2013-07-01,20.65
2013-07-02,20.2
2013-07-03,20.1
2013-07-04,18.55
2013-07-05,18.5
2013-07-08,18.6
2013-07-09,18.7
2013-07-10,18.4
2013-07-11,18.5
2013-07-12,17.8
2013-07-15,17.45
2013-07-16,15.75
2013-07-17,16.05
2013-07-18,15.35
2013-07-19,15.2
2013-07-22,14.95
2013-07-23,14.85
2013-07-24,14.45
2013-07-25,14.2
2013-07-26,14.5
2013-07-29,14.25
2013-07-30,13.55
2013-07-31,13.55
2013-08-01,12.75
2013-08-02,12.75
2013-08-05,12.2
2013-08-06,12.3
2013-08-07,12.45
2013-08-08,13.1
2013-08-12,13.4
2013-08-13,13.3
2013-08-14,13.25
2013-08-16,12.75
2013-08-19,12.8
2013-08-20,13.05
2013-08-21,12.2
2013-08-22,12.7
2013-08-23,12.95
2013-08-26,12.95
2013-08-27,12.45
2013-08-28,12.1
2013-08-29,11.85
2013-08-30,12.0
2013-09-02,12.5
2013-09-03,12.1
2013-09-04,12.65
2013-09-05,12.95
2013-09-06,13.0
2013-09-10,13.1
2013-09-11,13.6
2013-09-12,13.6
2013-09-13,13.3
2013-09-16,13.65
2013-09-17,13.65
2013-09-18,13.4
2013-09-19,13.75
2013-09-20,14.1
2013-09-23,13.9
2013-09-24,15.0
2013-09-25,14.75
2013-09-26,15.15
2013-09-27,15.05
2013-09-30,15.15
2013-10-01,15.0
2013-10-03,15.1
2013-10-04,15.7
2013-10-07,15.8
2013-10-08,15.7
2013-10-09,15.8
2013-10-10,16.5
2013-10-11,17.0
2013-10-14,16.95
2013-10-15,16.55
2013-10-17,16.5
2013-10-18,16.85
2013-10-21,17.0
2013-10-22,16.8
2013-10-23,16.85
