Date,SCHNEIDER
2013-01-01,85.75
2013-01-02,84.7
2013-01-03,83.7
2013-01-04,84.65
2013-01-07,85.45
2013-01-08,86.95
2013-01-09,88.05
2013-01-10,86.55
2013-01-11,85.2
2013-01-14,85.5
2013-01-15,85.35
2013-01-16,85.4
2013-01-17,85.65
2013-01-18,84.55
2013-01-21,84.35
2013-01-22,84.7
2013-01-23,83.35
2013-01-24,82.3
2013-01-25,84.85
2013-01-28,84.7
2013-01-29,85.35
2013-01-30,86.6
2013-01-31,86.15
2013-02-01,86.0
2013-02-04,87.4
2013-02-05,87.1
2013-02-06,86.8
2013-02-07,86.55
2013-02-08,84.25
2013-02-11,84.4
2013-02-12,82.85
2013-02-13,81.2
2013-02-14,78.85
2013-02-15,77.5
2013-02-18,77.9
2013-02-19,78.15
2013-02-20,79.05
2013-02-21,79.0
2013-02-22,77.1
2013-02-25,78.0
2013-02-26,75.05
2013-02-27,77.95
2013-02-28,79.05
2013-03-01,80.6
2013-03-04,78.0
2013-03-05,75.85
2013-03-06,76.3
2013-03-07,74.7
2013-03-08,74.65
2013-03-11,75.8
2013-03-12,77.0
2013-03-13,77.0
2013-03-14,75.6
2013-03-15,75.4
2013-03-18,73.35
2013-03-19,75.0
2013-03-20,74.65
2013-03-21,75.0
2013-03-22,74.15
2013-03-25,73.25
2013-03-26,72.8
2013-03-28,72.8
2013-04-01,73.2
2013-04-02,75.75
2013-04-03,75.8
2013-04-04,74.15
2013-04-05,75.5
2013-04-08,74.8
2013-04-09,74.35
2013-04-10,74.0
2013-04-11,74.0
2013-04-12,74.1
2013-04-15,73.3
2013-04-16,74.2
2013-04-17,73.8
2013-04-18,74.85
2013-04-22,75.75
2013-04-23,75.85
2013-04-25,74.35
2013-04-26,74.75
2013-04-29,75.95
2013-04-30,76.45
2013-05-02,74.75
2013-05-03,74.2
2013-05-06,74.85
2013-05-07,74.3
2013-05-08,74.85
2013-05-09,76.75
2013-05-10,77.0
2013-05-11,75.6
2013-05-13,76.9
2013-05-14,78.75
2013-05-15,76.8
2013-05-16,78.2
2013-05-17,84.1
2013-05-20,81.15
2013-05-21,80.25
2013-05-22,80.7
2013-05-23,77.0
2013-05-24,76.7
2013-05-27,75.2
2013-05-28,74.95
2013-05-29,73.8
2013-05-30,73.25
2013-05-31,73.4
2013-06-03,73.4
2013-06-04,72.25
2013-06-05,72.6
2013-06-06,72.8
2013-06-07,71.7
2013-06-10,70.5
2013-06-11,70.0
2013-06-12,69.55
2013-06-13,69.55
2013-06-14,69.6
2013-06-17,69.75
2013-06-18,69.1
2013-06-19,68.9
2013-06-20,68.05
2013-06-21,68.6
2013-06-24,65.85
2013-06-25,65.25
2013-06-26,65.05
2013-06-27,65.7
2013-06-28,65.65
2013-07-01,70.4
2013-07-02,69.75
2013-07-03,68.7
2013-07-04,68.9
2013-07-05,68.1
2013-07-08,66.9
2013-07-09,67.95
2013-07-10,67.1
2013-07-11,71.3
2013-07-12,71.25
2013-07-15,70.95
2013-07-16,70.25
2013-07-17,69.25
2013-07-18,73.0
2013-07-19,72.65
2013-07-22,70.35
2013-07-23,70.25
2013-07-24,68.6
2013-07-25,67.6
2013-07-26,66.35
2013-07-29,65.8
2013-07-30,65.3
2013-07-31,63.35
2013-08-01,63.3
2013-08-02,61.95
2013-08-05,60.2
2013-08-06,57.15
2013-08-07,56.85
2013-08-08,60.2
2013-08-12,62.2
2013-08-13,60.9
2013-08-14,61.65
2013-08-16,58.0
2013-08-19,58.0
2013-08-20,57.0
2013-08-21,56.05
2013-08-22,55.85
2013-08-23,58.0
2013-08-26,57.95
2013-08-27,56.1
2013-08-28,55.0
2013-08-29,57.15
2013-08-30,58.45
2013-09-02,58.65
2013-09-03,58.9
2013-09-04,58.75
2013-09-05,66.35
2013-09-06,69.85
2013-09-10,67.6
2013-09-11,66.9
2013-09-12,66.15
2013-09-13,66.8
2013-09-16,64.05
2013-09-17,63.45
2013-09-18,63.1
2013-09-19,63.0
2013-09-20,61.9
2013-09-23,61.65
2013-09-24,61.2
2013-09-25,58.55
2013-09-26,58.6
2013-09-27,59.25
2013-09-30,58.25
2013-10-01,58.65
2013-10-03,58.65
2013-10-04,59.0
2013-10-07,58.75
2013-10-08,58.75
2013-10-09,59.3
2013-10-10,62.15
2013-10-11,61.25
2013-10-14,59.9
2013-10-15,58.65
2013-10-17,59.2
2013-10-18,59.75
2013-10-21,62.0
2013-10-22,64.25
2013-10-23,63.5
2013-10-24,64.55
2013-10-25,63.8
2013-10-28,65.4
2013-10-29,64.5
2013-10-30,63.9
2013-10-31,64.35
2013-11-01,63.7
2013-11-03,64.4
2013-11-05,63.35
2013-11-06,67.55
2013-11-07,64.4
2013-11-08,63.6
2013-11-11,63.0
2013-11-12,61.9
2013-11-13,61.5
2013-11-14,61.9
2013-11-18,61.85
2013-11-19,62.0
2013-11-20,62.45
2013-11-21,63.85
2013-11-22,65.95
2013-11-25,68.35
2013-11-26,66.7
2013-11-27,65.15
2013-11-28,66.05
2013-11-29,67.0
2013-12-02,66.55
2013-12-03,69.2
2013-12-04,68.7
2013-12-05,67.6
2013-12-06,67.5
2013-12-09,66.55
2013-12-10,66.55
2013-12-11,66.75
2013-12-12,68.6
2013-12-13,68.85
2013-12-16,66.55
2013-12-17,66.9
2013-12-18,66.8
2013-12-19,66.25
2013-12-20,69.0
2013-12-23,69.7
2013-12-24,71.2
2013-12-26,70.6
2013-12-27,71.05
2013-12-30,72.95
2013-12-31,72.2
2014-01-01,72.8
2014-01-02,73.85
2014-01-03,73.35
2014-01-06,71.2
2014-01-07,70.8
2014-01-08,70.6
2014-01-09,69.05
2014-01-10,66.95
2014-01-13,74.3
2014-01-14,76.4
2014-01-15,73.0
2014-01-16,71.55
2014-01-17,69.05
2014-01-20,71.3
2014-01-21,73.6
2014-01-22,72.75
2014-01-23,71.7
2014-01-24,69.75
2014-01-27,66.55
2014-01-28,66.55
2014-01-29,65.05
2014-01-30,63.85
2014-01-31,64.65
2014-02-03,66.15
2014-02-04,67.2
2014-02-05,67.1
2014-02-06,67.45
2014-02-07,69.0
2014-02-10,68.7
2014-02-11,67.4
2014-02-12,66.25
2014-02-13,67.05
2014-02-14,66.55
2014-02-17,65.85
2014-02-18,67.05
2014-02-19,69.0
2014-02-20,67.35
2014-02-21,67.85
2014-02-24,67.3
2014-02-25,67.25
2014-02-26,68.05
2014-02-28,67.6
2014-03-03,68.5
2014-03-04,69.55
2014-03-05,72.3
2014-03-06,76.0
2014-03-07,76.15
2014-03-10,78.05
2014-03-11,81.3
2014-03-12,80.0
2014-03-13,81.75
2014-03-14,81.65
2014-03-18,81.0
2014-03-19,80.15
2014-03-20,79.25
2014-03-21,80.45
2014-03-22,81.25
2014-03-24,81.1
2014-03-25,86.1
2014-03-26,84.75
2014-03-27,83.7
2014-03-28,83.65
2014-03-31,86.3
2014-04-01,85.8
2014-04-02,88.7
2014-04-03,87.2
2014-04-04,88.05
2014-04-07,86.55
2014-04-09,92.6
2014-04-10,92.8
2014-04-11,90.6
2014-04-15,89.9
2014-04-16,90.1
2014-04-17,91.85
2014-04-21,90.85
2014-04-22,89.4
2014-04-23,91.05
2014-04-25,96.0
2014-04-28,92.95
2014-04-29,92.9
2014-04-30,92.2
2014-05-02,92.0
2014-05-05,91.85
2014-05-06,92.5
2014-05-07,93.1
2014-05-08,93.0
2014-05-09,94.0
2014-05-12,94.3
2014-05-13,94.9
2014-05-14,96.55
2014-05-15,93.95
2014-05-16,104.1
2014-05-19,113.8
2014-05-20,115.3
2014-05-21,118.9
2014-05-22,115.4
2014-05-23,119.45
2014-05-26,115.5
2014-05-27,112.2
2014-05-28,118.55
2014-05-29,120.3
2014-05-30,119.45
2014-06-02,118.55
2014-06-03,122.45
2014-06-04,122.55
2014-06-05,124.5
2014-06-06,125.3
2014-06-09,126.3
2014-06-10,124.35
2014-06-11,127.8
2014-06-12,130.05
2014-06-30,132.0
2014-07-01,138.6
2014-07-02,144.45
2014-07-03,138.75
2014-07-04,138.4
2014-07-07,134.65
2014-07-08,132.25
2014-07-09,130.5
2014-07-10,131.9
2014-07-11,130.0
2014-07-14,130.1
2014-07-15,135.45
2014-07-16,135.35
2014-07-17,137.85
2014-07-18,144.25
2014-07-21,147.1
2014-07-22,140.55
2014-07-23,140.15
2014-07-24,139.15
2014-07-25,140.05
2014-07-28,139.45
2014-07-30,139.25
2014-07-31,140.0
2014-08-01,136.25
2014-08-04,135.15
2014-08-05,135.3
2014-08-06,135.5
2014-08-07,129.75
2014-08-08,128.7
