Date,SANOFI
2013-01-01,2273.95
2013-01-02,2300.0
2013-01-03,2380.9
2013-01-04,2367.55
2013-01-07,2360.6
2013-01-08,2337.0
2013-01-09,2330.7
2013-01-10,2337.35
2013-01-11,2320.8
2013-01-14,2322.6
2013-01-15,2331.45
2013-01-16,2323.5
2013-01-17,2311.6
2013-01-18,2346.0
2013-01-21,2321.3
2013-01-22,2300.0
2013-01-23,2262.05
2013-01-24,2247.1
2013-01-25,2240.95
2013-01-28,2260.25
2013-01-29,2258.1
2013-01-30,2251.7
2013-01-31,2315.9
2013-02-01,2300.15
2013-02-04,2330.35
2013-02-05,2257.05
2013-02-06,2256.7
2013-02-07,2267.15
2013-02-08,2296.9
2013-02-11,2275.3
2013-02-12,2270.85
2013-02-13,2253.5
2013-02-14,2239.4
2013-02-15,2323.1
2013-02-18,2321.95
2013-02-19,2322.2
2013-02-20,2321.25
2013-02-21,2321.6
2013-02-22,2339.3
2013-02-25,2340.15
2013-02-26,2321.35
2013-02-27,2355.8
2013-02-28,2347.85
2013-03-01,2348.55
2013-03-04,2349.85
2013-03-05,2350.05
2013-03-06,2353.5
2013-03-07,2352.0
2013-03-08,2352.85
2013-03-11,2416.75
2013-03-12,2420.7
2013-03-13,2408.5
2013-03-14,2426.35
2013-03-15,2485.8
2013-03-18,2522.8
2013-03-19,2589.35
2013-03-20,2496.5
2013-03-21,2440.5
2013-03-22,2373.75
2013-03-25,2403.3
2013-03-26,2524.4
2013-03-28,2597.0
2013-04-01,2604.9
2013-04-02,2580.75
2013-04-03,2599.2
2013-04-04,2521.35
2013-04-05,2520.3
2013-04-08,2551.65
2013-04-09,2600.7
2013-04-10,2719.9
2013-04-11,2765.8
2013-04-12,2646.8
2013-04-15,2571.7
2013-04-16,2573.45
2013-04-17,2541.45
2013-04-18,2517.35
2013-04-22,2651.45
2013-04-23,2590.95
2013-04-25,2539.2
2013-04-26,2505.85
2013-04-29,2487.65
2013-04-30,2555.5
2013-05-02,2551.25
2013-05-03,2510.95
2013-05-06,2512.3
2013-05-07,2503.55
2013-05-08,2527.35
2013-05-09,2504.6
2013-05-10,2513.6
2013-05-11,2500.0
2013-05-13,2513.95
2013-05-14,2511.25
2013-05-15,2494.1
2013-05-16,2500.0
2013-05-17,2509.55
2013-05-20,2499.25
2013-05-21,2499.95
2013-05-22,2500.45
2013-05-23,2512.7
2013-05-24,2489.9
2013-05-27,2517.3
2013-05-28,2629.8
2013-05-29,2667.4
2013-05-30,2617.2
2013-05-31,2528.55
2013-06-03,2626.5
2013-06-04,2606.45
2013-06-05,2554.5
2013-06-06,2550.6
2013-06-07,2509.1
2013-06-10,2500.7
2013-06-11,2500.25
2013-06-12,2469.75
2013-06-13,2454.35
2013-06-14,2455.1
2013-06-17,2499.45
2013-06-18,2500.2
2013-06-19,2499.85
2013-06-20,2478.9
2013-06-21,2513.5
2013-06-24,2494.65
2013-06-25,2457.2
2013-06-26,2425.0
2013-06-27,2438.4
2013-06-28,2431.95
2013-07-01,2446.45
2013-07-02,2446.9
2013-07-03,2450.05
2013-07-04,2494.95
2013-07-05,2459.65
2013-07-08,2473.2
2013-07-09,2433.15
2013-07-10,2450.5
2013-07-11,2457.1
2013-07-12,2460.9
2013-07-15,2452.3
2013-07-16,2443.25
2013-07-17,2402.25
2013-07-18,2379.0
2013-07-19,2375.1
2013-07-22,2364.9
2013-07-23,2412.1
2013-07-24,2380.0
2013-07-25,2385.25
2013-07-26,2467.4
2013-07-29,2427.9
2013-07-30,2378.85
2013-07-31,2374.25
