Date,NRBBEARING
2013-01-01,35.0
2013-01-02,34.95
2013-01-03,35.0
2013-01-04,36.3
2013-01-07,35.9
2013-01-08,36.4
2013-01-09,36.3
2013-01-10,36.55
2013-01-11,36.4
2013-01-14,35.9
2013-01-15,36.0
2013-01-16,35.55
2013-01-17,35.75
2013-01-18,35.8
2013-01-21,36.25
2013-01-22,36.1
2013-01-23,35.75
2013-01-24,34.8
2013-01-25,34.75
2013-01-28,35.45
2013-01-29,35.9
2013-01-30,35.3
2013-01-31,34.7
2013-02-01,34.8
2013-02-04,34.55
2013-02-05,34.9
2013-02-06,34.9
2013-02-07,35.55
2013-02-08,35.35
2013-02-11,35.25
2013-02-12,35.5
2013-02-13,35.3
2013-02-14,33.65
2013-02-15,32.65
2013-02-18,33.05
2013-02-19,34.2
2013-02-20,34.25
2013-02-21,34.0
2013-02-22,34.0
2013-02-25,34.0
2013-02-26,32.9
2013-02-27,31.8
2013-02-28,30.5
2013-03-01,32.25
2013-03-04,31.65
2013-03-05,32.0
2013-03-06,32.7
2013-03-07,32.35
2013-03-08,32.15
2013-03-11,32.8
2013-03-12,32.15
2013-03-13,32.25
2013-03-14,32.2
2013-03-15,32.15
2013-03-18,32.15
2013-03-19,32.35
2013-03-20,31.3
2013-03-21,30.35
2013-03-22,31.25
2013-03-25,31.0
2013-03-26,31.1
2013-03-28,31.05
2013-04-01,31.15
2013-04-02,32.55
2013-04-03,32.0
2013-04-04,32.25
2013-04-05,31.7
2013-04-08,32.0
2013-04-09,31.85
2013-04-10,32.0
2013-04-11,32.0
2013-04-12,31.0
2013-04-15,34.45
2013-04-16,33.15
2013-04-17,32.8
2013-04-18,33.75
2013-04-22,34.85
2013-04-23,35.4
2013-04-25,36.3
2013-04-26,35.1
2013-04-29,37.0
2013-04-30,35.65
2013-05-02,35.0
2013-05-03,38.8
2013-05-06,38.5
2013-05-07,38.25
2013-05-08,37.2
2013-05-09,37.8
2013-05-10,36.45
2013-05-11,36.5
2013-05-13,34.85
2013-05-14,34.35
2013-05-15,34.3
2013-05-16,35.45
2013-05-17,36.05
2013-05-20,36.75
2013-05-21,36.15
2013-05-22,36.25
2013-05-23,35.25
2013-05-24,35.05
2013-05-27,36.6
2013-05-28,36.05
2013-05-29,36.0
2013-05-30,36.1
2013-05-31,37.05
2013-06-03,37.9
2013-06-04,38.85
2013-06-05,39.3
2013-06-06,38.95
2013-06-07,37.5
2013-06-10,36.75
2013-06-11,35.9
2013-06-12,36.6
2013-06-13,37.05
2013-06-14,37.7
2013-06-17,37.75
2013-06-18,37.55
2013-06-19,38.5
2013-06-20,37.65
2013-06-21,37.35
2013-06-24,37.0
2013-06-25,37.95
2013-06-26,37.1
2013-06-27,36.2
2013-06-28,35.75
2013-07-01,36.05
2013-07-02,36.25
2013-07-03,35.4
2013-07-04,35.9
2013-07-05,35.95
2013-07-08,36.0
