Date,IOB
2013-01-01,89.9
2013-01-02,91.7
2013-01-03,92.7
2013-01-04,93.65
2013-01-07,93.15
2013-01-08,93.55
2013-01-09,92.8
2013-01-10,91.9
2013-01-11,89.2
2013-01-14,90.4
2013-01-15,91.6
2013-01-16,87.45
2013-01-17,88.85
2013-01-18,88.65
2013-01-21,86.95
2013-01-22,84.75
2013-01-23,83.25
2013-01-24,80.3
2013-01-25,83.4
2013-01-28,84.3
2013-01-29,82.2
2013-01-30,80.5
2013-01-31,80.8
2013-02-01,80.3
2013-02-04,78.15
2013-02-05,77.65
2013-02-06,77.5
2013-02-07,76.3
2013-02-08,75.7
2013-02-11,76.15
2013-02-12,75.7
2013-02-13,75.55
2013-02-14,74.4
2013-02-15,74.45
2013-02-18,76.1
2013-02-19,77.6
2013-02-20,77.1
2013-02-21,75.05
2013-02-22,74.95
2013-02-25,74.0
2013-02-26,72.6
2013-02-27,73.6
2013-02-28,69.55
2013-03-01,70.75
2013-03-04,69.95
2013-03-05,72.0
2013-03-06,73.75
2013-03-07,74.05
2013-03-08,74.65
2013-03-11,74.65
2013-03-12,73.55
2013-03-13,71.2
2013-03-14,71.4
2013-03-15,71.05
2013-03-18,70.2
2013-03-19,69.3
2013-03-20,67.7
2013-03-21,66.25
2013-03-22,66.65
2013-03-25,66.2
2013-03-26,64.85
2013-03-28,65.05
2013-04-01,66.95
2013-04-02,68.8
2013-04-03,66.85
2013-04-04,65.85
2013-04-05,65.6
2013-04-08,64.9
2013-04-09,63.8
2013-04-10,64.15
2013-04-11,63.6
2013-04-12,63.9
2013-04-15,64.4
2013-04-16,65.2
2013-04-17,64.4
2013-04-18,65.25
2013-04-22,67.45
2013-04-23,67.3
2013-04-25,67.6
2013-04-26,67.15
2013-04-29,63.6
2013-04-30,63.6
2013-05-02,64.0
2013-05-03,62.5
2013-05-06,62.85
2013-05-07,63.35
2013-05-08,63.1
2013-05-09,63.05
2013-05-10,63.3
2013-05-11,63.3
2013-05-13,61.85
2013-05-14,61.85
2013-05-15,63.75
2013-05-16,64.0
2013-05-17,64.15
2013-05-20,64.55
2013-05-21,63.45
2013-05-22,62.1
2013-05-23,60.75
2013-05-24,60.8
2013-05-27,61.0
2013-05-28,62.0
2013-05-29,61.45
2013-05-30,62.0
2013-05-31,59.1
2013-06-03,59.35
2013-06-04,58.8
2013-06-05,59.8
2013-06-06,60.55
2013-06-07,59.0
2013-06-10,58.85
2013-06-11,57.65
2013-06-12,58.2
2013-06-13,57.15
2013-06-14,58.6
2013-06-17,58.6
2013-06-18,59.05
2013-06-19,58.75
2013-06-20,54.95
2013-06-21,52.5
2013-06-24,49.4
2013-06-25,48.1
2013-06-26,47.65
2013-06-27,48.3
2013-06-28,49.75
2013-07-01,51.3
2013-07-02,49.9
2013-07-03,47.8
2013-07-04,48.55
2013-07-05,48.85
2013-07-08,48.3
2013-07-09,49.9
2013-07-10,49.0
2013-07-11,49.75
2013-07-12,49.05
2013-07-15,50.6
2013-07-16,48.05
2013-07-17,47.15
2013-07-18,49.05
2013-07-19,47.5
2013-07-22,47.7
2013-07-23,48.9
2013-07-24,47.25
2013-07-25,45.5
2013-07-26,44.9
2013-07-29,43.85
2013-07-30,42.85
2013-07-31,42.0
2013-08-01,40.5
2013-08-02,39.8
2013-08-05,40.4
2013-08-06,38.75
