Date,RELIANCE
2013-01-01,840.7
2013-01-02,847.95
2013-01-03,860.75
2013-01-04,861.85
2013-01-07,856.6
2013-01-08,850.65
2013-01-09,852.7
2013-01-10,850.05
2013-01-11,839.9
2013-01-14,847.55
2013-01-15,847.15
2013-01-16,861.35
2013-01-17,890.0
2013-01-18,900.2
2013-01-21,919.95
2013-01-22,920.05
2013-01-23,923.05
2013-01-24,915.55
2013-01-25,912.2
2013-01-28,897.55
2013-01-29,882.85
2013-01-30,899.4
2013-01-31,886.65
2013-02-01,894.0
2013-02-04,886.7
2013-02-05,874.75
2013-02-06,875.65
2013-02-07,872.9
2013-02-08,863.55
2013-02-11,868.4
2013-02-12,875.45
2013-02-13,879.0
2013-02-14,856.05
2013-02-15,845.8
2013-02-18,847.5
2013-02-19,848.4
2013-02-20,874.8
2013-02-21,859.2
2013-02-22,862.6
2013-02-25,854.35
2013-02-26,823.5
2013-02-27,831.3
2013-02-28,813.85
2013-03-01,810.4
2013-03-04,812.6
2013-03-05,826.35
2013-03-06,835.25
2013-03-07,836.5
2013-03-08,851.3
2013-03-11,844.5
2013-03-12,847.85
2013-03-13,845.0
2013-03-14,860.05
2013-03-15,843.65
2013-03-18,834.3
2013-03-19,825.0
2013-03-20,822.7
2013-03-21,812.6
2013-03-22,810.6
2013-03-25,809.25
2013-03-26,783.35
2013-03-28,772.9
2013-04-01,778.75
2013-04-02,793.9
2013-04-03,776.55
2013-04-04,767.55
2013-04-05,780.1
2013-04-08,789.4
2013-04-09,776.95
2013-04-10,779.4
2013-04-11,771.1
2013-04-12,775.35
2013-04-15,793.6
2013-04-16,804.95
2013-04-17,773.7
2013-04-18,781.6
2013-04-22,789.75
2013-04-23,803.7
2013-04-25,819.65
2013-04-26,792.4
2013-04-29,792.65
2013-04-30,788.2
2013-05-02,802.9
2013-05-03,800.5
2013-05-06,821.6
2013-05-07,828.15
2013-05-08,829.65
2013-05-09,818.1
2013-05-10,812.95
2013-05-11,814.1
2013-05-13,803.0
2013-05-14,798.15
2013-05-15,819.0
2013-05-16,840.65
2013-05-17,835.5
2013-05-20,831.15
2013-05-21,828.6
2013-05-22,818.75
2013-05-23,784.45
2013-05-24,786.45
2013-05-27,828.3
2013-05-28,843.4
2013-05-29,847.9
2013-05-30,836.8
2013-05-31,806.3
2013-06-03,787.9
2013-06-04,780.2
2013-06-05,802.0
2013-06-06,792.0
2013-06-07,783.6
2013-06-10,789.35
2013-06-11,785.6
2013-06-12,790.8
2013-06-13,789.8
2013-06-14,814.65
2013-06-17,825.55
2013-06-18,823.4
2013-06-19,831.7
2013-06-20,798.0
2013-06-21,792.85
2013-06-24,792.65
2013-06-25,803.8
2013-06-26,803.6
2013-06-27,830.0
2013-06-28,862.6
2013-07-01,885.7
2013-07-02,871.85
2013-07-03,850.85
2013-07-04,861.65
2013-07-05,880.35
2013-07-08,866.95
2013-07-09,874.8
2013-07-10,856.0
2013-07-11,870.05
2013-07-12,889.95
2013-07-15,896.85
2013-07-16,900.6
2013-07-17,914.95
2013-07-18,917.25
2013-07-19,923.7
2013-07-22,909.05
2013-07-23,909.55
2013-07-24,909.35
2013-07-25,890.75
2013-07-26,890.15
2013-07-29,885.7
2013-07-30,857.35
2013-07-31,872.05
2013-08-01,850.0
2013-08-02,857.35
2013-08-05,861.55
2013-08-06,841.05
2013-08-07,872.45
2013-08-08,865.65
2013-08-12,845.65
2013-08-13,852.9
2013-08-14,865.0
2013-08-16,826.7
2013-08-19,820.25
2013-08-20,825.35
2013-08-21,783.6
2013-08-22,806.1
2013-08-23,819.5
2013-08-26,822.6
2013-08-27,803.25
2013-08-28,811.8
2013-08-29,845.25
2013-08-30,853.85
2013-09-02,886.75
2013-09-03,831.0
2013-09-04,849.35
2013-09-05,862.55
2013-09-06,868.0
2013-09-10,890.35
2013-09-11,887.75
2013-09-12,875.4
2013-09-13,873.0
2013-09-16,861.75
2013-09-17,858.15
2013-09-18,871.95
2013-09-19,890.6
2013-09-20,881.9
2013-09-23,874.35
2013-09-24,874.6
2013-09-25,849.05
2013-09-26,838.25
