Date,MAHSCOOTER
2013-01-01,522.3
2013-01-02,518.1
2013-01-03,520.15
2013-01-04,519.3
2013-01-07,523.65
2013-01-08,518.9
2013-01-09,523.3
2013-01-10,523.85
2013-01-11,521.35
2013-01-14,514.75
2013-01-15,520.95
2013-01-16,521.9
2013-01-17,523.65
2013-01-18,522.45
2013-01-21,515.85
2013-01-22,515.5
2013-01-23,514.1
2013-01-24,521.7
2013-01-25,517.5
2013-01-28,515.7
2013-01-29,508.05
2013-01-30,492.5
2013-01-31,479.7
2013-02-01,462.0
2013-02-04,451.2
2013-02-05,424.8
2013-02-06,439.75
2013-02-07,435.25
2013-02-08,433.0
2013-02-11,431.95
2013-02-12,425.05
2013-02-13,425.0
2013-02-14,425.3
2013-02-15,422.0
2013-02-18,420.65
2013-02-19,422.05
2013-02-20,494.0
2013-02-21,458.6
2013-02-22,449.6
2013-02-25,448.3
2013-02-26,439.8
2013-02-27,464.4
2013-02-28,446.5
2013-03-01,435.9
2013-03-04,425.55
2013-03-05,420.95
2013-03-06,435.95
2013-03-07,426.95
2013-03-08,425.7
2013-03-11,417.6
2013-03-12,421.95
2013-03-13,419.85
2013-03-14,428.25
2013-03-15,420.8
2013-03-18,421.55
2013-03-19,409.6
2013-03-20,396.05
2013-03-21,406.65
2013-03-22,398.7
2013-03-25,382.25
2013-03-26,371.55
2013-03-28,371.7
2013-04-01,372.9
2013-04-02,385.5
2013-04-03,367.95
2013-04-04,362.0
2013-04-05,369.75
2013-04-08,363.3
2013-04-09,355.7
2013-04-10,376.35
2013-04-11,378.5
2013-04-12,374.3
2013-04-15,369.5
2013-04-16,366.3
2013-04-17,377.4
2013-04-18,373.3
2013-04-22,372.85
2013-04-23,370.05
2013-04-25,376.25
2013-04-26,370.0
2013-04-29,375.25
2013-04-30,365.55
2013-05-02,372.1
2013-05-03,372.5
2013-05-06,370.25
2013-05-07,367.85
2013-05-08,372.75
2013-05-09,378.95
2013-05-10,429.75
2013-05-11,425.9
2013-05-13,419.55
2013-05-14,435.0
2013-05-15,433.2
2013-05-16,410.2
2013-05-17,415.8
2013-05-20,417.95
2013-05-21,413.85
2013-05-22,420.0
2013-05-23,408.5
2013-05-24,407.95
2013-05-27,404.25
2013-05-28,403.15
2013-05-29,406.05
2013-05-30,404.3
2013-05-31,400.65
2013-06-03,400.05
2013-06-04,405.0
2013-06-05,410.0
2013-06-06,402.1
2013-06-07,402.05
2013-06-10,400.7
2013-06-11,399.4
2013-06-12,399.85
2013-06-13,401.8
2013-06-14,405.0
2013-06-17,398.7
2013-06-18,411.2
2013-06-19,408.0
2013-06-20,398.45
2013-06-21,400.95
2013-06-24,398.1
2013-06-25,398.0
2013-06-26,392.95
2013-06-27,395.2
2013-06-28,411.9
2013-07-01,409.95
2013-07-02,402.8
2013-07-03,407.75
2013-07-04,390.9
2013-07-05,379.6
2013-07-08,376.0
2013-07-09,383.0
2013-07-10,380.0
2013-07-11,380.25
2013-07-12,380.2
2013-07-15,381.0
2013-07-16,376.0
2013-07-17,385.0
2013-07-18,385.95
2013-07-19,377.6
2013-07-22,392.3
2013-07-23,390.0
2013-07-24,382.2
2013-07-25,380.05
2013-07-26,376.05
2013-07-29,366.15
2013-07-30,370.0
2013-07-31,380.0
2013-08-01,370.6
2013-08-02,367.05
2013-08-05,363.4
2013-08-06,351.6
2013-08-07,347.6
2013-08-08,350.05
2013-08-12,356.05
2013-08-13,358.9
2013-08-14,358.25
2013-08-16,360.65
2013-08-19,344.35
2013-08-20,354.95
2013-08-21,351.95
2013-08-22,353.3
2013-08-23,363.2
2013-08-26,363.1
2013-08-27,363.45
2013-08-28,369.0
2013-08-29,364.1
2013-08-30,371.85
2013-09-02,379.0
2013-09-03,380.05
2013-09-04,382.4
2013-09-05,380.1
2013-09-06,384.55
2013-09-10,383.45
2013-09-11,392.0
2013-09-12,390.05
2013-09-13,391.9
2013-09-16,389.35
2013-09-17,391.15
2013-09-18,391.95
2013-09-19,390.0
2013-09-20,394.0
2013-09-23,385.85
2013-09-24,392.0
2013-09-25,390.15
2013-09-26,396.05
2013-09-27,393.45
2013-09-30,404.2
2013-10-01,397.55
2013-10-03,397.35
2013-10-04,399.5
2013-10-07,403.85
2013-10-08,404.0
2013-10-09,399.15
2013-10-10,402.1
2013-10-11,401.35
2013-10-14,405.5
2013-10-15,399.75
2013-10-17,400.4
2013-10-18,398.35
2013-10-21,395.6
2013-10-22,390.35
2013-10-23,399.1
2013-10-24,400.05
2013-10-25,394.7
2013-10-28,398.95
2013-10-29,396.2
2013-10-30,394.05
2013-10-31,396.3
2013-11-01,399.9
2013-11-03,400.0
2013-11-05,408.5
2013-11-06,406.85
2013-11-07,399.55
2013-11-08,411.8
2013-11-11,404.65
2013-11-12,402.0
2013-11-13,398.7
2013-11-14,398.2
2013-11-18,399.9
2013-11-19,394.75
2013-11-20,408.45
2013-11-21,410.3
2013-11-22,388.15
2013-11-25,400.2
2013-11-26,395.65
2013-11-27,399.8
2013-11-28,400.0
2013-11-29,402.0
2013-12-02,403.3
2013-12-03,395.85
2013-12-04,398.0
2013-12-05,405.0
2013-12-06,407.95
2013-12-09,410.0
2013-12-10,409.25
2013-12-11,414.65
2013-12-12,405.2
2013-12-13,404.75
2013-12-16,412.65
2013-12-17,411.3
2013-12-18,410.2
2013-12-19,401.0
2013-12-20,413.0
2013-12-23,413.55
2013-12-24,416.2
2013-12-26,410.95
2013-12-27,399.15
2013-12-30,411.5
2013-12-31,410.2
2014-01-01,409.5
2014-01-02,407.35
2014-01-03,412.5
2014-01-06,414.65
2014-01-07,415.65
2014-01-08,424.7
2014-01-09,420.0
2014-01-10,421.25
2014-01-13,424.35
2014-01-14,432.1
2014-01-15,421.9
2014-01-16,421.85
2014-01-17,411.9
2014-01-20,419.05
2014-01-21,421.0
2014-01-22,418.75
2014-01-23,420.6
2014-01-24,436.6
2014-01-27,418.75
2014-01-28,418.85
2014-01-29,417.25
2014-01-30,421.0
2014-01-31,411.7
2014-02-03,410.05
2014-02-04,413.95
2014-02-05,419.75
2014-02-06,413.95
2014-02-07,455.05
2014-02-10,439.6
2014-02-11,430.8
2014-02-12,430.7
2014-02-13,424.05
2014-02-14,428.8
2014-02-17,419.95
2014-02-18,422.85
2014-02-19,425.0
2014-02-20,425.35
2014-02-21,425.05
2014-02-24,422.4
2014-02-25,430.85
2014-02-26,461.15
2014-02-28,514.0
2014-03-03,507.15
2014-03-04,506.35
2014-03-05,489.4
2014-03-06,480.7
2014-03-07,484.1
2014-03-10,495.5
2014-03-11,483.0
2014-03-12,481.3
2014-03-13,465.95
2014-03-14,462.85
2014-03-18,455.2
2014-03-19,449.95
2014-03-20,460.6
2014-03-21,465.05
