Date,VADILALIND
2013-01-01,217.75
2013-01-02,247.35
2013-01-03,239.95
2013-01-04,239.65
2013-01-07,234.7
2013-01-08,230.95
2013-01-09,235.6
2013-01-10,235.05
2013-01-11,229.95
2013-01-14,231.85
2013-01-15,229.6
2013-01-16,223.15
2013-01-17,222.95
2013-01-18,224.95
2013-01-21,221.35
2013-01-22,231.05
2013-01-23,227.65
2013-01-24,220.95
2013-01-25,225.95
2013-01-28,224.45
2013-01-29,220.8
2013-01-30,218.95
2013-01-31,218.85
2013-02-01,215.75
2013-02-04,214.9
2013-02-05,211.95
2013-02-06,210.0
2013-02-07,208.65
2013-02-08,199.2
2013-02-11,201.05
2013-02-12,200.3
2013-02-13,188.8
2013-02-14,178.65
2013-02-15,174.8
2013-02-18,177.05
2013-02-19,176.65
2013-02-20,191.55
2013-02-21,183.0
2013-02-22,186.7
2013-02-25,179.0
2013-02-26,168.9
2013-02-27,171.2
2013-02-28,164.65
2013-03-01,163.25
2013-03-04,156.3
2013-03-05,163.4
2013-03-06,169.95
2013-03-07,188.75
2013-03-08,180.4
2013-03-11,179.5
2013-03-12,190.5
2013-03-13,184.05
2013-03-14,200.05
2013-03-15,198.95
2013-03-18,191.65
2013-03-19,186.7
2013-03-20,180.95
2013-03-21,177.15
2013-03-22,182.5
2013-03-25,180.05
2013-03-26,176.25
2013-03-28,177.45
2013-04-01,183.8
2013-04-02,188.65
2013-04-03,188.6
2013-04-04,182.0
2013-04-05,179.45
2013-04-08,177.6
2013-04-09,164.65
2013-04-10,167.8
2013-04-11,167.75
2013-04-12,164.5
2013-04-15,170.3
2013-04-16,175.45
2013-04-17,172.5
2013-04-18,174.6
2013-04-22,174.4
2013-04-23,178.05
2013-04-25,179.65
2013-04-26,180.2
2013-04-29,180.45
2013-04-30,176.45
2013-05-02,176.3
2013-05-03,177.8
2013-05-06,180.45
2013-05-07,188.2
2013-05-08,188.8
2013-05-09,189.65
2013-05-10,193.55
2013-05-11,194.75
2013-05-13,197.8
2013-05-14,195.35
2013-05-15,196.9
2013-05-16,215.9
2013-05-17,218.65
2013-05-20,220.15
2013-05-21,217.55
2013-05-22,213.3
2013-05-23,195.6
2013-05-24,196.05
2013-05-27,199.35
2013-05-28,225.7
2013-05-29,217.3
2013-05-30,232.0
2013-05-31,201.1
2013-06-03,205.25
2013-06-04,201.35
2013-06-05,198.85
2013-06-06,202.15
2013-06-07,199.1
2013-06-10,196.05
2013-06-11,186.65
2013-06-12,181.9
2013-06-13,176.65
2013-06-14,180.35
2013-06-17,160.1
2013-06-18,168.45
2013-06-19,169.85
2013-06-20,161.0
2013-06-21,158.1
2013-06-24,151.85
2013-06-25,153.3
2013-06-26,146.5
2013-06-27,146.1
2013-06-28,152.85
2013-07-01,158.6
2013-07-02,155.6
2013-07-03,152.3
2013-07-04,152.9
2013-07-05,151.55
2013-07-08,148.0
2013-07-09,148.15
2013-07-10,143.6
2013-07-11,165.05
2013-07-12,157.2
2013-07-15,163.8
2013-07-16,155.4
2013-07-17,154.5
2013-07-18,153.65
2013-07-19,152.45
2013-07-22,149.35
2013-07-23,152.1
2013-07-24,147.2
2013-07-25,147.4
2013-07-26,140.45
2013-07-29,133.2
2013-07-30,126.35
2013-07-31,124.65
2013-08-01,124.85
2013-08-02,109.0
2013-08-05,111.75
2013-08-06,106.55
2013-08-07,110.1
2013-08-08,110.25
2013-08-12,120.85
2013-08-13,122.15
2013-08-14,123.25
2013-08-16,119.85
2013-08-19,116.5
2013-08-20,114.2
2013-08-21,112.05
2013-08-22,116.0
2013-08-23,127.75
2013-08-26,123.25
2013-08-27,113.7
2013-08-28,108.65
2013-08-29,111.65
2013-08-30,113.6
2013-09-02,116.95
2013-09-03,111.2
2013-09-04,113.3
2013-09-05,114.55
2013-09-06,129.75
2013-09-10,141.95
2013-09-11,148.85
2013-09-12,142.55
2013-09-13,143.4
2013-09-16,139.05
2013-09-17,137.5
2013-09-18,136.3
2013-09-19,138.6
2013-09-20,135.55
2013-09-23,131.1
2013-09-24,133.9
2013-09-25,131.4
2013-09-26,133.9
2013-09-27,131.55
2013-09-30,129.25
2013-10-01,128.85
2013-10-03,131.4
2013-10-04,135.7
2013-10-07,133.8
2013-10-08,134.5
2013-10-09,136.25
2013-10-10,140.85
2013-10-11,139.5
2013-10-14,142.7
2013-10-15,137.5
2013-10-17,137.3
2013-10-18,137.35
2013-10-21,137.45
2013-10-22,138.1
2013-10-23,148.45
2013-10-24,149.65
2013-10-25,146.0
2013-10-28,143.2
2013-10-29,143.4
2013-10-30,149.55
2013-10-31,149.45
2013-11-01,151.3
2013-11-03,149.65
2013-11-05,146.65
2013-11-06,148.9
2013-11-07,150.35
2013-11-08,147.5
2013-11-11,143.4
2013-11-12,137.95
2013-11-13,128.5
2013-11-14,128.85
2013-11-18,130.6
2013-11-19,130.9
2013-11-20,133.45
2013-11-21,129.95
2013-11-22,128.65
2013-11-25,126.4
2013-11-26,129.15
2013-11-27,135.3
2013-11-28,132.55
2013-11-29,132.0
2013-12-02,140.7
2013-12-03,141.85
2013-12-04,139.15
2013-12-05,137.2
2013-12-06,137.75
2013-12-09,137.4
2013-12-10,146.5
2013-12-11,144.2
2013-12-12,142.9
2013-12-13,141.35
2013-12-16,138.6
2013-12-17,142.65
2013-12-18,163.5
2013-12-19,158.3
2013-12-20,159.0
2013-12-23,156.0
2013-12-24,156.75
2013-12-26,155.25
2013-12-27,154.85
2013-12-30,153.15
2013-12-31,152.15
2014-01-01,153.35
2014-01-02,146.6
2014-01-03,145.75
2014-01-06,147.0
2014-01-07,152.25
2014-01-08,151.85
2014-01-09,147.55
2014-01-10,145.15
2014-01-13,147.6
2014-01-14,145.95
2014-01-15,144.3
2014-01-16,142.6
2014-01-17,137.8
2014-01-20,136.3
2014-01-21,137.95
2014-01-22,138.6
2014-01-23,137.55
2014-01-24,133.25
2014-01-27,127.55
2014-01-28,128.45
2014-01-29,129.5
2014-01-30,128.05
2014-01-31,137.65
2014-02-03,132.65
2014-02-04,135.05
2014-02-05,137.25
2014-02-06,139.85
2014-02-07,138.05
2014-02-10,137.3
2014-02-11,136.45
2014-02-12,135.7
2014-02-13,131.8
2014-02-14,131.85
2014-02-17,128.45
2014-02-18,128.0
2014-02-19,124.75
2014-02-20,126.65
2014-02-21,129.8
2014-02-24,130.05
2014-02-25,128.5
2014-02-26,129.1
2014-02-28,130.05
2014-03-03,129.45
2014-03-04,130.2
2014-03-05,131.95
2014-03-06,132.5
2014-03-07,131.65
2014-03-10,134.4
2014-03-11,133.15
2014-03-12,139.25
2014-03-13,140.35
2014-03-14,135.75
2014-03-18,137.95
2014-03-19,143.15
2014-03-20,142.65
2014-03-21,144.3
2014-03-22,142.05
2014-03-24,140.7
2014-03-25,140.3
2014-03-26,140.1
2014-03-27,146.25
2014-03-28,147.0
2014-03-31,153.25
2014-04-01,158.9
2014-04-02,157.7
2014-04-03,152.8
2014-04-04,153.5
2014-04-07,152.5
2014-04-09,153.6
2014-04-10,158.55
2014-04-11,160.15
2014-04-15,159.6
2014-04-16,156.8
2014-04-17,157.6
2014-04-21,168.5
2014-04-22,168.4
2014-04-23,169.25
2014-04-25,179.3
2014-04-28,178.25
2014-04-29,173.05
2014-04-30,171.65
2014-05-02,170.35
2014-05-05,168.15
2014-05-06,169.4
2014-05-07,169.55
2014-05-08,166.65
2014-05-09,167.1
2014-05-12,164.85
2014-05-13,172.3
2014-05-14,175.95
2014-05-15,170.3
2014-05-16,169.75
2014-05-19,179.25
2014-05-20,181.8
2014-05-21,179.2
2014-05-22,187.85
2014-05-23,197.4
2014-05-26,183.3
2014-05-27,183.05
2014-05-28,189.75
2014-05-29,186.75
2014-05-30,182.3
2014-06-02,182.4
2014-06-03,185.35
2014-06-04,184.7
2014-06-05,192.55
2014-06-06,209.65
2014-06-09,207.2
2014-06-10,204.65
2014-06-11,205.65
2014-06-12,204.7
2014-06-13,196.95
2014-06-16,202.2
2014-06-17,203.55
2014-06-18,200.2
2014-06-19,200.1
2014-06-20,196.4
2014-06-23,198.2
2014-06-24,202.6
2014-06-25,199.45
2014-06-26,202.35
2014-06-27,204.35
2014-06-30,210.65
2014-07-01,220.7
2014-07-02,218.15
2014-07-03,216.3
2014-07-04,214.5
2014-07-07,214.8
2014-07-08,202.95
2014-07-09,200.35
2014-07-10,200.25
2014-07-11,195.15
2014-07-14,190.45
2014-07-15,192.85
2014-07-16,194.65
2014-07-17,198.4
2014-07-18,199.0
2014-07-21,200.8
2014-07-22,202.55
2014-07-23,197.9
2014-07-24,200.2
2014-07-25,196.35
2014-07-28,200.6
2014-07-30,198.05
2014-07-31,199.65
2014-08-01,195.9
2014-08-04,193.5
2014-08-05,195.15
2014-08-06,234.15
2014-08-07,217.35
2014-08-08,217.55
2014-08-11,216.95
2014-08-12,218.05
2014-08-13,211.45
2014-08-14,209.4
2014-08-18,206.55
2014-08-19,206.85
2014-08-20,209.3
2014-08-21,211.55
2014-08-22,208.2
2014-08-25,231.9
