Date,TEXRAIL
2013-01-01,66.5
2013-01-02,66.1
2013-01-03,66.05
2013-01-04,70.15
2013-01-07,70.5
2013-01-08,70.9
2013-01-09,72.35
2013-01-10,70.3
2013-01-11,69.45
2013-01-14,68.3
2013-01-15,66.7
2013-01-16,67.3
2013-01-17,66.75
2013-01-18,64.55
2013-01-21,63.6
2013-01-22,64.3
2013-01-23,63.65
2013-01-24,62.85
2013-01-25,63.15
2013-01-28,63.05
2013-01-29,63.2
2013-01-30,63.5
2013-01-31,64.1
2013-02-01,64.25
2013-02-04,64.7
2013-02-05,64.35
2013-02-06,63.3
2013-02-07,63.3
2013-02-08,62.55
2013-02-11,62.3
2013-02-12,63.7
2013-02-13,64.4
2013-02-14,61.25
2013-02-15,61.4
2013-02-18,61.3
2013-02-19,60.85
2013-02-20,62.5
2013-02-21,62.2
2013-02-22,59.95
2013-02-25,61.4
2013-02-26,54.8
2013-02-27,58.6
2013-02-28,56.0
2013-03-01,55.45
2013-03-04,53.2
2013-03-05,54.05
2013-03-06,53.8
2013-03-07,54.4
2013-03-08,55.75
2013-03-11,55.7
2013-03-12,54.75
2013-03-13,53.85
2013-03-14,53.55
2013-03-15,53.55
2013-03-18,54.35
2013-03-19,52.35
2013-03-20,50.8
2013-03-21,50.55
2013-03-22,48.15
2013-03-25,48.1
2013-03-26,48.45
2013-03-28,48.55
2013-04-01,48.95
2013-04-02,49.95
2013-04-03,49.1
2013-04-04,48.25
2013-04-05,49.35
2013-04-08,47.95
2013-04-09,48.25
2013-04-10,49.45
2013-04-11,48.6
2013-04-12,49.1
2013-04-15,50.05
2013-04-16,50.2
2013-04-17,49.85
2013-04-18,49.95
2013-04-22,50.0
2013-04-23,49.4
2013-04-25,48.35
2013-04-26,48.65
2013-04-29,49.7
2013-04-30,49.15
2013-05-02,49.15
2013-05-03,49.65
2013-05-06,49.7
2013-05-07,49.6
2013-05-08,49.0
2013-05-09,48.55
2013-05-10,48.15
2013-05-11,48.0
2013-05-13,47.2
2013-05-14,47.45
2013-05-15,49.5
2013-05-16,48.7
2013-05-17,48.85
2013-05-20,47.7
2013-05-21,46.45
2013-05-22,45.7
2013-05-23,45.55
2013-05-24,47.1
2013-05-27,46.5
2013-05-28,45.6
2013-05-29,45.3
2013-05-30,44.8
2013-05-31,41.05
2013-06-03,41.15
2013-06-04,40.25
2013-06-05,40.05
2013-06-06,37.85
2013-06-07,37.45
2013-06-10,37.5
2013-06-11,37.45
2013-06-12,36.65
2013-06-13,35.35
2013-06-14,35.05
2013-06-17,33.95
2013-06-18,33.3
2013-06-19,34.5
2013-06-20,35.85
2013-06-21,34.5
2013-06-24,32.55
2013-06-25,35.55
2013-06-26,34.15
2013-06-27,34.0
2013-06-28,34.5
2013-07-01,34.5
2013-07-02,34.35
2013-07-03,33.55
2013-07-04,33.55
2013-07-05,33.5
2013-07-08,32.9
2013-07-09,32.95
2013-07-10,32.7
2013-07-11,33.3
2013-07-12,37.6
2013-07-15,37.3
2013-07-16,37.2
2013-07-17,37.35
2013-07-18,36.1
2013-07-19,36.0
2013-07-22,37.8
2013-07-23,36.05
2013-07-24,35.05
2013-07-25,34.9
2013-07-26,33.45
2013-07-29,31.9
2013-07-30,29.65
2013-07-31,28.1
2013-08-01,27.35
2013-08-02,27.1
2013-08-05,26.25
2013-08-06,26.9
2013-08-07,28.65
2013-08-08,30.6
2013-08-12,30.65
2013-08-13,32.85
2013-08-14,31.75
2013-08-16,30.05
2013-08-19,29.3
2013-08-20,30.0
2013-08-21,30.0
2013-08-22,30.15
2013-08-23,30.65
2013-08-26,31.5
2013-08-27,31.8
2013-08-28,30.7
2013-08-29,29.85
2013-08-30,29.9
2013-09-02,29.4
2013-09-03,29.55
2013-09-04,29.0
2013-09-05,29.3
2013-09-06,29.05
2013-09-10,29.75
2013-09-11,29.9
2013-09-12,29.55
2013-09-13,30.15
2013-09-16,29.45
2013-09-17,29.05
2013-09-18,29.2
2013-09-19,30.4
2013-09-20,29.3
2013-09-23,29.0
2013-09-24,29.6
2013-09-25,29.1
2013-09-26,28.3
2013-09-27,28.3
2013-09-30,29.0
2013-10-01,28.7
2013-10-03,29.4
2013-10-04,29.4
2013-10-07,29.7
2013-10-08,28.95
2013-10-09,30.95
2013-10-10,30.9
2013-10-11,31.2
2013-10-14,32.9
2013-10-15,32.25
2013-10-17,32.6
2013-10-18,32.85
2013-10-21,33.0
2013-10-22,31.6
2013-10-23,30.85
2013-10-24,31.2
2013-10-25,30.9
2013-10-28,30.6
2013-10-29,30.0
2013-10-30,29.5
2013-10-31,30.2
2013-11-01,31.25
2013-11-03,32.6
2013-11-05,32.85
2013-11-06,35.45
2013-11-07,34.8
2013-11-08,33.0
2013-11-11,32.9
2013-11-12,32.25
2013-11-13,31.1
2013-11-14,30.85
2013-11-18,32.45
2013-11-19,36.6
2013-11-20,35.45
2013-11-21,35.0
2013-11-22,36.55
2013-11-25,36.45
2013-11-26,36.55
2013-11-27,38.55
2013-11-28,39.55
2013-11-29,40.75
2013-12-02,40.45
2013-12-03,38.75
