Date,M100
2013-01-01,8.57
2013-01-02,8.58
2013-01-03,8.64
2013-01-04,8.68
2013-01-07,8.75
2013-01-08,8.73
2013-01-09,8.72
2013-01-10,8.67
2013-01-11,8.61
2013-01-14,8.62
2013-01-15,8.67
2013-01-16,8.59
2013-01-17,8.58
2013-01-18,8.63
2013-01-21,8.58
2013-01-22,8.53
2013-01-23,8.45
2013-01-24,8.35
2013-01-25,8.4
2013-01-28,8.37
2013-01-29,8.34
2013-01-30,8.29
2013-01-31,8.3
2013-02-01,8.59
2013-02-04,8.34
2013-02-05,8.19
2013-02-06,8.23
2013-02-07,8.19
2013-02-08,8.17
2013-02-11,8.11
2013-02-12,8.21
2013-02-13,8.08
2013-02-14,7.94
2013-02-15,7.81
2013-02-18,7.93
2013-02-19,8.02
2013-02-20,8.07
2013-02-21,7.97
2013-02-22,8.3
2013-02-25,8.0
2013-02-26,7.88
2013-02-27,7.85
2013-02-28,7.75
2013-03-01,7.63
2013-03-04,7.5
2013-03-05,7.6
2013-03-06,7.7
2013-03-07,7.74
2013-03-08,7.82
2013-03-11,7.84
2013-03-12,7.83
2013-03-13,7.9
2013-03-14,7.91
2013-03-15,7.96
2013-03-18,7.69
2013-03-19,7.61
2013-03-20,7.54
2013-03-21,7.55
2013-03-22,7.5
2013-03-25,7.41
2013-03-26,7.4
2013-03-28,7.65
2013-04-01,7.64
2013-04-02,7.63
2013-04-03,7.61
2013-04-04,7.46
2013-04-05,7.45
2013-04-08,7.48
2013-04-09,7.43
2013-04-10,7.48
2013-04-11,7.46
2013-04-12,7.34
2013-04-15,7.59
2013-04-16,7.56
2013-04-17,7.6
2013-04-18,7.59
2013-04-22,7.71
2013-04-23,7.76
2013-04-25,7.82
2013-04-26,7.69
2013-04-29,7.8
2013-04-30,7.75
2013-05-02,7.89
2013-05-03,7.85
2013-05-06,7.82
2013-05-07,7.99
2013-05-08,7.99
2013-05-09,8.01
2013-05-10,8.0
2013-05-11,7.97
2013-05-13,7.84
2013-05-14,7.83
2013-05-15,8.01
2013-05-16,8.07
2013-05-17,8.08
2013-05-20,8.14
2013-05-21,8.06
2013-05-22,8.0
2013-05-23,7.81
2013-05-24,7.78
2013-05-27,7.86
2013-05-28,7.9
2013-05-29,7.91
2013-05-30,7.94
2013-05-31,7.79
2013-06-03,7.79
2013-06-04,7.81
2013-06-05,7.9
2013-06-06,7.83
2013-06-07,7.91
2013-06-10,7.82
2013-06-11,7.61
2013-06-12,7.59
2013-06-13,7.48
2013-06-14,7.65
2013-06-17,7.65
2013-06-18,7.51
2013-06-19,7.59
2013-06-20,7.48
2013-06-21,7.4
2013-06-24,7.3
2013-06-25,7.23
2013-06-26,7.16
2013-06-27,7.35
2013-06-28,7.63
2013-07-01,7.66
2013-07-02,7.56
2013-07-03,7.35
2013-07-04,7.49
2013-07-05,7.39
2013-07-08,7.44
2013-07-09,7.43
2013-07-10,7.42
2013-07-11,7.54
2013-07-12,7.45
2013-07-15,7.54
2013-07-16,7.47
2013-07-17,7.45
2013-07-18,7.45
2013-07-19,7.45
2013-07-22,7.56
2013-07-23,7.5
2013-07-24,7.4
2013-07-25,7.37
2013-07-26,7.21
2013-07-29,7.17
2013-07-30,6.99
2013-07-31,6.9
2013-08-01,6.81
2013-08-02,6.71
2013-08-05,6.72
2013-08-06,6.61
2013-08-07,6.78
2013-08-08,6.76
2013-08-12,6.87
2013-08-13,7.12
2013-08-14,7.07
2013-08-16,6.93
2013-08-19,6.83
2013-08-20,6.85
2013-08-21,6.68
2013-08-22,6.85
2013-08-23,6.85
2013-08-26,6.75
2013-08-27,6.69
2013-08-28,6.59
2013-08-29,6.63
2013-08-30,6.64
2013-09-02,6.73
2013-09-03,6.8
2013-09-04,6.72
2013-09-05,6.81
2013-09-06,6.87
2013-09-10,7.02
2013-09-11,7.06
2013-09-12,7.07
2013-09-13,7.15
2013-09-16,7.07
2013-09-17,7.07
2013-09-18,7.13
2013-09-19,7.15
2013-09-20,7.17
2013-09-23,7.13
2013-09-24,7.14
2013-09-25,7.14
2013-09-26,7.32
2013-09-27,7.14
2013-09-30,7.12
2013-10-01,7.27
2013-10-03,7.22
2013-10-04,7.42
2013-10-07,7.28
2013-10-08,7.32
2013-10-09,7.38
2013-10-10,7.38
2013-10-11,7.46
2013-10-14,7.61
2013-10-15,7.45
2013-10-17,7.37
2013-10-18,7.45
2013-10-21,7.52
2013-10-22,7.55
2013-10-23,7.55
2013-10-24,7.51
2013-10-25,7.52
2013-10-28,7.4
2013-10-29,7.43
2013-10-30,7.49
2013-10-31,7.75
2013-11-01,7.7
2013-11-03,7.7
2013-11-05,7.87
2013-11-06,7.9
2013-11-07,7.76
2013-11-08,7.67
2013-11-11,7.69
2013-11-12,7.61
2013-11-13,7.52
2013-11-14,7.59
2013-11-18,7.8
2013-11-19,7.7
2013-11-20,7.7
2013-11-21,7.55
2013-11-22,7.58
2013-11-25,7.63
2013-11-26,7.65
2013-11-27,7.62
2013-11-28,7.82
2013-11-29,7.76
2013-12-02,7.82
2013-12-03,7.82
2013-12-04,7.74
2013-12-05,7.8
2013-12-06,7.88
2013-12-09,7.9
2013-12-10,7.88
2013-12-11,7.98
2013-12-12,7.85
2013-12-13,7.88
2013-12-16,7.87
2013-12-17,7.9
2013-12-18,7.83
2013-12-19,7.76
2013-12-20,8.01
2013-12-23,8.15
2013-12-24,8.14
2013-12-26,8.26
2013-12-27,8.21
2013-12-30,8.15
2013-12-31,8.29
2014-01-01,8.3
2014-01-02,8.15
2014-01-03,8.24
2014-01-06,8.28
2014-01-07,8.22
2014-01-08,8.14
2014-01-09,8.07
2014-01-10,8.11
2014-01-13,8.02
2014-01-14,8.0
2014-01-15,8.0
2014-01-16,8.0
2014-01-17,7.94
2014-01-20,7.93
2014-01-21,8.09
2014-01-22,8.04
2014-01-23,8.01
