Date,DLF
2013-01-01,235.35
2013-01-02,235.2
2013-01-03,238.9
2013-01-04,237.75
2013-01-07,235.05
2013-01-08,237.1
2013-01-09,233.65
2013-01-10,233.7
2013-01-11,230.45
2013-01-14,247.2
2013-01-15,252.95
2013-01-16,248.55
2013-01-17,257.5
2013-01-18,262.7
2013-01-21,256.35
2013-01-22,253.35
2013-01-23,251.2
2013-01-24,251.75
2013-01-25,259.75
2013-01-28,266.7
2013-01-29,263.5
2013-01-30,271.65
2013-01-31,277.6
2013-02-01,267.9
2013-02-04,270.95
2013-02-05,272.95
2013-02-06,273.65
2013-02-07,270.2
2013-02-08,268.8
2013-02-11,271.45
2013-02-12,267.5
2013-02-13,258.4
2013-02-14,253.85
2013-02-15,248.7
2013-02-18,261.05
2013-02-19,270.1
2013-02-20,279.85
2013-02-21,272.45
2013-02-22,281.45
2013-02-25,271.65
2013-02-26,269.45
2013-02-27,277.45
2013-02-28,277.35
2013-03-01,259.35
2013-03-04,250.7
2013-03-05,259.9
2013-03-06,270.1
2013-03-07,279.25
2013-03-08,278.15
2013-03-11,286.4
2013-03-12,283.5
2013-03-13,280.6
2013-03-14,284.7
2013-03-15,272.5
2013-03-18,270.05
2013-03-19,259.05
2013-03-20,248.65
2013-03-21,239.45
2013-03-22,230.95
2013-03-25,242.15
2013-03-26,236.3
2013-03-28,234.7
2013-04-01,253.2
2013-04-02,255.8
2013-04-03,244.85
2013-04-04,234.7
2013-04-05,232.8
2013-04-08,233.5
2013-04-09,230.0
2013-04-10,235.05
2013-04-11,246.8
2013-04-12,247.4
2013-04-15,242.1
2013-04-16,245.0
2013-04-17,243.0
2013-04-18,248.4
2013-04-22,251.05
2013-04-23,246.9
2013-04-25,242.45
2013-04-26,237.85
2013-04-29,241.7
2013-04-30,238.2
2013-05-02,238.85
2013-05-03,231.5
2013-05-06,232.7
2013-05-07,239.35
2013-05-08,237.35
2013-05-09,234.9
2013-05-10,237.3
2013-05-11,237.05
2013-05-13,232.05
2013-05-14,230.25
2013-05-15,241.75
2013-05-16,242.9
2013-05-17,249.65
2013-05-20,248.05
2013-05-21,240.85
2013-05-22,227.15
2013-05-23,211.05
2013-05-24,211.9
2013-05-27,215.3
2013-05-28,213.9
2013-05-29,210.5
2013-05-30,205.75
2013-05-31,194.7
2013-06-03,195.3
2013-06-04,192.95
2013-06-05,199.2
2013-06-06,202.5
2013-06-07,198.5
2013-06-10,196.0
2013-06-11,187.05
2013-06-12,189.95
2013-06-13,186.75
2013-06-14,189.8
2013-06-17,189.55
2013-06-18,188.6
2013-06-19,189.15
2013-06-20,175.5
2013-06-21,175.15
2013-06-24,164.25
2013-06-25,166.45
2013-06-26,168.55
2013-06-27,176.2
2013-06-28,181.25
2013-07-01,189.1
2013-07-02,183.35
2013-07-03,175.9
2013-07-04,178.55
2013-07-05,177.65
2013-07-08,175.15
2013-07-09,177.0
2013-07-10,173.8
2013-07-11,178.45
2013-07-12,177.0
2013-07-15,178.3
2013-07-16,164.7
2013-07-17,165.75
2013-07-18,171.25
2013-07-19,168.3
2013-07-22,170.0
2013-07-23,174.65
2013-07-24,175.15
2013-07-25,175.05
2013-07-26,172.35
2013-07-29,169.2
2013-07-30,160.1
2013-07-31,149.8
2013-08-01,137.85
2013-08-02,128.45
2013-08-05,129.25
2013-08-06,122.2
2013-08-07,131.1
2013-08-08,138.2
2013-08-12,138.65
2013-08-13,149.55
2013-08-14,159.05
2013-08-16,145.45
2013-08-19,149.15
2013-08-20,153.9
2013-08-21,150.4
2013-08-22,143.85
2013-08-23,136.95
2013-08-26,137.05
2013-08-27,130.15
2013-08-28,131.95
2013-08-29,131.4
2013-08-30,129.8
2013-09-02,136.65
2013-09-03,127.3
2013-09-04,126.55
2013-09-05,137.85
2013-09-06,137.9
2013-09-10,142.95
2013-09-11,150.65
2013-09-12,149.25
2013-09-13,156.85
2013-09-16,153.8
2013-09-17,153.85
2013-09-18,160.35
2013-09-19,171.4
2013-09-20,151.5
2013-09-23,141.65
2013-09-24,140.1
2013-09-25,136.65
2013-09-26,135.6
2013-09-27,131.85
2013-09-30,128.05
2013-10-01,136.9
2013-10-03,139.1
2013-10-04,139.3
2013-10-07,138.05
2013-10-08,138.8
2013-10-09,147.25
2013-10-10,149.45
2013-10-11,154.7
2013-10-14,153.8
2013-10-15,153.55
2013-10-17,153.3
2013-10-18,157.3
2013-10-21,166.5
2013-10-22,164.15
2013-10-23,158.8
2013-10-24,159.3
2013-10-25,151.45
2013-10-28,146.4
2013-10-29,150.0
2013-10-30,149.1
2013-10-31,151.65
2013-11-01,157.4
2013-11-03,157.45
2013-11-05,160.8
2013-11-06,155.9
2013-11-07,148.85
2013-11-08,152.6
2013-11-11,148.2
2013-11-12,144.1
2013-11-13,142.25
2013-11-14,145.3
2013-11-18,148.75
2013-11-19,149.55
2013-11-20,150.35
2013-11-21,145.3
2013-11-22,144.3
2013-11-25,149.0
