Date,PRSMJOHNSN
2013-01-01,50.7
2013-01-02,50.25
2013-01-03,50.95
2013-01-04,49.7
2013-01-07,50.05
2013-01-08,49.85
2013-01-09,48.9
2013-01-10,49.7
2013-01-11,48.45
2013-01-14,48.6
2013-01-15,48.85
2013-01-16,48.15
2013-01-17,47.55
2013-01-18,47.95
2013-01-21,47.15
2013-01-22,46.7
2013-01-23,46.15
2013-01-24,44.3
2013-01-25,43.25
2013-01-28,41.9
2013-01-29,43.05
2013-01-30,42.3
2013-01-31,43.3
2013-02-01,43.05
2013-02-04,42.7
2013-02-05,43.25
2013-02-06,43.6
2013-02-07,44.15
2013-02-08,44.3
2013-02-11,44.2
2013-02-12,42.85
2013-02-13,43.05
2013-02-14,42.15
2013-02-15,41.6
2013-02-18,42.2
2013-02-19,41.8
2013-02-20,42.25
2013-02-21,42.0
2013-02-22,41.45
2013-02-25,41.4
2013-02-26,41.5
2013-02-27,41.8
2013-02-28,41.85
2013-03-01,41.5
2013-03-04,41.8
2013-03-05,41.5
2013-03-06,41.6
2013-03-07,41.8
2013-03-08,44.25
2013-03-11,44.2
2013-03-12,42.7
2013-03-13,41.9
2013-03-14,41.65
2013-03-15,42.1
2013-03-18,41.5
2013-03-19,41.5
2013-03-20,41.5
2013-03-21,41.5
2013-03-22,41.5
2013-03-25,41.6
2013-03-26,41.5
2013-03-28,42.05
2013-04-01,41.7
2013-04-02,43.0
2013-04-03,42.9
2013-04-04,41.65
2013-04-05,41.55
2013-04-08,41.45
2013-04-09,41.55
2013-04-10,41.5
2013-04-11,41.6
2013-04-12,41.55
2013-04-15,41.65
2013-04-16,42.2
2013-04-17,42.25
2013-04-18,42.6
2013-04-22,42.5
2013-04-23,42.85
2013-04-25,41.95
2013-04-26,42.15
2013-04-29,41.75
2013-04-30,45.8
2013-05-02,45.3
2013-05-03,44.2
2013-05-06,47.05
2013-05-07,45.35
2013-05-08,47.0
2013-05-09,45.35
2013-05-10,43.85
2013-05-11,43.8
2013-05-13,42.65
2013-05-14,42.35
2013-05-15,43.8
2013-05-16,42.7
2013-05-17,43.6
2013-05-20,42.6
2013-05-21,42.15
2013-05-22,41.25
2013-05-23,39.85
2013-05-24,40.15
2013-05-27,39.3
2013-05-28,42.55
2013-05-29,42.5
2013-05-30,44.15
2013-05-31,41.65
2013-06-03,44.0
2013-06-04,44.9
2013-06-05,45.75
2013-06-06,44.75
2013-06-07,43.85
2013-06-10,42.95
2013-06-11,41.5
2013-06-12,41.6
2013-06-13,39.25
2013-06-14,39.95
2013-06-17,38.8
2013-06-18,38.85
2013-06-19,37.3
2013-06-20,34.0
2013-06-21,33.5
2013-06-24,33.9
2013-06-25,34.3
2013-06-26,34.0
2013-06-27,34.05
2013-06-28,34.45
2013-07-01,34.55
2013-07-02,35.15
2013-07-03,34.05
2013-07-04,33.75
2013-07-05,33.55
2013-07-08,33.5
2013-07-09,33.4
2013-07-10,33.35
2013-07-11,36.45
2013-07-12,36.1
2013-07-15,34.75
2013-07-16,33.9
2013-07-17,33.6
2013-07-18,32.8
2013-07-19,32.4
2013-07-22,32.05
2013-07-23,32.15
2013-07-24,31.15
2013-07-25,30.75
2013-07-26,30.25
2013-07-29,29.1
2013-07-30,28.2
2013-07-31,25.85
2013-08-01,25.6
2013-08-02,24.35
2013-08-05,24.05
2013-08-06,23.5
2013-08-07,23.25
2013-08-08,24.25
2013-08-12,25.4
2013-08-13,25.6
2013-08-14,25.55
2013-08-16,25.1
2013-08-19,24.75
2013-08-20,24.3
2013-08-21,24.3
2013-08-22,24.05
2013-08-23,24.05
2013-08-26,23.9
2013-08-27,23.7
2013-08-28,23.15
2013-08-29,23.6
2013-08-30,23.3
2013-09-02,23.75
2013-09-03,24.0
2013-09-04,24.05
2013-09-05,24.35
2013-09-06,25.45
2013-09-10,25.55
2013-09-11,30.15
2013-09-12,28.6
2013-09-13,29.6
2013-09-16,28.65
2013-09-17,29.35
2013-09-18,28.9
2013-09-19,29.7
2013-09-20,29.95
2013-09-23,28.8
2013-09-24,29.05
2013-09-25,28.7
2013-09-26,28.35
2013-09-27,28.2
2013-09-30,27.1
2013-10-01,27.15
2013-10-03,28.45
2013-10-04,28.35
2013-10-07,28.25
2013-10-08,28.25
2013-10-09,28.3
2013-10-10,27.75
2013-10-11,27.9
2013-10-14,28.3
2013-10-15,27.3
2013-10-17,27.3
2013-10-18,27.45
2013-10-21,27.75
2013-10-22,28.25
2013-10-23,27.7
2013-10-24,26.5
2013-10-25,26.35
2013-10-28,26.55
2013-10-29,26.7
2013-10-30,26.7
2013-10-31,26.95
2013-11-01,27.65
2013-11-03,27.95
2013-11-05,29.65
2013-11-06,29.35
2013-11-07,27.75
2013-11-08,27.65
2013-11-11,27.95
2013-11-12,27.25
2013-11-13,27.0
2013-11-14,27.15
2013-11-18,27.4
2013-11-19,27.25
2013-11-20,27.1
2013-11-21,27.25
2013-11-22,26.95
2013-11-25,26.9
2013-11-26,24.85
2013-11-27,25.35
2013-11-28,25.65
2013-11-29,26.0
2013-12-02,27.05
2013-12-03,26.55
2013-12-04,26.55
2013-12-05,26.8
2013-12-06,26.45
2013-12-09,28.1
2013-12-10,27.5
2013-12-11,28.05
2013-12-12,27.2
2013-12-13,26.55
2013-12-16,26.0
2013-12-17,25.8
2013-12-18,26.25
2013-12-19,26.2
2013-12-20,26.45
2013-12-23,26.85
2013-12-24,27.1
2013-12-26,27.4
2013-12-27,27.05
2013-12-30,27.25
2013-12-31,27.55
2014-01-01,29.15
2014-01-02,27.8
2014-01-03,27.6
2014-01-06,27.4
2014-01-07,27.4
2014-01-08,27.1
2014-01-09,26.65
2014-01-10,26.45
2014-01-13,26.4
2014-01-14,27.1
2014-01-15,26.65
2014-01-16,26.6
2014-01-17,26.15
2014-01-20,25.8
2014-01-21,25.6
2014-01-22,25.6
2014-01-23,25.45
2014-01-24,25.1
2014-01-27,23.55
2014-01-28,23.95
2014-01-29,23.75
2014-01-30,23.55
2014-01-31,24.0
2014-02-03,23.65
2014-02-04,23.55
2014-02-05,23.65
2014-02-06,23.4
2014-02-07,23.95
2014-02-10,23.75
2014-02-11,23.2
2014-02-12,23.3
2014-02-13,22.95
2014-02-14,22.9
2014-02-17,23.25
2014-02-18,23.2
2014-02-19,23.1
2014-02-20,24.3
2014-02-21,25.3
2014-02-24,25.15
2014-02-25,25.0
2014-02-26,25.25
2014-02-28,26.3
2014-03-03,27.4
2014-03-04,27.05
2014-03-05,27.6
2014-03-06,28.4
2014-03-07,30.1
2014-03-10,30.0
2014-03-11,31.35
2014-03-12,32.45
2014-03-13,31.1
2014-03-14,31.0
2014-03-18,33.6
2014-03-19,34.1
2014-03-20,34.95
2014-03-21,36.3
2014-03-22,36.4
2014-03-24,36.05
2014-03-25,36.75
2014-03-26,38.65
2014-03-27,38.05
2014-03-28,37.9
2014-03-31,38.4
2014-04-01,37.45
2014-04-02,38.15
2014-04-03,38.45
2014-04-04,37.85
2014-04-07,38.7
2014-04-09,39.7
