Date,RICOAUTO
2013-01-01,9.5
2013-01-02,9.55
2013-01-03,9.6
2013-01-04,9.7
2013-01-07,10.15
2013-01-08,10.35
2013-01-09,9.9
2013-01-10,9.75
2013-01-11,9.65
2013-01-14,9.6
2013-01-15,9.6
2013-01-16,9.5
2013-01-17,9.45
2013-01-18,9.35
2013-01-21,9.4
2013-01-22,9.2
2013-01-23,9.1
2013-01-24,8.9
2013-01-25,8.75
2013-01-28,8.75
2013-01-29,8.7
2013-01-30,8.6
2013-01-31,8.8
2013-02-01,8.6
2013-02-04,8.75
2013-02-05,8.85
2013-02-06,9.4
2013-02-07,8.95
2013-02-08,8.75
2013-02-11,8.8
2013-02-12,8.6
2013-02-13,8.4
2013-02-14,8.2
2013-02-15,7.9
2013-02-18,8.0
2013-02-19,7.8
2013-02-20,7.9
2013-02-21,7.75
2013-02-22,7.85
2013-02-25,7.65
2013-02-26,7.35
2013-02-27,7.3
2013-02-28,7.2
2013-03-01,7.1
2013-03-04,6.95
2013-03-05,7.0
2013-03-06,7.0
2013-03-07,6.85
2013-03-08,6.9
2013-03-11,7.1
2013-03-12,6.95
2013-03-13,6.85
2013-03-14,6.75
2013-03-15,6.75
2013-03-18,6.65
2013-03-19,6.55
2013-03-20,6.45
2013-03-21,6.3
2013-03-22,6.0
2013-03-25,6.5
2013-03-26,6.65
2013-03-28,6.55
2013-04-01,7.0
2013-04-02,7.0
2013-04-03,7.15
2013-04-04,6.75
2013-04-05,6.65
2013-04-08,6.65
2013-04-09,6.85
2013-04-10,6.5
2013-04-11,6.55
2013-04-12,6.4
2013-04-15,6.6
2013-04-16,6.6
2013-04-17,6.35
2013-04-18,6.45
2013-04-22,6.5
2013-04-23,6.65
2013-04-25,6.5
2013-04-26,6.6
2013-04-29,6.8
2013-04-30,6.75
2013-05-02,6.8
2013-05-03,6.95
2013-05-06,6.8
2013-05-07,7.1
2013-05-08,7.0
2013-05-09,6.95
2013-05-10,6.95
2013-05-11,7.0
2013-05-13,6.55
2013-05-14,6.6
2013-05-15,6.7
2013-05-16,6.65
2013-05-17,6.65
2013-05-20,6.6
2013-05-21,6.75
2013-05-22,6.65
2013-05-23,6.35
2013-05-24,6.4
2013-05-27,6.75
2013-05-28,7.0
2013-05-29,6.6
2013-05-30,6.45
2013-05-31,6.45
2013-06-03,6.35
2013-06-04,6.35
2013-06-05,6.5
2013-06-06,6.4
2013-06-07,6.85
2013-06-10,6.4
2013-06-11,6.2
2013-06-12,6.25
2013-06-13,6.1
2013-06-14,6.45
2013-06-17,6.5
2013-06-18,6.5
2013-06-19,6.5
2013-06-20,6.55
2013-06-21,6.4
2013-06-24,6.25
2013-06-25,6.3
2013-06-26,6.15
2013-06-27,6.2
2013-06-28,6.4
2013-07-01,6.5
2013-07-02,6.65
2013-07-03,6.65
2013-07-04,6.55
2013-07-05,6.8
2013-07-08,6.6
2013-07-09,6.65
2013-07-10,6.6
2013-07-11,6.7
2013-07-12,6.6
2013-07-15,6.6
2013-07-16,6.5
2013-07-17,6.5
2013-07-18,6.5
2013-07-19,6.3
2013-07-22,6.0
2013-07-23,6.05
2013-07-24,5.75
2013-07-25,5.7
2013-07-26,5.6
2013-07-29,5.3
2013-07-30,5.2
2013-07-31,5.0
2013-08-01,4.95
2013-08-02,4.75
2013-08-05,4.9
2013-08-06,4.95
2013-08-07,5.2
2013-08-08,5.05
2013-08-12,5.1
2013-08-13,5.2
2013-08-14,5.15
2013-08-16,5.1
2013-08-19,4.75
2013-08-20,4.3
2013-08-21,4.5
2013-08-22,5.4
2013-08-23,6.1
2013-08-26,6.1
2013-08-27,5.8
2013-08-28,5.05
2013-08-29,5.0
2013-08-30,5.1
2013-09-02,5.25
2013-09-03,5.15
