Date,TATAMOTORS
2013-01-01,316.75
2013-01-02,318.0
2013-01-03,318.1
2013-01-04,315.4
2013-01-07,313.25
2013-01-08,314.15
2013-01-09,327.35
2013-01-10,333.7
2013-01-11,330.4
2013-01-14,327.7
2013-01-15,331.55
2013-01-16,320.05
2013-01-17,328.95
2013-01-18,328.55
2013-01-21,323.25
2013-01-22,318.55
2013-01-23,313.05
2013-01-24,293.45
2013-01-25,301.0
2013-01-28,308.55
2013-01-29,304.25
2013-01-30,299.2
2013-01-31,298.0
2013-02-01,281.65
2013-02-04,292.0
2013-02-05,287.2
2013-02-06,286.2
2013-02-07,288.6
2013-02-08,285.4
2013-02-11,290.9
2013-02-12,298.55
2013-02-13,304.7
2013-02-14,297.2
2013-02-15,304.45
2013-02-18,305.8
2013-02-19,306.75
2013-02-20,303.95
2013-02-21,297.55
2013-02-22,292.9
2013-02-25,299.15
2013-02-26,289.4
2013-02-27,286.25
2013-02-28,287.55
2013-03-01,288.4
2013-03-04,289.75
2013-03-05,300.5
2013-03-06,309.4
2013-03-07,305.9
2013-03-08,303.8
2013-03-11,301.55
2013-03-12,304.7
2013-03-13,301.0
2013-03-14,301.0
2013-03-15,291.1
2013-03-18,286.85
2013-03-19,281.6
2013-03-20,285.65
2013-03-21,273.6
2013-03-22,270.35
2013-03-25,270.75
2013-03-26,275.8
2013-03-28,269.15
2013-04-01,265.5
2013-04-02,267.2
2013-04-03,257.2
2013-04-04,257.7
2013-04-05,255.2
2013-04-08,256.7
2013-04-09,262.85
2013-04-10,268.0
2013-04-11,278.15
2013-04-12,275.15
2013-04-15,269.0
2013-04-16,270.95
2013-04-17,271.2
2013-04-18,282.45
2013-04-22,285.25
2013-04-23,281.5
2013-04-25,293.3
2013-04-26,296.3
2013-04-29,296.15
2013-04-30,300.0
2013-05-02,297.35
2013-05-03,285.6
2013-05-06,291.05
2013-05-07,298.4
2013-05-08,300.25
2013-05-09,300.1
2013-05-10,309.05
2013-05-11,307.55
2013-05-13,297.45
2013-05-14,300.3
2013-05-15,308.85
2013-05-16,303.65
2013-05-17,303.35
2013-05-20,302.05
2013-05-21,292.95
2013-05-22,291.15
2013-05-23,291.05
2013-05-24,288.1
2013-05-27,294.5
2013-05-28,295.8
2013-05-29,303.8
2013-05-30,317.05
2013-05-31,313.3
2013-06-03,314.05
2013-06-04,306.1
2013-06-05,307.3
2013-06-06,306.7
2013-06-07,301.9
2013-06-10,296.05
2013-06-11,293.15
2013-06-12,293.55
2013-06-13,282.95
2013-06-14,296.8
2013-06-17,299.45
2013-06-18,297.6
2013-06-19,292.1
2013-06-20,288.75
2013-06-21,287.05
2013-06-24,283.9
2013-06-25,281.45
2013-06-26,272.65
2013-06-27,270.3
2013-06-28,281.3
2013-07-01,289.8
2013-07-02,286.45
2013-07-03,284.2
2013-07-04,292.3
2013-07-05,296.2
2013-07-08,287.8
2013-07-09,289.1
2013-07-10,284.05
2013-07-11,284.9
2013-07-12,292.5
2013-07-15,288.45
2013-07-16,291.55
2013-07-17,285.25
2013-07-18,286.9
2013-07-19,294.65
2013-07-22,297.85
2013-07-23,298.8
2013-07-24,297.3
2013-07-25,299.9
2013-07-26,289.95
2013-07-29,295.75
2013-07-30,284.9
2013-07-31,290.5
2013-08-01,288.95
2013-08-02,290.45
2013-08-05,284.75
2013-08-06,287.55
2013-08-07,278.9
2013-08-08,278.8
2013-08-12,281.3
2013-08-13,290.85
2013-08-14,319.1
2013-08-16,313.95
2013-08-19,301.7
2013-08-20,287.95
2013-08-21,283.35
2013-08-22,291.95
2013-08-23,300.95
2013-08-26,298.1
2013-08-27,290.05
2013-08-28,297.95
2013-08-29,306.0
2013-08-30,299.25
2013-09-02,299.7
2013-09-03,297.35
2013-09-04,311.7
2013-09-05,318.1
2013-09-06,317.8
2013-09-10,349.6
2013-09-11,340.45
2013-09-12,333.45
2013-09-13,334.05
2013-09-16,331.35
2013-09-17,335.05
2013-09-18,336.85
2013-09-19,349.15
2013-09-20,338.35
2013-09-23,333.85
2013-09-24,337.1
2013-09-25,344.1
2013-09-26,343.55
2013-09-27,340.1
2013-09-30,332.5
2013-10-01,335.65
2013-10-03,345.95
2013-10-04,350.05
2013-10-07,347.9
2013-10-08,350.55
2013-10-09,354.2
2013-10-10,371.65
2013-10-11,385.3
2013-10-14,390.45
2013-10-15,388.85
2013-10-17,373.4
2013-10-18,379.65
2013-10-21,380.05
2013-10-22,380.0
2013-10-23,374.65
2013-10-24,379.3
2013-10-25,376.25
2013-10-28,377.6
2013-10-29,381.65
2013-10-30,379.6
2013-10-31,381.15
2013-11-01,384.6
2013-11-03,391.0
2013-11-05,395.3
2013-11-06,391.05
2013-11-07,380.15
2013-11-08,384.15
2013-11-11,377.1
2013-11-12,360.0
2013-11-13,366.2
2013-11-14,387.05
2013-11-18,392.25
2013-11-19,391.35
2013-11-20,386.0
2013-11-21,383.15
2013-11-22,374.15
2013-11-25,386.15
2013-11-26,390.25
2013-11-27,399.2
2013-11-28,397.9
2013-11-29,398.7
2013-12-02,399.9
2013-12-03,399.05
2013-12-04,392.65
2013-12-05,390.3
2013-12-06,390.9
2013-12-09,393.45
2013-12-10,390.7
2013-12-11,377.8
2013-12-12,360.45
2013-12-13,370.35
2013-12-16,368.05
2013-12-17,366.85
2013-12-18,368.5
2013-12-19,369.55
2013-12-20,373.7
2013-12-23,375.65
2013-12-24,372.65
2013-12-26,370.25
2013-12-27,371.9
2013-12-30,374.8
2013-12-31,376.4
2014-01-01,374.95
2014-01-02,372.35
2014-01-03,362.7
2014-01-06,366.95
2014-01-07,365.1
2014-01-08,370.25
2014-01-09,367.95
2014-01-10,367.0
2014-01-13,376.15
2014-01-14,371.8
2014-01-15,377.3
2014-01-16,369.75
2014-01-17,369.7
2014-01-20,374.9
2014-01-21,384.8
2014-01-22,386.1
2014-01-23,383.6
2014-01-24,370.4
2014-01-27,348.25
2014-01-28,356.25
2014-01-29,351.75
2014-01-30,361.75
2014-01-31,349.55
2014-02-03,336.4
2014-02-04,345.85
2014-02-05,355.1
2014-02-06,357.65
2014-02-07,360.2
2014-02-10,364.05
2014-02-11,374.5
2014-02-12,376.65
2014-02-13,375.95
2014-02-14,388.8
2014-02-17,386.6
2014-02-18,391.4
2014-02-19,391.5
2014-02-20,391.85
2014-02-21,396.2
2014-02-24,396.55
2014-02-25,398.5
2014-02-26,401.2
2014-02-28,416.95
2014-03-03,410.7
2014-03-04,412.9
2014-03-05,409.6
2014-03-06,408.45
2014-03-07,409.1
2014-03-10,396.0
2014-03-11,397.95
2014-03-12,388.85
2014-03-13,388.0
2014-03-14,393.25
2014-03-18,381.25
2014-03-19,384.35
2014-03-20,379.7
2014-03-21,389.15
2014-03-22,389.0
2014-03-24,391.5
2014-03-25,390.85
2014-03-26,401.65
2014-03-27,396.7
2014-03-28,397.3
2014-03-31,398.65
2014-04-01,403.15
2014-04-02,414.1
2014-04-03,411.35
2014-04-04,405.5
2014-04-07,404.0
2014-04-09,420.9
2014-04-10,430.8
2014-04-11,423.6
2014-04-15,411.95
2014-04-16,411.15
2014-04-17,429.1
2014-04-21,432.1
2014-04-22,428.8
2014-04-23,425.05
2014-04-25,423.25
2014-04-28,416.45
2014-04-29,408.95
2014-04-30,414.75
2014-05-02,414.75
2014-05-05,414.45
2014-05-06,419.15
2014-05-07,416.7
2014-05-08,423.05
2014-05-09,427.5
2014-05-12,445.2
2014-05-13,440.95
2014-05-14,442.35
2014-05-15,439.65
2014-05-16,449.85
2014-05-19,444.4
2014-05-20,439.85
2014-05-21,436.95
2014-05-22,430.8
2014-05-23,431.3
2014-05-26,444.05
2014-05-27,436.6
2014-05-28,428.75
2014-05-29,424.3
2014-05-30,415.05
2014-06-02,420.75
2014-06-03,420.9
2014-06-04,422.05
2014-06-05,435.0
2014-06-06,439.1
2014-06-09,448.6
2014-06-10,453.4
2014-06-11,445.75
2014-06-12,449.55
2014-06-13,438.25
2014-06-16,430.85
2014-06-17,440.9
2014-06-18,433.15
2014-06-19,438.6
2014-06-20,438.05
2014-06-23,435.6
2014-06-24,442.15
2014-06-25,443.25
2014-06-26,438.0
2014-06-27,432.35
2014-06-30,431.3
2014-07-01,450.8
2014-07-02,455.8
2014-07-03,469.75
2014-07-04,469.45
2014-07-07,478.85
2014-07-08,470.0
2014-07-09,457.25
2014-07-10,453.15
2014-07-11,445.95
2014-07-14,456.0
2014-07-15,462.9
2014-07-16,470.3
2014-07-17,475.3
2014-07-18,475.3
2014-07-21,474.95
2014-07-22,486.7
2014-07-23,484.85
2014-07-24,485.25
2014-07-25,461.1
2014-07-28,453.85
2014-07-30,451.35
2014-07-31,446.75
2014-08-01,440.0
2014-08-04,446.6
2014-08-05,456.8
2014-08-06,447.55
2014-08-07,442.0
2014-08-08,432.9
2014-08-11,446.55
2014-08-12,474.0
2014-08-13,473.5
2014-08-14,484.6
2014-08-18,503.8
2014-08-19,518.85
2014-08-20,512.25
2014-08-21,512.75
2014-08-22,511.55
2014-08-25,508.4
2014-08-26,512.65
2014-08-27,521.7
2014-08-28,525.05
2014-09-01,520.0
2014-09-02,516.25
2014-09-03,522.6
2014-09-04,513.0
2014-09-05,506.0
2014-09-08,510.1
2014-09-09,517.15
2014-09-10,516.55
2014-09-11,514.35
2014-09-12,517.2
2014-09-15,512.4
2014-09-16,499.75
2014-09-17,506.95
2014-09-18,525.4
2014-09-19,518.9
2014-09-22,540.05
2014-09-23,517.8
2014-09-24,513.4
2014-09-25,504.35
2014-09-26,511.1
2014-09-29,510.75
2014-09-30,502.15
2014-10-01,502.75
2014-10-07,504.95
2014-10-08,509.0
2014-10-09,520.6
2014-10-10,492.7
2014-10-13,496.25
2014-10-14,488.0
2014-10-16,483.8
2014-10-17,475.8
2014-10-20,494.65
2014-10-21,501.45
2014-10-22,519.15
2014-10-23,515.65
2014-10-27,503.7
2014-10-28,508.65
2014-10-29,526.2
2014-10-30,526.95
2014-10-31,535.85
