Date,OBEROIRLTY
2013-01-01,303.4
2013-01-02,298.2
2013-01-03,298.7
2013-01-04,299.95
2013-01-07,298.35
2013-01-08,293.75
2013-01-09,288.8
2013-01-10,283.65
2013-01-11,270.9
2013-01-14,281.9
2013-01-15,290.15
2013-01-16,304.8
2013-01-17,310.8
2013-01-18,316.65
2013-01-21,303.6
2013-01-22,311.45
2013-01-23,304.4
2013-01-24,297.3
2013-01-25,304.0
2013-01-28,298.9
2013-01-29,294.9
2013-01-30,290.6
2013-01-31,291.25
2013-02-01,290.6
2013-02-04,292.6
2013-02-05,284.35
2013-02-06,283.05
2013-02-07,283.65
2013-02-08,273.65
2013-02-11,282.6
2013-02-12,286.15
2013-02-13,291.85
2013-02-14,291.15
2013-02-15,289.9
2013-02-18,291.2
2013-02-19,292.95
2013-02-20,290.4
2013-02-21,283.0
2013-02-22,284.5
2013-02-25,278.2
2013-02-26,282.6
2013-02-27,283.35
2013-02-28,275.6
2013-03-01,267.0
2013-03-04,260.4
2013-03-05,268.1
2013-03-06,284.4
2013-03-07,279.55
2013-03-08,280.25
2013-03-11,279.3
2013-03-12,285.85
2013-03-13,289.05
2013-03-14,287.2
2013-03-15,285.65
2013-03-18,278.6
2013-03-19,273.45
2013-03-20,273.0
2013-03-21,268.45
2013-03-22,263.5
2013-03-25,258.9
2013-03-26,249.75
2013-03-28,257.65
2013-04-01,258.0
2013-04-02,258.4
2013-04-03,255.15
2013-04-04,250.85
2013-04-05,252.15
2013-04-08,255.55
2013-04-09,251.75
2013-04-10,249.3
2013-04-11,240.5
2013-04-12,240.0
2013-04-15,243.55
2013-04-16,247.2
2013-04-17,257.25
2013-04-18,259.4
2013-04-22,260.4
2013-04-23,256.95
2013-04-25,257.3
2013-04-26,252.7
2013-04-29,249.5
2013-04-30,243.9
2013-05-02,245.65
2013-05-03,242.15
2013-05-06,239.05
2013-05-07,236.85
2013-05-08,237.0
2013-05-09,233.2
2013-05-10,234.55
2013-05-11,239.4
2013-05-13,236.7
2013-05-14,234.1
2013-05-15,237.75
2013-05-16,247.75
2013-05-17,250.75
2013-05-20,258.5
2013-05-21,254.4
2013-05-22,248.0
2013-05-23,238.6
2013-05-24,240.2
2013-05-27,248.55
2013-05-28,248.15
2013-05-29,241.3
2013-05-30,236.1
2013-05-31,233.6
2013-06-03,229.3
2013-06-04,226.65
2013-06-05,224.3
2013-06-06,221.0
2013-06-07,218.05
2013-06-10,212.3
2013-06-11,202.1
2013-06-12,198.4
2013-06-13,205.05
2013-06-14,214.65
2013-06-17,212.2
2013-06-18,211.95
2013-06-19,210.4
2013-06-20,201.95
2013-06-21,199.7
2013-06-24,197.15
2013-06-25,193.0
2013-06-26,192.0
2013-06-27,191.65
2013-06-28,197.85
2013-07-01,216.2
2013-07-02,209.0
2013-07-03,206.4
2013-07-04,208.75
2013-07-05,213.7
2013-07-08,205.5
2013-07-09,207.4
2013-07-10,208.85
2013-07-11,210.7
2013-07-12,211.7
2013-07-15,215.7
2013-07-16,201.6
2013-07-17,194.75
2013-07-18,197.0
2013-07-19,194.15
2013-07-22,191.5
2013-07-23,193.9
2013-07-24,194.45
2013-07-25,196.65
2013-07-26,199.75
2013-07-29,201.0
2013-07-30,200.1
2013-07-31,199.3
2013-08-01,198.1
2013-08-02,190.35
2013-08-05,175.8
2013-08-06,170.45
2013-08-07,162.65
2013-08-08,170.1
2013-08-12,175.4
2013-08-13,191.65
2013-08-14,188.05
2013-08-16,184.35
2013-08-19,176.2
2013-08-20,172.05
2013-08-21,163.95
2013-08-22,167.0
2013-08-23,168.7
2013-08-26,169.3
2013-08-27,163.6
2013-08-28,168.15
2013-08-29,168.95
2013-08-30,166.5
2013-09-02,165.9
2013-09-03,162.6
2013-09-04,159.9
2013-09-05,158.7
2013-09-06,156.45
2013-09-10,162.4
2013-09-11,164.85
2013-09-12,171.75
2013-09-13,172.65
2013-09-16,167.5
2013-09-17,172.3
2013-09-18,175.1
2013-09-19,178.1
2013-09-20,171.1
2013-09-23,168.05
2013-09-24,168.75
2013-09-25,168.15
2013-09-26,174.0
2013-09-27,166.15
2013-09-30,169.1
2013-10-01,169.45
2013-10-03,171.1
2013-10-04,171.05
2013-10-07,167.25
2013-10-08,172.4
2013-10-09,173.65
2013-10-10,174.7
2013-10-11,176.05
2013-10-14,173.1
2013-10-15,170.3
2013-10-17,171.2
2013-10-18,174.7
2013-10-21,173.6
2013-10-22,175.0
2013-10-23,184.0
2013-10-24,184.05
2013-10-25,176.85
2013-10-28,180.7
2013-10-29,183.65
2013-10-30,185.55
2013-10-31,188.1
2013-11-01,189.9
2013-11-03,189.9
2013-11-05,188.85
2013-11-06,188.25
2013-11-07,189.6
2013-11-08,186.45
2013-11-11,186.6
2013-11-12,187.0
2013-11-13,186.0
2013-11-14,189.2
2013-11-18,197.5
2013-11-19,197.25
2013-11-20,199.0
2013-11-21,191.55
2013-11-22,188.2
2013-11-25,191.7
2013-11-26,189.95
2013-11-27,188.0
2013-11-28,191.1
2013-11-29,192.95
2013-12-02,193.05
2013-12-03,190.6
2013-12-04,185.05
2013-12-05,184.5
2013-12-06,186.45
2013-12-09,191.45
2013-12-10,201.35
2013-12-11,205.95
2013-12-12,208.8
2013-12-13,211.05
2013-12-16,215.9
2013-12-17,217.15
2013-12-18,220.05
2013-12-19,221.45
2013-12-20,223.9
2013-12-23,234.0
2013-12-24,229.8
2013-12-26,229.95
2013-12-27,231.3
2013-12-30,230.2
2013-12-31,234.1
2014-01-01,237.7
