Date,ADROITINFO
2015-10-13,52.5
2015-10-14,53.25
2015-10-15,53.95
2015-10-16,53.8
2015-10-19,51.5
2015-10-20,51.6
2015-10-21,53.25
2015-10-23,51.9
2015-10-26,55.05
2015-10-27,61.0
2015-10-28,65.15
2015-10-29,65.8
2015-10-30,64.95
2015-11-02,64.85
2015-11-03,67.0
2015-11-04,67.45
2015-11-05,66.45
2015-11-06,66.8
2015-11-09,67.0
2015-11-10,67.0
2015-11-11,67.45
2015-11-13,67.05
2015-11-16,65.05
2015-11-17,64.7
2015-11-18,60.1
2015-11-19,62.25
2015-11-20,63.3
2015-11-23,64.1
2015-11-24,67.85
2015-11-26,67.3
2015-11-27,67.0
2015-11-30,67.2
2015-12-01,70.75
2015-12-02,71.65
2015-12-03,67.95
2015-12-04,68.3
2015-12-07,69.4
2015-12-08,69.0
2015-12-09,68.05
2015-12-10,69.5
2015-12-11,67.1
2015-12-14,66.8
2015-12-15,65.4
2015-12-16,66.2
2015-12-17,66.45
2015-12-18,64.65
2015-12-21,64.65
2015-12-22,65.65
2015-12-23,66.3
2015-12-24,68.15
2015-12-28,69.75
2015-12-29,70.35
2015-12-30,72.6
2015-12-31,75.5
2016-01-01,82.1
2016-01-04,84.7
2016-01-05,86.05
2016-01-06,86.6
2016-01-07,84.4
2016-01-08,86.5
2016-01-11,87.05
2016-01-12,83.85
2016-01-13,83.9
2016-01-14,82.85
2016-01-15,79.8
2016-01-18,74.4
2016-01-19,73.1
2016-01-20,73.05
2016-01-21,75.0
2016-01-22,78.0
2016-01-25,72.85
2016-01-27,72.25
2016-01-28,70.0
2016-01-29,70.05
2016-02-01,70.0
2016-02-02,68.45
2016-02-03,68.9
2016-02-04,67.0
2016-02-05,66.85
2016-02-08,65.0
2016-02-09,61.35
2016-02-10,59.5
2016-02-11,56.95
2016-02-12,53.9
2016-02-15,60.0
2016-02-16,57.1
2016-02-17,58.9
2016-02-18,59.0
2016-02-19,57.55
2016-02-22,57.8
2016-02-23,60.1
2016-02-24,62.65
2016-02-25,63.3
2016-02-26,62.4
2016-02-29,59.45
2016-03-01,62.35
2016-03-02,63.5
2016-03-03,64.45
2016-03-04,62.4
2016-03-08,62.2
2016-03-09,62.65
2016-03-10,62.15
2016-03-11,62.2
2016-03-14,61.8
2016-03-15,58.05
2016-03-16,59.15
2016-03-17,58.45
2016-03-18,59.95
2016-03-21,57.0
2016-03-22,59.05
2016-03-23,57.85
2016-03-28,58.85
2016-03-29,47.1
2016-03-30,40.95
2016-03-31,45.0
2016-04-01,49.5
2016-04-04,52.8
2016-04-05,54.15
2016-04-06,54.75
2016-04-07,55.6
2016-04-08,55.55
2016-04-11,54.25
2016-04-12,54.15
2016-04-13,54.15
2016-04-18,55.3
2016-04-20,55.7
2016-04-21,54.15
2016-04-22,52.3
2016-04-25,53.05
2016-04-26,54.8
2016-04-27,54.35
2016-04-28,52.7
2016-04-29,51.8
2016-05-02,52.0
2016-05-03,52.35
2016-05-04,52.2
2016-05-05,51.4
2016-05-06,51.1
2016-05-09,51.85
2016-05-10,54.05
2016-05-11,54.45
2016-05-12,55.25
2016-05-13,54.35
2016-05-16,55.7
2016-05-17,55.5
2016-05-18,60.1
2016-05-19,58.85
2016-05-20,59.0
2016-05-23,59.95
2016-05-24,58.0
2016-05-25,57.2
2016-05-26,57.0
2016-05-27,58.4
2016-05-30,56.05
2016-05-31,57.3
2016-06-01,57.55
2016-06-02,56.05
2016-06-03,55.0
2016-06-06,54.25
2016-06-07,53.1
2016-06-08,53.5
2016-06-09,52.9
2016-06-10,53.7
2016-06-13,56.35
2016-06-14,55.65
2016-06-15,57.0
2016-06-16,55.25
2016-06-17,56.4
2016-06-20,58.75
2016-06-21,59.1
2016-06-22,59.35
2016-06-23,59.95
2016-06-24,59.75
2016-06-27,57.85
2016-06-28,61.55
2016-06-29,62.5
2016-06-30,64.05
2016-07-01,63.1
2016-07-04,62.45
2016-07-05,61.9
2016-07-07,64.25
2016-07-08,64.45
2016-07-11,64.45
2016-07-12,64.45
2016-07-13,61.75
2016-07-14,62.8
2016-07-15,61.1
2016-07-18,62.45
2016-07-19,62.65
2016-07-20,62.3
2016-07-21,63.35
2016-07-22,63.85
2016-07-25,64.85
2016-07-26,64.4
2016-07-27,64.25
2016-07-28,65.0
2016-07-29,64.95
2016-08-01,65.85
2016-08-02,66.4
2016-08-03,66.15
2016-08-04,66.6
2016-08-05,64.1
2016-08-08,76.9
2016-08-09,76.35
2016-08-10,75.95
2016-08-11,73.85
2016-08-12,72.75
2016-08-16,69.0
2016-08-17,68.15
2016-08-18,68.25
2016-08-19,67.85
2016-08-22,68.25
2016-08-23,67.65
2016-08-24,70.05
2016-08-25,70.9
2016-08-26,70.1
2016-08-29,71.1
2016-08-30,71.65
2016-08-31,70.9
2016-09-01,68.5
2016-09-02,70.0
2016-09-06,72.05
2016-09-07,70.35
2016-09-08,69.25
2016-09-09,69.6
2016-09-12,69.0
2016-09-14,72.25
2016-09-15,72.35
2016-09-16,71.45
2016-09-19,70.8
2016-09-20,69.95
2016-09-21,68.55
2016-09-22,69.7
2016-09-23,68.15
2016-09-26,69.0
2016-09-27,69.55
2016-09-28,69.05
2016-09-29,64.6
2016-09-30,68.95
2016-10-03,69.9
2016-10-04,70.05
2016-10-05,69.95
2016-10-06,69.8
2016-10-07,72.6
2016-10-10,77.85
2016-10-13,75.7
2016-10-14,76.0
2016-10-17,78.65
2016-10-18,77.6
2016-10-19,79.95
2016-10-20,79.75
2016-10-21,79.05
2016-10-24,78.25
2016-10-25,77.2
2016-10-26,79.15
2016-10-27,75.45
2016-10-28,80.15
2016-10-30,79.95
2016-11-01,77.7
2016-11-02,76.85
2016-11-03,75.95
2016-11-04,78.15
2016-11-07,78.95
2016-11-08,79.45
2016-11-09,75.75
2016-11-10,79.3
2016-11-11,79.2
2016-11-15,73.0
2016-11-16,69.0
2016-11-17,65.55
2016-11-18,63.85
2016-11-21,59.1
2016-11-22,58.5
2016-11-23,61.1
2016-11-24,64.5
