Date,PENIND
2013-01-01,28.65
2013-01-02,28.8
2013-01-03,28.4
2013-01-04,29.25
2013-01-07,28.9
2013-01-08,28.5
2013-01-09,28.75
2013-01-10,28.7
2013-01-11,28.8
2013-01-14,28.4
2013-01-15,28.35
2013-01-16,27.6
2013-01-17,27.55
2013-01-18,27.8
2013-01-21,28.05
2013-01-22,27.1
2013-01-23,26.5
2013-01-24,25.75
2013-01-25,26.25
2013-01-28,26.6
2013-01-29,26.8
2013-01-30,26.7
2013-01-31,25.9
2013-02-01,25.8
2013-02-04,25.45
2013-02-05,25.45
2013-02-06,25.25
2013-02-07,25.4
2013-02-08,25.15
2013-02-11,25.05
2013-02-12,25.5
2013-02-13,25.1
2013-02-14,25.1
2013-02-15,25.8
2013-02-18,25.4
2013-02-19,25.3
2013-02-20,25.85
2013-02-21,25.3
2013-02-22,25.55
2013-02-25,25.45
2013-02-26,25.0
2013-02-27,25.0
2013-02-28,25.0
2013-03-01,25.0
2013-03-04,25.0
2013-03-05,25.0
2013-03-06,25.6
2013-03-07,26.85
2013-03-08,25.75
2013-03-11,25.4
2013-03-12,26.65
2013-03-13,25.95
2013-03-14,26.0
2013-03-15,25.8
2013-03-18,25.2
2013-03-19,25.9
2013-03-20,25.1
2013-03-21,25.0
2013-03-22,25.5
2013-03-25,24.75
2013-03-26,25.0
2013-03-28,25.0
2013-04-01,26.15
2013-04-02,25.75
2013-04-03,25.0
2013-04-04,25.0
2013-04-05,25.0
2013-04-08,25.0
2013-04-09,25.0
2013-04-10,25.55
2013-04-11,25.55
2013-04-12,25.5
2013-04-15,26.3
2013-04-16,25.9
2013-04-17,25.6
2013-04-18,26.2
2013-04-22,25.45
2013-04-23,25.5
2013-04-25,26.05
2013-04-26,25.4
2013-04-29,25.8
2013-04-30,25.35
2013-05-02,25.65
2013-05-03,25.25
2013-05-06,25.25
2013-05-07,25.75
2013-05-08,25.25
2013-05-09,25.2
2013-05-10,25.6
2013-05-11,25.35
2013-05-13,25.2
2013-05-14,25.1
2013-05-15,25.0
2013-05-16,25.0
2013-05-17,25.05
2013-05-20,25.0
2013-05-21,25.05
2013-05-22,25.15
2013-05-23,24.7
2013-05-24,25.55
2013-05-27,25.0
2013-05-28,25.0
2013-05-29,25.2
2013-05-30,25.25
2013-05-31,25.9
2013-06-03,25.05
2013-06-04,25.2
2013-06-05,26.85
2013-06-06,26.35
2013-06-07,27.1
2013-06-10,27.55
2013-06-11,27.1
2013-06-12,26.15
2013-06-13,25.1
2013-06-14,25.2
2013-06-17,25.65
2013-06-18,25.25
2013-06-19,25.2
2013-06-20,26.0
2013-06-21,25.2
2013-06-24,25.75
2013-06-25,25.35
2013-06-26,25.45
2013-06-27,25.5
2013-06-28,25.6
2013-07-01,25.4
2013-07-02,25.5
2013-07-03,25.3
2013-07-04,25.25
2013-07-05,25.0
2013-07-08,25.05
2013-07-09,24.95
2013-07-10,24.55
2013-07-11,24.75
2013-07-12,24.95
2013-07-15,24.8
2013-07-16,25.1
2013-07-17,24.8
2013-07-18,24.85
2013-07-19,24.9
2013-07-22,24.6
2013-07-23,24.25
2013-07-24,24.4
2013-07-25,24.45
2013-07-26,24.5
2013-07-29,24.0
2013-07-30,23.15
2013-07-31,23.7
2013-08-01,23.35
2013-08-02,23.75
2013-08-05,23.8
2013-08-06,23.0
2013-08-07,23.0
2013-08-08,23.05
2013-08-12,23.55
2013-08-13,23.7
2013-08-14,22.5
2013-08-16,22.6
2013-08-19,22.5
2013-08-20,22.5
2013-08-21,22.5
2013-08-22,22.2
2013-08-23,22.45
2013-08-26,22.2
2013-08-27,24.45
2013-08-28,23.25
2013-08-29,22.25
2013-08-30,22.2
2013-09-02,22.2
2013-09-03,21.15
2013-09-04,21.3
2013-09-05,21.45
2013-09-06,21.3
2013-09-10,21.2
2013-09-11,21.4
2013-09-12,21.55
2013-09-13,21.6
2013-09-16,21.1
2013-09-17,21.1
2013-09-18,20.8
2013-09-19,21.2
2013-09-20,20.8
2013-09-23,20.55
2013-09-24,20.55
2013-09-25,20.4
2013-09-26,20.65
2013-09-27,20.3
2013-09-30,20.95
2013-10-01,20.5
2013-10-03,22.35
2013-10-04,21.95
2013-10-07,22.5
2013-10-08,23.1
2013-10-09,23.1
2013-10-10,23.1
2013-10-11,22.0
2013-10-14,21.55
2013-10-15,21.65
2013-10-17,21.35
2013-10-18,21.25
2013-10-21,21.25
2013-10-22,21.35
2013-10-23,21.4
2013-10-24,22.0
2013-10-25,21.55
2013-10-28,21.6
2013-10-29,21.35
2013-10-30,21.8
2013-10-31,21.15
2013-11-01,21.85
2013-11-03,22.0
2013-11-05,22.15
2013-11-06,23.2
2013-11-07,22.75
2013-11-08,21.3
2013-11-11,20.75
2013-11-12,20.75
2013-11-13,20.95
2013-11-14,20.7
2013-11-18,20.3
2013-11-19,20.7
2013-11-20,21.45
2013-11-21,23.45
2013-11-22,22.75
2013-11-25,21.45
2013-11-26,20.55
2013-11-27,20.7
2013-11-28,20.6
2013-11-29,20.8
2013-12-02,20.65
2013-12-03,20.55
2013-12-04,20.3
2013-12-05,20.95
2013-12-06,21.05
2013-12-09,20.85
2013-12-10,21.25
2013-12-11,21.0
2013-12-12,21.0
2013-12-13,20.6
2013-12-16,20.25
2013-12-17,20.3
2013-12-18,20.45
2013-12-19,20.5
2013-12-20,20.2
2013-12-23,20.6
2013-12-24,20.35
2013-12-26,21.55
2013-12-27,21.6
2013-12-30,24.65
2013-12-31,23.7
2014-01-01,23.7
2014-01-02,22.65
2014-01-03,22.4
2014-01-06,22.05
2014-01-07,22.4
2014-01-08,22.7
2014-01-09,22.05
2014-01-10,22.1
2014-01-13,23.3
2014-01-14,22.65
2014-01-15,22.3
2014-01-16,22.4
2014-01-17,21.55
2014-01-20,21.15
2014-01-21,21.45
2014-01-22,22.35
2014-01-23,22.3
2014-01-24,22.0
2014-01-27,20.9
2014-01-28,20.7
2014-01-29,20.9
2014-01-30,20.5
2014-01-31,20.85
2014-02-03,20.3
2014-02-04,20.7
2014-02-05,21.75
2014-02-06,21.5
2014-02-07,21.45
2014-02-10,21.25
2014-02-11,20.65
2014-02-12,20.6
2014-02-13,20.4
2014-02-14,20.3
2014-02-17,20.65
2014-02-18,20.45
2014-02-19,20.1
2014-02-20,20.1
2014-02-21,20.4
2014-02-24,20.85
2014-02-25,20.9
2014-02-26,20.5
2014-02-28,20.2
2014-03-03,20.5
2014-03-04,20.1
2014-03-05,19.9
2014-03-06,20.2
2014-03-07,20.2
2014-03-10,20.2
2014-03-11,20.15
2014-03-12,19.45
2014-03-13,20.55
2014-03-14,20.0
2014-03-18,20.3
2014-03-19,20.0
2014-03-20,19.7
2014-03-21,19.6
2014-03-22,19.7
2014-03-24,19.6
2014-03-25,19.8
2014-03-26,19.95
2014-03-27,19.75
2014-03-28,23.7
2014-03-31,24.3
2014-04-01,23.75
2014-04-02,25.0
2014-04-03,23.75
2014-04-04,23.0
2014-04-07,23.0
2014-04-09,23.0
2014-04-10,22.9
2014-04-11,23.1
2014-04-15,23.2
2014-04-16,23.2
2014-04-17,23.1
2014-04-21,23.55
2014-04-22,24.35
2014-04-23,25.0
2014-04-25,25.95
2014-04-28,27.95
2014-04-29,27.2
2014-04-30,27.65
2014-05-02,30.6
2014-05-05,29.3
2014-05-06,28.15
2014-05-07,26.9
2014-05-08,27.55
2014-05-09,26.95
2014-05-12,26.7
2014-05-13,27.1
2014-05-14,26.6
2014-05-15,26.35
2014-05-16,27.85
2014-05-19,33.25
2014-05-20,36.55
2014-05-21,37.5
2014-05-22,36.55
2014-05-23,38.8
2014-05-26,38.55
2014-05-27,37.4
2014-05-28,37.6
2014-05-29,37.55
2014-05-30,37.05
2014-06-02,38.3
2014-06-03,38.45
2014-06-04,37.75
2014-06-05,38.5
2014-06-30,41.0
2014-07-01,43.05
2014-07-02,45.0
2014-07-03,43.25
2014-07-04,42.25
2014-07-07,43.8
2014-07-08,41.65
2014-07-09,39.6
2014-07-10,40.4
2014-07-11,38.45
2014-07-14,37.05
2014-07-15,38.7
2014-07-16,39.8
2014-07-17,39.2
2014-07-18,39.55
2014-07-21,39.8
2014-07-22,39.55
2014-07-23,39.85
2014-07-24,39.0
2014-07-25,38.4
2014-07-28,38.0
2014-07-30,37.85
2014-07-31,38.1
2014-08-01,38.25
2014-08-04,37.6
2014-08-05,37.85
2014-08-06,38.1
2014-08-07,37.15
2014-08-08,35.95
2014-08-11,37.35
2014-08-12,40.0
2014-08-13,41.0
2014-08-14,42.85
2014-08-18,41.3
2014-08-19,44.7
2014-08-20,42.85
2014-08-21,40.5
2014-08-22,41.9
2014-08-25,40.8
2014-08-26,40.25
2014-08-27,40.4
2014-08-28,41.05
2014-09-01,41.15
2014-09-02,41.1
2014-09-03,42.65
2014-09-04,46.9
2014-09-05,51.0
2014-09-08,54.0
2014-09-09,51.5
2014-09-10,53.45
2014-09-11,55.75
2014-09-12,57.35
2014-09-15,58.85
2014-09-16,53.05
2014-09-17,54.65
2014-09-18,58.35
2014-09-19,57.0
2014-09-22,57.1
2014-09-23,53.95
2014-09-24,53.55
2014-09-25,50.05
2014-09-26,54.0
2014-09-29,54.8
2014-09-30,53.25
2014-10-01,55.15
2014-10-07,52.5
2014-10-08,52.3
2014-10-09,53.25
2014-10-10,51.75
2014-10-13,52.6
2014-10-14,56.0
2014-10-16,52.35
2014-10-17,51.95
2014-10-20,53.3
2014-10-21,52.4
2014-10-22,54.3
2014-10-23,54.1
2014-10-27,54.3
2014-10-28,53.8
2014-10-29,58.8
2014-10-30,59.15
2014-10-31,60.3
2014-11-03,60.75
2014-11-05,60.1
2014-11-07,60.6
2014-11-10,65.1
2014-11-11,61.0
2014-11-12,60.1
2014-11-13,58.95
2014-11-14,59.5
2014-11-17,60.65
2014-11-18,59.45
2014-11-19,59.55
2014-11-20,59.95
2014-11-21,59.5
2014-11-24,58.45
2014-11-25,56.4
2014-11-26,56.8
2014-11-27,55.5
2014-11-28,55.9
2014-12-01,53.7
2014-12-02,55.45
2014-12-03,57.15
2014-12-04,58.35
2014-12-05,59.25
2014-12-08,59.0
2014-12-09,57.5
2014-12-10,59.3
2014-12-11,57.45
2014-12-12,54.85
2014-12-15,54.55
2014-12-16,52.6
2014-12-17,51.65
2014-12-18,53.8
2014-12-19,53.0
