Date,GRANULES
2013-01-01,164.3
2013-01-02,163.8
2013-01-03,160.95
2013-01-04,159.5
2013-01-07,159.2
2013-01-08,156.05
2013-01-09,160.7
2013-01-10,164.7
2013-01-11,161.3
2013-01-14,158.05
2013-01-15,159.85
2013-01-16,157.2
2013-01-17,155.3
2013-01-18,156.6
2013-01-21,155.2
2013-01-22,154.55
2013-01-23,156.3
2013-01-24,140.4
2013-01-25,131.5
2013-01-28,131.75
2013-01-29,131.1
2013-01-30,127.35
2013-01-31,124.85
2013-02-01,123.35
2013-02-04,126.85
2013-02-05,125.85
2013-02-06,124.8
2013-02-07,116.7
2013-02-08,113.3
2013-02-11,105.45
2013-02-12,109.25
2013-02-13,109.85
2013-02-14,108.5
2013-02-15,105.8
2013-02-18,109.2
2013-02-19,116.95
2013-02-20,119.05
2013-02-21,114.65
2013-02-22,113.8
2013-02-25,109.85
2013-02-26,108.25
2013-02-27,109.4
2013-02-28,104.25
2013-03-01,106.15
2013-03-04,105.2
2013-03-05,108.5
2013-03-06,114.3
2013-03-07,112.8
2013-03-08,113.05
2013-03-11,112.6
2013-03-12,109.4
2013-03-13,105.5
2013-03-14,108.45
2013-03-15,105.55
2013-03-18,104.5
2013-03-19,103.65
2013-03-20,101.95
2013-03-21,95.95
2013-03-22,94.0
2013-03-25,92.05
2013-03-26,92.35
2013-03-28,94.85
2013-04-01,97.85
2013-04-02,106.0
2013-04-03,106.9
2013-04-04,103.4
2013-04-05,102.9
2013-04-08,102.8
2013-04-09,101.35
2013-04-10,100.75
2013-04-11,101.0
2013-04-12,98.75
2013-04-15,98.05
2013-04-16,97.1
2013-04-17,102.85
2013-04-18,102.2
2013-04-22,102.25
2013-04-23,101.5
2013-04-25,111.2
2013-04-26,121.95
2013-04-29,136.05
2013-04-30,130.8
2013-05-02,131.95
2013-05-03,130.05
2013-05-06,127.85
2013-05-07,133.45
2013-05-08,132.4
2013-05-09,128.25
2013-05-10,133.2
2013-05-11,141.95
2013-05-13,144.7
2013-05-14,141.4
2013-05-15,147.75
2013-05-16,145.55
2013-05-17,144.0
2013-05-20,140.15
2013-05-21,138.45
2013-05-22,135.7
2013-05-23,127.7
2013-05-24,129.7
2013-05-27,133.4
2013-05-28,135.6
2013-05-29,135.5
2013-05-30,133.45
2013-05-31,131.8
2013-06-03,129.85
2013-06-04,130.2
2013-06-05,130.35
2013-06-06,130.15
2013-06-07,133.35
2013-06-10,127.35
2013-06-11,124.1
2013-06-12,123.9
2013-06-13,120.45
2013-06-14,118.8
2013-06-17,120.2
2013-06-18,118.1
2013-06-19,118.25
2013-06-20,116.5
2013-06-21,115.2
2013-06-24,111.65
2013-06-25,107.95
2013-06-26,106.25
2013-06-27,105.85
2013-06-28,106.1
2013-07-01,107.45
2013-07-02,107.4
2013-07-03,111.4
2013-07-04,130.35
2013-07-05,130.1
2013-07-08,129.7
2013-07-09,133.9
2013-07-10,137.75
2013-07-11,135.85
2013-07-12,132.65
2013-07-15,136.45
2013-07-16,137.3
2013-07-17,135.85
2013-07-18,139.85
2013-07-19,140.95
2013-07-22,145.2
2013-07-23,146.45
2013-07-24,142.75
2013-07-25,141.9
2013-07-26,145.85
2013-07-29,136.95
2013-07-30,135.0
2013-07-31,135.3
2013-08-01,132.2
2013-08-02,128.5
2013-08-05,126.85
2013-08-06,123.8
2013-08-07,123.05
2013-08-08,129.95
2013-08-12,137.45
2013-08-13,139.15
2013-08-14,139.6
2013-08-16,133.15
2013-08-19,127.0
2013-08-20,125.7
2013-08-21,125.7
2013-08-22,129.15
2013-08-23,131.85
2013-08-26,131.75
2013-08-27,126.45
2013-08-28,127.5
2013-08-29,126.7
2013-08-30,128.6
2013-09-02,132.7
2013-09-03,130.55
2013-09-04,136.7
2013-09-05,140.95
2013-09-06,141.15
2013-09-10,141.1
2013-09-11,149.85
2013-09-12,148.7
