Date,COFFEEDAY
2016-06-24,243.65
2016-06-27,248.4
2016-06-28,250.05
2016-06-29,252.3
2016-06-30,255.5
2016-07-01,259.8
2016-07-04,259.6
2016-07-05,257.45
2016-07-07,252.9
2016-07-08,251.65
2016-07-11,251.15
2016-07-12,250.25
2016-07-13,247.65
2016-07-14,245.15
2016-07-15,241.75
2016-07-18,236.85
2016-07-19,231.2
2016-07-20,232.0
2016-07-21,244.0
2016-07-22,251.3
2016-07-25,252.7
2016-07-26,245.2
2016-07-27,245.4
2016-07-28,246.3
2016-07-29,244.9
2016-08-01,242.45
2016-08-02,241.3
2016-08-03,237.25
2016-08-04,237.1
2016-08-05,238.65
2016-08-08,243.65
2016-08-09,241.15
2016-08-10,237.35
2016-08-11,238.95
2016-08-12,236.5
2016-08-16,235.35
2016-08-17,238.05
2016-08-18,241.0
2016-08-19,240.75
2016-08-22,237.05
2016-08-23,246.75
2016-08-24,252.4
2016-08-25,253.9
2016-08-26,250.15
2016-08-29,243.7
2016-08-30,244.5
2016-08-31,246.1
2016-09-01,245.2
2016-09-02,243.05
2016-09-06,240.65
2016-09-07,238.35
2016-09-08,240.4
2016-09-09,238.3
2016-09-12,235.0
2016-09-14,238.55
2016-09-15,238.45
2016-09-16,235.95
2016-09-19,234.2
2016-09-20,232.7
2016-09-21,231.55
2016-09-22,231.5
2016-09-23,228.95
2016-09-26,225.35
2016-09-27,224.8
2016-09-28,225.0
2016-09-29,222.3
2016-09-30,225.1
2016-10-03,228.45
2016-10-04,226.7
2016-10-05,232.15
2016-10-06,229.15
2016-10-07,225.75
2016-10-10,225.1
2016-10-13,225.5
2016-10-14,227.35
2016-10-17,225.7
2016-10-18,226.75
2016-10-19,228.85
2016-10-20,227.45
2016-10-21,227.55
2016-10-24,224.8
2016-10-25,224.3
2016-10-26,223.0
2016-10-27,221.9
2016-10-28,222.05
2016-10-30,223.75
2016-11-01,224.25
2016-11-02,221.7
2016-11-03,221.95
2016-11-04,218.1
2016-11-07,218.05
2016-11-08,223.8
2016-11-09,214.85
2016-11-10,220.8
2016-11-11,217.95
2016-11-15,209.55
2016-11-16,211.25
2016-11-17,208.7
2016-11-18,207.85
2016-11-21,200.75
2016-11-22,200.3
2016-11-23,200.65
2016-11-24,200.25
2016-11-25,201.5
2016-11-28,205.5
2016-11-29,204.9
2016-11-30,209.85
2016-12-01,206.45
2016-12-02,205.5
2016-12-05,203.0
2016-12-06,203.75
2016-12-07,204.0
2016-12-08,204.45
2016-12-09,204.65
2016-12-12,200.1
2016-12-13,200.05
2016-12-14,199.8
2016-12-15,197.35
2016-12-16,199.85
2016-12-19,197.1
2016-12-20,196.15
2016-12-21,196.0
2016-12-22,196.15
2016-12-23,197.3
2016-12-26,193.85
2016-12-27,192.3
2016-12-28,195.6
2016-12-29,198.85
2016-12-30,198.25
2017-01-02,196.55
2017-01-03,198.95
2017-01-04,197.65
2017-01-05,198.85
2017-01-06,196.75
2017-01-09,196.6
2017-01-10,198.9
2017-01-11,199.1
2017-01-12,198.8
2017-01-13,197.95
2017-01-16,197.95
2017-01-17,198.6
2017-01-18,197.6
2017-01-19,197.55
2017-01-20,197.4
2017-01-23,197.6
2017-01-24,197.35
2017-01-25,202.4
2017-01-27,200.3
2017-01-30,200.55
2017-01-31,198.85
2017-02-01,199.35
2017-02-02,199.6
2017-02-03,199.85
2017-02-06,199.75
2017-02-07,199.05
2017-02-08,202.75
2017-02-09,224.6
2017-02-10,229.55
2017-02-13,238.35
2017-02-14,234.3
2017-02-15,235.5
2017-02-16,238.75
2017-02-17,241.2
2017-02-20,241.95
2017-02-21,236.65
2017-02-22,230.95
2017-02-23,231.55
2017-02-27,235.25
2017-02-28,235.95
2017-03-01,234.1
2017-03-02,234.35
2017-03-03,234.3
2017-03-06,234.25
2017-03-07,234.0
2017-03-08,231.8
2017-03-09,232.55
2017-03-10,233.7
2017-03-14,233.6
2017-03-15,231.9
2017-03-16,233.4
2017-03-17,233.65
2017-03-20,233.6
2017-03-21,232.3
2017-03-22,233.1
2017-03-23,241.6
2017-03-24,236.75
2017-03-27,234.0
2017-03-28,234.1
2017-03-29,231.7
2017-03-30,232.6
2017-03-31,232.4
2017-04-03,232.4
2017-04-05,232.95
2017-04-06,233.6
2017-04-07,231.75
2017-04-10,233.4
2017-04-11,233.4
2017-04-12,231.25
2017-04-13,232.7
2017-04-17,234.25
2017-04-18,247.55
2017-04-19,251.15
2017-04-20,248.95
2017-04-21,247.95
2017-04-24,253.7
2017-04-25,248.35
2017-04-26,249.9
2017-04-27,248.35
2017-04-28,250.15
2017-05-02,251.2
2017-05-03,255.8
2017-05-04,252.1
2017-05-05,250.05
2017-05-08,250.2
2017-05-09,252.8
2017-05-10,251.8
2017-05-11,261.95
2017-05-12,257.1
2017-05-15,262.45
2017-05-16,273.3
2017-05-17,268.05
2017-05-18,266.5
2017-05-19,262.2
2017-05-22,253.65
2017-05-23,250.6
2017-05-24,249.55
2017-05-25,253.6
2017-05-26,252.45
2017-05-29,248.45
2017-05-30,249.3
2017-05-31,246.5
2017-06-01,247.7
2017-06-02,249.4
2017-06-05,247.55
2017-06-06,248.3
2017-06-07,246.1
2017-06-08,248.85
2017-06-09,247.95
2017-06-12,248.55
2017-06-13,246.35
2017-06-14,245.95
2017-06-15,244.65
2017-06-16,245.85
2017-06-19,252.35
2017-06-20,251.5
2017-06-21,249.9
2017-06-22,248.65
2017-06-23,246.1
2017-06-27,240.95
2017-06-28,242.1
2017-06-29,245.05
2017-06-30,246.7
2017-07-03,253.25
2017-07-04,248.55
2017-07-05,248.2
2017-07-06,247.4
2017-07-07,245.75
2017-07-10,247.0
2017-07-11,244.35
2017-07-12,243.8
2017-07-13,247.45
2017-07-14,245.3
2017-07-17,245.45
2017-07-18,246.5
2017-07-19,249.0
2017-07-20,245.95
2017-07-21,245.2
2017-07-24,249.1
2017-07-25,246.6
2017-07-26,245.45
2017-07-27,245.15
2017-07-28,245.15
2017-07-31,245.0
2017-08-01,246.2
2017-08-02,249.1
2017-08-03,242.3
2017-08-04,245.05
2017-08-07,247.75
2017-08-08,242.7
2017-08-09,242.1
2017-08-10,237.55
2017-08-11,237.4
2017-08-14,238.4
2017-08-16,243.1
2017-08-17,242.65
2017-08-18,242.3
2017-08-21,241.15
2017-08-22,242.0
2017-08-23,242.15
2017-08-24,240.55
2017-08-28,244.1
2017-08-29,239.2
2017-08-30,239.25
2017-08-31,238.7
2017-09-01,241.25
2017-09-04,238.3
2017-09-05,249.2
2017-09-06,245.9
2017-09-07,242.2
2017-09-08,241.6
2017-09-11,246.55
2017-09-12,244.25
2017-09-13,247.95
2017-09-14,243.85
2017-09-15,241.6
2017-09-18,244.65
2017-09-19,242.2
2017-09-20,241.2
2017-09-21,233.25
2017-09-22,230.2
2017-09-25,212.25
2017-09-26,216.65
2017-09-27,211.4
2017-09-28,207.7
2017-09-29,217.4
2017-10-03,212.4
2017-10-04,210.0
2017-10-05,214.3
2017-10-06,217.5
2017-10-09,215.3
2017-10-10,215.6
2017-10-11,218.75
2017-10-12,220.05
2017-10-13,220.35
2017-10-16,220.55
2017-10-17,221.95
2017-10-18,224.0
2017-10-19,225.5
2017-10-23,221.7
2017-10-24,221.2
2017-10-25,220.45
2017-10-26,220.1
2017-10-27,221.65
2017-10-30,224.75
2017-10-31,222.45
2017-11-01,222.2
2017-11-02,223.0
2017-11-03,223.3
2017-11-06,221.0
2017-11-07,219.4
2017-11-08,215.15
2017-11-09,247.5
2017-11-10,227.9
2017-11-13,227.9
2017-11-14,223.6
2017-11-15,218.6
2017-11-16,220.0
2017-11-17,225.8
2017-11-20,224.65
2017-11-21,231.0
2017-11-22,228.1
2017-11-23,234.55
2017-11-24,230.0
2017-11-27,235.9
2017-11-28,241.0
2017-11-29,238.55
2017-11-30,246.0
2017-12-01,266.5
2017-12-04,270.0
2017-12-05,264.7
2017-12-06,259.1
2017-12-07,272.45
2017-12-08,280.15
2017-12-11,280.1
2017-12-12,274.65
2017-12-13,274.9
2017-12-14,272.4
2017-12-15,278.6
2017-12-18,279.75
2017-12-19,282.05
2017-12-20,284.5
2017-12-21,283.95
2017-12-22,276.65
2017-12-26,283.9
2017-12-27,279.15
2017-12-28,277.7
2017-12-29,274.7
