Date,ROHITFERRO
2013-01-01,30.2
2013-01-02,31.45
2013-01-03,31.6
2013-01-04,31.1
2013-01-07,31.55
2013-01-08,31.15
2013-01-09,30.7
2013-01-10,30.5
2013-01-11,29.65
2013-01-14,29.25
2013-01-15,29.7
2013-01-16,28.8
2013-01-17,28.8
2013-01-18,29.0
2013-01-21,29.8
2013-01-22,29.0
2013-01-23,28.5
2013-01-24,27.35
2013-01-25,27.55
2013-01-28,27.65
2013-01-29,27.65
2013-01-30,27.6
2013-01-31,27.25
2013-02-01,27.3
2013-02-04,27.0
2013-02-05,26.6
2013-02-06,26.7
2013-02-07,26.5
2013-02-08,26.15
2013-02-11,25.6
2013-02-12,25.5
2013-02-13,25.25
2013-02-14,24.2
2013-02-15,24.1
2013-02-18,24.3
2013-02-19,25.0
2013-02-20,24.8
2013-02-21,23.95
2013-02-22,23.75
2013-02-25,23.0
2013-02-26,22.55
2013-02-27,22.85
2013-02-28,22.5
2013-03-01,22.2
2013-03-04,20.55
2013-03-05,20.65
2013-03-06,21.35
2013-03-07,21.1
2013-03-08,21.65
2013-03-11,22.2
2013-03-12,21.35
2013-03-13,21.15
2013-03-14,20.95
2013-03-15,20.5
2013-03-18,20.6
2013-03-19,19.9
2013-03-20,18.7
2013-03-21,18.75
2013-03-22,19.05
2013-03-25,18.35
2013-03-26,17.8
2013-03-28,17.85
2013-04-01,18.75
2013-04-02,19.25
2013-04-03,19.3
2013-04-04,18.45
2013-04-05,18.75
2013-04-08,18.4
2013-04-09,18.0
2013-04-10,17.8
2013-04-11,17.85
2013-04-12,17.5
2013-04-15,17.25
2013-04-16,15.7
2013-04-17,16.4
2013-04-18,16.75
2013-04-22,16.7
2013-04-23,16.5
2013-04-25,16.15
2013-04-26,15.9
2013-04-29,15.5
2013-04-30,16.2
2013-05-02,16.45
2013-05-03,16.15
2013-05-06,16.2
2013-05-07,16.65
2013-05-08,16.25
2013-05-09,16.0
2013-05-10,15.95
2013-05-11,15.75
2013-05-13,15.65
2013-05-14,15.75
2013-05-15,15.9
2013-05-16,15.6
2013-05-17,15.45
2013-05-20,14.85
2013-05-21,15.7
2013-05-22,15.3
2013-05-23,14.3
2013-05-24,14.1
2013-05-27,14.25
2013-05-28,14.2
2013-05-29,14.0
2013-05-30,14.05
2013-05-31,14.45
2013-06-03,13.55
2013-06-04,13.3
2013-06-05,13.1
2013-06-06,13.45
2013-06-07,13.15
2013-06-10,13.35
2013-06-11,13.35
2013-06-12,13.55
2013-06-13,13.35
2013-06-14,13.95
2013-06-17,14.3
2013-06-18,14.0
2013-06-19,13.9
2013-06-20,12.85
2013-06-21,13.4
2013-06-24,13.5
2013-06-25,11.2
2013-06-26,10.15
2013-06-27,10.4
2013-06-28,11.25
2013-07-01,12.3
2013-07-02,12.0
2013-07-03,11.45
2013-07-04,11.65
2013-07-05,11.7
2013-07-08,11.7
2013-07-09,11.6
2013-07-10,11.45
2013-07-11,11.7
2013-07-12,11.75
2013-07-15,11.85
2013-07-16,11.6
2013-07-17,11.55
2013-07-18,11.3
2013-07-19,11.7
2013-07-22,11.35
2013-07-23,11.6
2013-07-24,11.2
2013-07-25,10.95
2013-07-26,10.45
2013-07-29,10.35
2013-07-30,9.8
2013-07-31,9.65
2013-08-01,9.85
2013-08-02,9.55
2013-08-05,10.05
2013-08-06,9.6
2013-08-07,10.0
2013-08-08,10.25
2013-08-12,10.15
2013-08-13,10.2
2013-08-14,10.95
2013-08-16,10.5
2013-08-19,10.05
2013-08-20,10.5
2013-08-21,10.8
2013-08-22,10.15
2013-08-23,11.1
2013-08-26,11.15
2013-08-27,10.7
2013-08-28,10.2
2013-08-29,10.45
2013-08-30,10.25
2013-09-02,10.3
2013-09-03,10.05
2013-09-04,10.05
2013-09-05,10.25
2013-09-06,10.65
2013-09-10,11.0
2013-09-11,11.15
2013-09-12,11.0
2013-09-13,11.55
2013-09-16,11.6
2013-09-17,11.6
2013-09-18,11.5
2013-09-19,11.65
2013-09-20,11.35
2013-09-23,10.95
2013-09-24,10.85
2013-09-25,11.0
2013-09-26,11.05
2013-09-27,10.85
2013-09-30,10.7
2013-10-01,10.65
2013-10-03,10.8
2013-10-04,11.2
2013-10-07,11.2
2013-10-08,11.45
2013-10-09,11.6
2013-10-10,12.0
2013-10-11,11.95
2013-10-14,12.15
2013-10-15,11.95
2013-10-17,12.15
2013-10-18,12.5
2013-10-21,13.3
2013-10-22,15.7
2013-10-23,16.35
2013-10-24,15.5
2013-10-25,14.15
2013-10-28,13.65
2013-10-29,10.95
2013-10-30,10.7
2013-10-31,10.5
2013-11-01,11.55
2013-11-03,12.7
2013-11-05,13.4
2013-11-06,14.5
2013-11-07,14.5
2013-11-08,14.7
2013-11-11,14.4
2013-11-12,14.2
2013-11-13,13.85
2013-11-14,13.35
2013-11-18,13.4
2013-11-19,13.3
2013-11-20,12.8
2013-11-21,12.2
2013-11-22,11.6
2013-11-25,11.05
2013-11-26,10.6
2013-11-27,10.55
2013-11-28,10.5
2013-11-29,10.55
2013-12-02,10.45
2013-12-03,10.5
2013-12-04,10.4
2013-12-05,10.35
2013-12-06,10.25
2013-12-09,10.2
2013-12-10,10.6
2013-12-11,10.3
2013-12-12,10.15
2013-12-13,10.2
2013-12-16,10.15
2013-12-17,10.15
2013-12-18,10.65
2013-12-19,10.3
2013-12-20,10.2
2013-12-23,10.0
2013-12-24,10.0
2013-12-26,9.9
2013-12-27,9.85
2013-12-30,9.95
2013-12-31,10.0
2014-01-01,10.25
2014-01-02,10.5
2014-01-03,10.25
2014-01-06,10.0
2014-01-07,10.0
2014-01-08,10.0
2014-01-09,10.0
2014-01-10,9.95
2014-01-13,9.9
2014-01-14,9.85
2014-01-15,9.9
2014-01-16,10.0
2014-01-17,9.85
2014-01-20,10.0
2014-01-21,9.9
2014-01-22,9.8
2014-01-23,9.95
2014-01-24,9.6
2014-01-27,9.25
2014-01-28,9.2
2014-01-29,9.3
2014-01-30,9.2
2014-01-31,9.35
2014-02-03,9.35
2014-02-04,8.95
2014-02-05,9.15
2014-02-06,9.2
2014-02-07,9.0
2014-02-10,9.05
2014-02-11,9.45
2014-02-12,9.0
2014-02-13,8.95
2014-02-14,8.9
2014-02-17,8.55
2014-02-18,8.55
2014-02-19,8.2
2014-02-20,8.05
2014-02-21,8.1
2014-02-24,8.15
2014-02-25,7.85
2014-02-26,7.75
2014-02-28,7.4
2014-03-03,7.1
2014-03-04,7.35
2014-03-05,7.45
2014-03-06,7.65
2014-03-07,7.4
2014-03-10,7.55
2014-03-11,7.55
2014-03-12,7.5
2014-03-13,7.4
2014-03-14,7.75
2014-03-18,7.5
2014-03-19,7.45
2014-03-20,7.5
2014-03-21,7.4
2014-03-22,7.45
2014-03-24,7.35
2014-03-25,7.4
2014-03-26,7.35
2014-03-27,7.35
2014-03-28,7.5
2014-03-31,9.0
2014-04-01,10.2
2014-04-02,10.05
2014-04-03,9.2
2014-04-04,9.95
2014-04-07,9.95
2014-04-09,10.15
2014-04-10,10.2
2014-04-11,9.85
2014-06-13,13.15
2014-06-16,13.6
2014-06-17,13.8
2014-06-18,13.15
2014-06-19,12.5
2014-06-20,11.9
2014-06-23,11.35
2014-06-24,11.75
2014-06-25,11.2
2014-06-26,10.7
2014-06-27,11.0
2014-06-30,11.0
2014-07-01,11.0
2014-07-02,11.55
2014-07-03,12.1
2014-07-04,12.7
2014-07-07,13.95
2014-07-08,12.6
2014-07-09,11.7
2014-07-10,12.3
2014-07-11,12.6
2014-07-14,12.5
2014-07-15,13.65
2014-07-16,13.55
2014-07-17,13.15
2014-07-18,12.75
2014-07-21,13.2
2014-07-22,12.8
2014-07-23,12.7
2014-07-24,12.6
2014-07-25,12.0
2014-07-28,11.65
2014-07-30,12.45
2014-07-31,12.65
2014-08-01,11.95
2014-08-04,12.05
2014-08-05,12.45
2014-08-06,12.0
2014-08-07,11.75
2014-08-08,11.4
2014-08-11,11.65
2014-08-12,11.65
2014-08-13,10.25
2014-08-14,9.95
2014-08-18,10.2
2014-08-19,11.55
2014-08-20,11.0
2014-08-21,11.15
2014-08-22,10.8
2014-08-25,10.75
2014-08-26,10.35
2014-08-27,11.3
2014-08-28,11.3
2014-09-01,11.3
2014-09-02,11.35
2014-09-03,10.9
2014-09-04,10.55
2014-09-05,10.25
2014-09-08,11.0
2014-09-09,10.95
2014-09-10,11.2
2014-09-11,12.95
2014-09-12,12.6
2014-09-15,12.35
2014-09-16,11.3
2014-09-17,11.5
2014-09-18,11.5
2014-09-19,11.4
2014-09-22,11.2
2014-09-23,10.85
2014-09-24,10.8
2014-09-25,10.25
2014-09-26,10.3
2014-09-29,10.65
2014-09-30,10.4
2014-10-01,10.15
2014-10-07,10.1
2014-10-08,9.5
2014-10-09,10.05
2014-10-10,9.9
2014-10-13,10.2
2014-10-14,9.9
2014-10-16,9.6
2014-10-17,9.7
2014-10-20,9.8
2014-10-21,9.6
2014-10-22,9.75
2014-10-23,9.9
2014-10-27,9.75
2014-10-28,9.75
2014-10-29,9.7
2014-10-30,9.55
2014-10-31,10.2
2014-11-03,10.2
2014-11-05,10.35
2014-11-07,9.95
2014-11-10,10.2
2014-11-11,10.0
2014-11-12,10.05
2014-11-13,9.9
2014-11-14,9.8
2014-11-17,9.5
2014-11-18,9.0
2014-11-19,8.65
2014-11-20,8.65
2014-11-21,7.95
2014-11-24,8.75
2014-11-25,8.15
2014-11-26,8.2
2014-11-27,8.15
2014-11-28,8.0
2014-12-01,7.75
2014-12-02,7.6
2014-12-03,8.0
2014-12-04,7.95
2014-12-05,7.9
2014-12-08,7.75
2014-12-09,7.6
2014-12-10,7.5
2014-12-11,7.55
2014-12-12,7.35
2014-12-15,7.2
2014-12-16,6.9
2014-12-17,7.15
2014-12-18,7.4
2014-12-19,7.75
2014-12-22,7.35
2014-12-23,7.6
2014-12-24,7.4
2014-12-26,7.45
2014-12-29,7.45
2014-12-30,8.9
2014-12-31,8.35
2015-01-01,8.45
2015-01-02,8.65
2015-01-05,8.35
2015-01-06,8.05
2015-01-07,8.0
2015-01-08,8.2
2015-01-09,8.15
2015-01-12,8.4
2015-01-13,8.2
2015-01-14,8.3
2015-01-15,8.35
2015-01-16,8.1
2015-01-19,8.15
2015-01-20,8.1
2015-01-21,8.0
2015-01-22,7.9
2015-01-23,7.9
2015-01-27,7.7
2015-01-28,7.55
