Date,VETO
2016-01-01,101.7
2016-01-04,101.85
2016-01-05,105.25
2016-01-06,104.8
2016-01-07,103.3
2016-01-08,117.6
2016-01-11,118.3
2016-01-12,118.35
2016-01-13,113.65
2016-01-14,111.2
2016-01-15,107.05
2016-01-18,107.85
2016-01-19,112.6
2016-01-20,107.35
2016-01-21,107.8
2016-01-22,112.7
2016-01-25,114.6
2016-01-27,114.25
2016-01-28,113.7
2016-01-29,113.6
2016-02-01,114.4
2016-02-02,112.45
2016-02-03,107.85
2016-02-04,106.95
2016-02-05,109.45
2016-02-08,107.95
2016-02-09,107.45
2016-02-10,105.9
2016-02-11,99.8
2016-02-12,99.0
2016-02-15,101.05
2016-02-16,96.95
2016-02-17,101.35
2016-02-18,100.65
2016-02-19,100.35
2016-02-22,101.4
2016-02-23,99.15
2016-02-24,98.5
2016-02-25,98.3
2016-02-26,97.05
2016-02-29,95.8
2016-03-01,98.4
2016-03-02,97.45
2016-03-03,98.45
2016-03-04,99.6
2016-03-08,99.4
2016-03-09,99.55
2016-03-10,99.9
2016-03-11,99.3
2016-03-14,98.8
2016-03-15,98.4
2016-03-16,96.95
2016-03-17,95.85
2016-03-18,95.55
2016-03-21,96.85
2016-03-22,96.4
2016-03-23,95.65
2016-03-28,92.2
2016-03-29,89.9
2016-03-30,92.1
2016-03-31,92.0
2016-04-01,86.55
2016-04-04,85.85
2016-04-05,89.65
2016-04-06,90.85
2016-04-07,90.4
2016-04-08,91.05
2016-04-11,93.25
2016-04-12,98.55
2016-04-13,97.25
2016-04-18,97.1
2016-04-20,96.6
2016-04-21,97.4
2016-04-22,96.25
2016-04-25,95.05
2016-04-26,96.35
2016-04-27,96.15
2016-04-28,95.45
2016-04-29,96.25
2016-05-02,94.6
2016-05-03,94.55
2016-05-04,93.1
2016-05-05,92.25
2016-05-06,92.6
2016-05-09,101.0
2016-05-10,105.05
2016-05-11,105.55
2016-05-12,106.65
2016-05-13,109.15
2016-05-16,114.9
2016-05-17,113.65
2016-05-18,117.7
2016-05-19,113.3
2016-05-20,115.55
2016-05-23,112.85
2016-05-24,115.65
2016-05-25,116.75
2016-05-26,117.3
2016-05-27,114.65
2016-05-30,111.8
2016-05-31,113.0
2016-06-01,110.05
2016-06-02,111.8
2016-06-03,123.35
2016-06-06,121.65
2016-06-07,121.8
2016-06-08,123.45
2016-06-09,122.05
2016-06-10,121.75
2016-06-13,121.45
2016-06-14,129.3
2016-06-15,131.9
2016-06-16,135.2
2016-06-17,138.75
2016-06-20,137.8
2016-06-21,135.55
2016-06-22,131.45
2016-06-23,133.35
2016-06-24,127.2
2016-06-27,133.4
2016-06-28,134.75
2016-06-29,134.7
2016-06-30,137.7
2016-07-01,137.7
2016-07-04,142.65
2016-07-05,139.55
2016-07-07,137.3
2016-07-08,134.9
2016-07-11,133.2
2016-07-12,135.05
2016-07-13,131.6
2016-07-14,134.65
2016-07-15,137.3
2016-07-18,133.95
2016-07-19,133.7
2016-07-20,132.4
2016-07-21,133.6
2016-07-22,133.85
2016-07-25,140.95
2016-07-26,138.7
2016-07-27,137.85
2016-07-28,137.3
2016-07-29,137.8
2016-08-01,140.8
2016-08-02,129.15
2016-08-03,131.8
2016-08-04,132.0
2016-08-05,137.05
2016-08-08,136.15
2016-08-09,134.4
2016-08-10,129.8
2016-08-11,128.35
2016-08-12,128.65
2016-08-16,128.95
2016-08-17,128.8
2016-08-18,130.15
2016-08-19,129.85
2016-08-22,128.25
2016-08-23,127.55
2016-08-24,127.65
2016-08-25,126.4
2016-08-26,124.05
2016-08-29,119.85
2016-08-30,122.6
2016-08-31,121.55
2016-09-01,118.55
2016-09-02,118.55
2016-09-06,119.85
2016-09-07,115.25
2016-09-08,119.0
2016-09-09,116.75
2016-09-12,120.3
2016-09-14,125.85
2016-09-15,131.15
2016-09-16,133.05
2016-09-19,133.05
2016-09-20,130.8
2016-09-21,131.05
2016-09-22,135.5
2016-09-23,136.15
2016-09-26,135.5
2016-09-27,138.95
2016-09-28,141.7
2016-09-29,129.55
2016-09-30,131.45
2016-10-03,143.6
2016-10-04,140.8
2016-10-05,139.1
2016-10-06,134.0
2016-10-07,136.3
2016-10-10,149.65
2016-10-13,155.8
2016-10-14,157.6
2016-10-17,155.25
2016-10-18,154.65
2016-10-19,156.0
2016-10-20,154.85
2016-10-21,156.45
2016-10-24,162.65
2016-10-25,165.3
2016-10-26,159.3
2016-10-27,156.45
2016-10-28,160.1
2016-10-30,161.35
2016-11-01,170.3
2016-11-02,169.5
2016-11-03,169.7
2016-11-04,164.7
2016-11-07,165.95
2016-11-08,166.4
2016-11-09,155.7
2016-11-10,158.3
2016-11-11,145.75
2016-11-15,134.15
2016-11-16,128.65
2016-11-17,133.0
2016-11-18,131.8
2016-11-21,132.95
2016-11-22,138.35
2016-11-23,139.05
2016-11-24,141.4
2016-11-25,142.6
2016-11-28,134.55
2016-11-29,137.1
2016-11-30,138.7
2016-12-01,135.0
2016-12-02,131.25
2016-12-05,133.3
2016-12-06,133.05
2016-12-07,131.0
2016-12-08,133.8
2016-12-09,134.05
2016-12-12,131.45
2016-12-13,130.8
2016-12-14,127.15
2016-12-15,128.25
2016-12-16,133.7
2016-12-19,131.55
2016-12-20,129.3
2016-12-21,126.95
2016-12-22,127.45
2016-12-23,126.8
2016-12-26,127.0
2016-12-27,128.0
2016-12-28,126.7
2016-12-29,129.8
2016-12-30,133.45
2017-01-02,139.65
2017-01-03,138.15
2017-01-04,134.45
2017-01-05,134.85
2017-01-06,133.35
2017-01-09,137.1
2017-01-10,137.75
2017-01-11,136.75
2017-01-12,138.25
2017-01-13,135.95
2017-01-16,137.0
2017-01-17,135.8
2017-01-18,136.65
2017-01-19,140.9
2017-01-20,142.35
2017-01-23,144.7
2017-01-24,144.6
2017-01-25,146.7
2017-01-27,146.15
2017-01-30,143.1
2017-01-31,145.45
2017-02-01,145.95
2017-02-02,143.15
2017-02-03,143.5
2017-02-06,144.2
2017-02-07,141.9
2017-02-08,139.95
2017-02-09,138.55
2017-02-10,140.3
2017-02-13,134.75
2017-02-14,131.9
2017-02-15,129.45
2017-02-16,131.8
2017-02-17,134.75
2017-02-20,138.1
2017-02-21,144.05
2017-02-22,143.6
2017-02-23,138.65
2017-02-27,142.5
2017-02-28,141.4
2017-03-01,141.65
2017-03-02,139.05
2017-03-03,138.85
2017-03-06,137.6
2017-03-07,135.35
2017-03-08,137.45
2017-03-09,136.85
2017-03-10,135.05
2017-03-14,135.35
2017-03-15,135.9
2017-03-16,137.0
2017-03-17,141.55
2017-03-20,151.3
2017-03-21,147.6
2017-03-22,147.85
2017-03-23,149.75
2017-03-24,150.85
2017-03-27,150.65
2017-03-28,148.25
2017-03-29,150.4
2017-03-30,150.35
2017-03-31,150.6
2017-04-03,153.7
2017-04-05,158.75
2017-04-06,166.8
2017-04-07,163.15
2017-04-10,159.25
2017-04-11,163.1
2017-04-12,158.3
2017-04-13,160.05
2017-04-17,162.25
2017-04-18,157.65
2017-04-19,157.9
2017-04-20,168.5
2017-04-21,170.65
2017-04-24,173.3
2017-04-25,179.15
2017-04-26,173.0
2017-04-27,173.1
2017-04-28,172.25
2017-05-02,173.4
2017-05-03,176.2
2017-05-04,172.9
2017-05-05,172.2
2017-05-08,170.2
2017-05-09,170.8
2017-05-10,168.05
2017-05-11,163.55
2017-05-12,157.75
2017-05-15,169.65
2017-05-16,166.85
2017-05-17,169.2
2017-05-18,165.35
2017-05-19,164.1
2017-05-22,161.15
2017-05-23,157.9
2017-05-24,155.15
2017-05-25,156.2
2017-05-26,164.35
2017-05-29,168.55
2017-05-30,168.15
2017-05-31,167.8
2017-06-01,167.15
2017-06-02,167.05
2017-06-05,166.45
2017-06-06,170.5
2017-06-07,170.9
2017-06-08,171.25
2017-06-09,171.6
2017-06-12,169.5
2017-06-13,172.0
2017-06-14,173.0
2017-06-15,172.15
2017-06-16,170.85
2017-06-19,169.2
2017-06-20,166.75
2017-06-21,185.05
2017-06-22,192.65
2017-06-23,187.85
2017-06-27,181.5
2017-06-28,180.0
2017-06-29,179.65
2017-06-30,178.3
2017-07-03,187.95
2017-07-04,186.5
2017-07-05,186.45
2017-07-06,184.85
2017-07-07,185.05
2017-07-10,186.45
2017-07-11,185.9
2017-07-12,199.05
2017-07-13,215.85
2017-07-14,220.95
2017-07-17,226.35
2017-07-18,225.85
2017-07-19,232.3
2017-07-20,226.55
2017-07-21,225.85
2017-07-24,227.8
2017-07-25,223.3
2017-07-26,222.7
2017-07-27,217.85
2017-07-28,220.55
2017-07-31,224.25
2017-08-01,219.75
2017-08-02,213.6
2017-08-03,215.75
2017-08-04,223.1
2017-08-07,231.35
2017-08-08,220.65
2017-08-09,213.9
2017-08-10,200.3
2017-08-11,198.9
2017-08-14,204.55
2017-08-16,206.0
2017-08-17,207.0
2017-08-18,205.65
2017-08-21,203.3
2017-08-22,201.8
2017-08-23,205.55
2017-08-24,203.75
2017-08-28,214.9
2017-08-29,216.75
2017-08-30,215.1
2017-08-31,212.25
2017-09-01,220.65
2017-09-04,212.75
2017-09-05,212.45
2017-09-06,216.3
2017-09-07,213.75
2017-09-08,210.1
2017-09-11,211.3
2017-09-12,216.55
2017-09-13,215.35
2017-09-14,217.75
2017-09-15,212.75
2017-09-18,214.25
2017-09-19,212.95
2017-09-20,219.7
2017-09-21,217.3
2017-09-22,212.55
2017-09-25,204.0
2017-09-26,205.3
2017-09-27,200.4
2017-09-28,201.2
2017-09-29,200.9
2017-10-03,199.35
2017-10-04,201.4
2017-10-05,202.7
2017-10-06,212.2
2017-10-09,211.05
2017-10-10,214.35
2017-10-11,209.45
2017-10-12,211.7
2017-10-13,213.75
2017-10-16,211.1
2017-10-17,211.0
2017-10-18,209.8
2017-10-19,211.15
2017-10-23,209.2
2017-10-24,210.4
2017-10-25,206.3
2017-10-26,204.7
2017-10-27,203.35
2017-10-30,202.85
2017-10-31,206.55
2017-11-01,211.1
2017-11-02,207.2
2017-11-03,208.7
2017-11-06,205.75
2017-11-07,205.5
2017-11-08,203.75
2017-11-09,215.9
2017-11-10,219.45
2017-11-13,222.45
2017-11-14,220.1
2017-11-15,220.65
2017-11-16,219.7
2017-11-17,216.3
2017-11-20,214.5
2017-11-21,219.25
2017-11-22,217.3
2017-11-23,213.75
2017-11-24,213.65
2017-11-27,213.95
2017-11-28,213.8
2017-11-29,214.5
2017-11-30,220.4
2017-12-01,215.4
2017-12-04,215.85
2017-12-05,214.35
2017-12-06,211.3
2017-12-07,215.55
2017-12-08,219.7
2017-12-11,223.75
2017-12-12,233.6
2017-12-13,220.35
2017-12-14,219.9
2017-12-15,227.05
2017-12-18,226.85
2017-12-19,246.35
2017-12-20,250.4
2017-12-21,252.05
2017-12-22,256.95
2017-12-26,260.1
2017-12-27,256.7
2017-12-28,254.5
2017-12-29,251.6
