Date,UMANGDAIRY
2015-12-02,72.1
2015-12-03,70.3
2015-12-04,77.3
2015-12-07,79.15
2015-12-08,78.4
2015-12-09,70.6
2015-12-10,72.45
2015-12-11,70.7
2015-12-14,69.4
2015-12-15,69.7
2015-12-16,68.7
2015-12-17,75.55
2015-12-18,74.8
2015-12-21,79.3
2015-12-22,80.0
2015-12-23,79.5
2015-12-24,78.75
2015-12-28,77.95
2015-12-29,76.85
2015-12-30,75.75
2015-12-31,74.4
2016-01-01,78.7
2016-01-04,76.65
2016-01-05,78.15
2016-01-06,77.5
2016-01-07,73.6
2016-01-08,73.9
2016-01-11,72.25
2016-01-12,71.35
2016-01-13,69.05
2016-01-14,67.75
2016-01-15,64.4
2016-01-18,60.4
2016-01-19,65.2
2016-01-20,59.25
2016-01-21,61.4
2016-01-22,64.5
2016-01-25,66.65
2016-01-27,68.0
2016-01-28,73.1
2016-01-29,72.0
2016-02-01,67.8
2016-02-02,65.95
2016-02-03,62.85
2016-02-04,61.15
2016-02-05,62.15
2016-02-08,61.2
2016-02-09,61.35
2016-02-10,61.1
2016-02-11,59.1
2016-02-12,59.05
2016-02-15,61.7
2016-02-16,57.55
2016-02-17,57.65
2016-02-18,58.45
2016-02-19,57.65
2016-02-22,58.3
2016-02-23,59.4
2016-02-24,57.2
2016-02-25,57.55
2016-02-26,57.75
2016-02-29,55.35
2016-03-01,58.85
2016-03-02,60.7
2016-03-03,60.6
2016-03-04,61.7
2016-03-08,61.2
2016-03-09,61.9
2016-03-10,61.95
2016-03-11,60.7
2016-03-14,65.15
2016-03-15,64.95
2016-03-16,64.45
2016-03-17,63.2
2016-03-18,63.4
2016-03-21,64.75
2016-03-22,62.95
2016-03-23,64.75
2016-03-28,62.1
2016-03-29,61.7
2016-03-30,63.85
2016-03-31,64.25
2016-04-01,64.0
2016-04-04,65.45
2016-04-05,65.65
2016-04-06,66.3
2016-04-07,69.45
2016-04-08,69.2
2016-04-11,69.4
2016-04-12,68.15
2016-04-13,66.45
2016-04-18,65.55
2016-04-20,70.7
2016-04-21,74.25
2016-04-22,73.25
2016-04-25,70.1
2016-04-26,72.8
2016-04-27,71.45
2016-04-28,70.45
2016-04-29,69.75
2016-05-02,69.2
2016-05-03,67.6
2016-05-04,66.65
2016-05-05,66.9
2016-05-06,67.3
2016-05-09,66.8
2016-05-10,66.55
2016-05-11,68.15
2016-05-12,67.1
2016-05-13,65.5
2016-05-16,64.85
2016-05-17,63.6
2016-05-18,62.85
2016-05-19,63.5
2016-05-20,62.25
2016-05-23,63.0
2016-05-24,61.35
2016-05-25,62.2
2016-05-26,62.3
2016-05-27,62.7
2016-05-30,66.4
2016-05-31,67.2
2016-06-01,66.95
2016-06-02,66.1
2016-06-03,68.65
2016-06-06,69.95
2016-06-07,66.85
2016-06-08,66.3
2016-06-09,66.4
2016-06-10,65.95
2016-06-13,67.2
2016-06-14,67.7
2016-06-15,67.9
2016-06-16,68.9
2016-06-17,67.0
2016-06-20,67.5
2016-06-21,67.15
2016-06-22,66.4
2016-06-23,66.15
2016-06-24,65.55
2016-06-27,67.05
2016-06-28,67.05
2016-06-29,72.5
2016-06-30,73.2
2016-07-01,72.45
2016-07-04,72.75
2016-07-05,72.0
2016-07-07,71.65
2016-07-08,71.05
2016-07-11,72.6
2016-07-12,71.15
2016-07-13,72.8
2016-07-14,71.2
2016-07-15,69.9
2016-07-18,69.2
2016-07-19,68.95
2016-07-20,69.3
2016-07-21,70.05
2016-07-22,69.5
2016-07-25,70.3
2016-07-26,68.9
2016-07-27,69.0
2016-07-28,67.75
2016-07-29,66.85
2016-08-01,70.6
2016-08-02,70.3
2016-08-03,65.4
2016-08-04,65.25
2016-08-05,65.35
2016-08-08,64.25
2016-08-09,63.65
2016-08-10,62.2
2016-08-11,64.75
2016-08-12,62.95
2016-08-16,62.45
2016-08-17,61.05
2016-08-18,62.0
2016-08-19,63.1
2016-08-22,61.95
2016-08-23,62.75
2016-08-24,62.5
2016-08-25,67.7
2016-08-26,69.4
2016-08-29,69.05
2016-08-30,68.35
2016-08-31,66.85
2016-09-01,68.3
2016-09-02,68.05
2016-09-06,68.95
2016-09-07,69.3
2016-09-08,67.85
2016-09-09,66.4
2016-09-12,65.1
2016-09-14,66.7
2016-09-15,66.25
2016-09-16,66.05
2016-09-19,65.3
2016-09-20,65.75
2016-09-21,78.9
2016-09-22,78.2
2016-09-23,74.75
2016-09-26,74.35
2016-09-27,74.95
2016-09-28,75.1
2016-09-29,72.9
2016-09-30,78.35
2016-10-03,79.85
2016-10-04,80.35
2016-10-05,79.7
2016-10-06,78.35
2016-10-07,80.3
2016-10-10,77.85
2016-10-13,75.75
2016-10-14,75.95
2016-10-17,75.1
2016-10-18,78.65
2016-10-19,77.0
2016-10-20,77.05
2016-10-21,76.6
2016-10-24,82.5
2016-10-25,81.2
2016-10-26,86.05
2016-10-27,95.1
2016-10-28,93.95
2016-10-30,98.7
2016-11-01,96.7
2016-11-02,91.75
2016-11-03,89.9
2016-11-04,85.3
2016-11-07,76.85
2016-11-08,81.1
2016-11-09,76.85
2016-11-10,80.75
2016-11-11,76.45
2016-11-15,72.8
2016-11-16,73.6
2016-11-17,71.7
2016-11-18,72.3
2016-11-21,69.35
2016-11-22,68.65
2016-11-23,70.55
2016-11-24,72.6
2016-11-25,74.25
2016-11-28,75.95
2016-11-29,75.75
2016-11-30,76.2
2016-12-01,76.0
2016-12-02,73.25
2016-12-05,73.55
2016-12-06,74.35
2016-12-07,75.0
2016-12-08,75.5
2016-12-09,76.6
2016-12-12,74.45
2016-12-13,73.85
2016-12-14,72.3
2016-12-15,73.3
2016-12-16,72.05
2016-12-19,70.4
2016-12-20,69.5
2016-12-21,70.35
2016-12-22,69.35
2016-12-23,68.55
2016-12-26,75.0
2016-12-27,72.1
2016-12-28,74.2
2016-12-29,73.35
2016-12-30,72.4
2017-01-02,72.9
2017-01-03,73.65
2017-01-04,75.9
2017-01-05,77.1
2017-01-06,77.7
2017-01-09,82.25
2017-01-10,80.8
2017-01-11,80.15
2017-01-12,78.65
2017-01-13,79.75
2017-01-16,79.7
2017-01-17,78.8
2017-01-18,78.7
2017-01-19,79.55
2017-01-20,76.7
2017-01-23,75.9
2017-01-24,76.1
2017-01-25,75.6
2017-01-27,75.4
2017-01-30,73.45
2017-01-31,74.5
2017-02-01,75.6
2017-02-02,76.65
2017-02-03,75.1
2017-02-06,74.4
2017-02-07,76.85
2017-02-08,77.35
2017-02-09,76.9
2017-02-10,77.25
2017-02-13,74.65
