Date,SGL
2016-06-15,4.95
2016-06-16,5.15
2016-06-17,5.1
2016-06-20,4.95
2016-06-21,5.3
2016-06-22,5.35
2016-06-23,5.65
2016-06-24,5.8
2016-06-27,5.85
2016-06-28,5.4
2016-06-29,5.85
2016-06-30,6.15
2016-07-01,6.35
2016-07-04,7.6
2016-07-05,9.0
2016-07-07,8.3
2016-07-08,8.7
2016-07-11,8.75
2016-07-12,8.6
2016-07-13,8.5
2016-07-14,8.65
2016-07-15,8.75
2016-07-18,9.1
2016-07-19,9.3
2016-07-20,9.85
2016-07-21,10.0
2016-07-22,9.75
2016-07-25,10.25
2016-07-26,10.05
2016-07-27,10.35
2016-07-28,9.6
2016-07-29,9.4
2016-08-01,8.85
2016-08-02,8.65
2016-08-03,8.65
2016-08-04,8.85
2016-08-05,8.9
2016-08-08,8.5
2016-08-09,8.4
2016-08-10,8.2
2016-08-11,8.1
2016-08-12,9.0
2016-08-16,8.4
2016-08-17,8.0
2016-08-18,8.8
2016-08-19,9.35
2016-08-22,8.95
2016-08-23,8.95
2016-08-24,9.6
2016-08-25,10.05
2016-08-26,10.5
2016-08-29,10.75
2016-08-30,10.55
2016-08-31,12.2
2016-09-01,11.7
2016-09-02,12.5
2016-09-06,12.35
2016-09-07,12.65
2016-09-08,13.7
2016-09-09,14.4
2016-09-12,14.5
2016-09-14,15.15
2016-09-15,16.65
2016-09-16,18.0
2016-09-19,17.45
2016-09-20,16.6
2016-09-21,15.8
2016-09-22,15.05
2016-09-23,15.25
2016-09-26,15.1
2016-09-27,14.8
2016-09-28,15.45
2016-09-29,15.6
2016-09-30,16.35
2016-10-03,17.15
2016-10-04,17.8
2016-10-05,18.65
2016-10-06,18.9
2016-10-07,19.05
2016-10-10,18.1
2016-10-13,17.2
2016-10-14,18.0
2016-10-17,17.7
2016-10-18,18.05
2016-10-19,18.45
2016-10-20,18.8
2016-10-21,18.15
2016-10-24,17.8
2016-10-25,18.35
2016-10-26,18.7
2016-10-27,18.2
2016-10-28,18.1
2016-10-30,17.75
2016-11-01,16.95
2016-11-02,16.8
2016-11-03,16.85
2016-11-04,16.2
2016-11-07,17.3
2016-11-08,18.05
2016-11-09,18.2
2016-11-10,18.8
2016-11-11,18.3
2016-11-15,17.7
2016-11-16,17.35
2016-11-17,17.1
2016-11-18,17.1
2016-11-21,16.7
2016-11-22,17.55
2016-11-23,16.45
2016-11-24,16.4
2016-11-25,16.4
2016-11-28,16.0
2016-11-29,16.25
2016-11-30,16.35
2016-12-01,16.25
2016-12-02,16.4
2016-12-05,16.25
2016-12-06,18.25
2016-12-07,18.15
2016-12-08,17.9
2016-12-09,18.0
2016-12-12,18.1
2016-12-13,17.8
2016-12-14,17.2
2016-12-15,17.35
2016-12-16,17.05
2016-12-19,16.75
2016-12-20,15.95
2016-12-21,16.0
2016-12-22,16.15
2016-12-23,16.1
2016-12-26,15.95
2016-12-27,15.9
2016-12-28,15.35
2016-12-29,15.6
2016-12-30,15.5
2017-01-02,16.25
2017-01-03,15.55
2017-01-04,15.35
2017-01-05,16.0
2017-01-06,14.95
2017-01-09,14.7
2017-01-10,15.2
2017-01-11,14.95
2017-01-12,14.8
2017-01-13,14.95
2017-01-16,14.9
2017-01-17,14.9
2017-01-18,15.5
2017-01-19,16.85
2017-01-20,17.45
2017-01-23,16.9
2017-01-24,17.0
2017-01-25,16.35
2017-01-27,15.9
2017-01-30,15.05
2017-01-31,15.3
2017-02-01,15.15
2017-02-02,15.15
2017-02-03,15.55
2017-02-06,15.0
2017-02-07,14.55
2017-02-08,14.15
2017-02-09,14.65
2017-02-10,14.1
2017-02-13,14.25
2017-02-14,14.1
2017-02-15,14.15
2017-02-16,15.35
2017-02-17,14.95
2017-02-20,14.1
2017-02-21,13.05
2017-02-22,12.9
2017-02-23,12.55
2017-02-27,12.0
2017-02-28,12.65
2017-03-01,12.55
2017-03-02,12.6
2017-03-03,13.6
2017-03-06,14.05
2017-03-07,14.05
2017-03-08,13.8
2017-03-09,13.9
2017-03-10,13.9
2017-03-14,13.6
2017-03-15,13.5
2017-03-16,13.05
2017-03-17,13.1
2017-03-20,13.1
2017-03-21,13.1
2017-03-22,13.0
2017-03-23,13.2
2017-03-24,12.1
2017-03-27,12.0
2017-03-28,12.05
2017-03-29,11.95
2017-03-30,12.15
2017-03-31,12.8
2017-04-03,12.9
2017-04-05,13.45
2017-04-06,13.05
2017-04-07,13.4
2017-04-10,13.45
2017-04-11,13.25
2017-04-12,13.05
2017-04-13,12.95
2017-04-17,12.6
2017-04-18,12.3
2017-04-19,12.55
2017-04-20,12.35
2017-04-21,11.95
2017-04-24,11.95
2017-04-25,12.1
2017-04-26,11.75
2017-04-27,11.9
2017-04-28,12.9
2017-05-02,12.9
2017-05-03,12.6
2017-05-04,12.35
2017-05-05,13.0
2017-05-08,15.05
2017-05-09,15.9
2017-05-10,15.4
2017-05-11,15.25
2017-05-12,14.4
2017-05-15,14.25
2017-05-16,14.75
2017-05-17,14.15
2017-05-18,13.95
2017-05-19,14.55
2017-05-22,14.85
2017-05-23,14.0
2017-05-24,13.95
2017-05-25,14.0
2017-05-26,14.2
2017-05-29,15.3
2017-05-30,14.95
2017-05-31,14.8
2017-06-01,13.85
2017-06-02,13.7
2017-06-05,14.3
2017-06-06,14.4
2017-06-07,14.15
2017-06-08,13.75
2017-06-09,14.5
2017-06-12,14.45
2017-06-13,14.65
2017-06-14,14.9
2017-06-15,15.85
2017-06-16,15.9
2017-06-19,16.2
2017-06-20,15.1
2017-06-21,14.95
2017-06-22,14.85
2017-06-23,14.35
2017-06-27,13.85
2017-06-28,14.6
2017-06-29,14.8
2017-06-30,14.45
2017-07-03,14.9
2017-07-04,14.55
2017-07-05,15.5
2017-07-06,15.7
2017-07-07,15.35
2017-07-10,15.3
2017-07-11,16.55
2017-07-12,17.3
2017-07-13,17.05
2017-07-14,17.25
2017-07-17,17.1
2017-07-18,16.9
2017-07-19,18.0
2017-07-20,18.75
2017-07-21,18.9
2017-07-24,19.0
2017-07-25,18.9
2017-07-26,17.9
2017-07-27,17.75
2017-07-28,17.65
2017-07-31,17.75
2017-08-01,17.3
2017-08-02,16.95
2017-08-03,16.3
2017-08-04,17.05
2017-08-07,17.65
2017-08-08,16.7
2017-08-09,16.35
2017-08-10,15.25
2017-08-11,14.1
2017-08-14,13.75
2017-08-16,14.5
2017-08-17,14.05
2017-08-18,14.0
2017-08-21,13.6
2017-08-22,14.85
2017-08-23,15.25
2017-08-24,15.35
2017-08-28,15.05
2017-08-29,14.85
2017-08-30,14.25
2017-08-31,15.55
2017-09-01,16.35
2017-09-04,16.6
2017-09-05,16.6
2017-09-06,16.6
2017-09-07,16.45
2017-09-08,16.1
2017-09-11,17.15
2017-09-12,17.35
2017-09-13,17.85
2017-09-14,17.1
2017-09-15,16.7
2017-09-18,16.7
2017-09-19,16.3
2017-09-20,15.85
2017-09-21,15.05
2017-09-22,14.9
2017-09-25,14.7
2017-09-26,15.0
2017-09-27,14.95
2017-09-28,14.6
2017-09-29,14.4
2017-10-03,14.8
2017-10-04,14.65
2017-10-05,14.9
2017-10-06,15.15
2017-10-09,15.0
2017-10-10,15.0
2017-10-11,14.95
2017-10-12,15.05
2017-10-13,15.2
2017-10-16,14.75
2017-10-17,14.65
2017-10-18,14.85
2017-10-19,14.9
2017-10-23,15.7
2017-10-24,17.1
2017-10-25,16.55
2017-10-26,16.65
2017-10-27,16.15
2017-10-30,15.3
2017-10-31,15.75
2017-11-01,15.7
2017-11-02,15.65
2017-11-03,15.5
2017-11-06,16.05
2017-11-07,15.55
2017-11-08,15.3
2017-11-09,15.1
2017-11-10,15.05
2017-11-13,14.9
2017-11-14,15.15
2017-11-15,14.85
2017-11-16,14.45
2017-11-17,14.7
2017-11-20,14.55
2017-11-21,14.7
2017-11-22,14.55
2017-11-23,14.0
2017-11-24,14.45
2017-11-27,14.5
2017-11-28,15.3
2017-11-29,15.75
2017-11-30,15.7
2017-12-01,15.55
2017-12-04,15.05
2017-12-05,15.35
2017-12-06,14.95
2017-12-07,14.75
2017-12-08,14.85
2017-12-11,14.8
2017-12-12,15.85
2017-12-13,16.25
2017-12-14,16.0
2017-12-15,15.65
2017-12-18,16.1
2017-12-19,15.75
2017-12-20,15.7
2017-12-21,15.7
2017-12-22,15.5
2017-12-26,16.8
2017-12-27,18.2
2017-12-28,21.75
2017-12-29,20.95
