Date,KITEX
2013-01-01,65.2
2013-01-02,66.95
2013-01-03,67.0
2013-01-04,67.35
2013-01-07,66.0
2013-01-08,67.05
2013-01-09,66.35
2013-01-10,67.1
2013-01-11,64.9
2013-01-14,66.95
2013-01-15,66.55
2013-01-16,65.35
2013-01-17,66.15
2013-01-18,65.55
2013-01-21,64.6
2013-01-22,65.3
2013-01-23,65.05
2013-01-24,64.4
2013-01-25,64.85
2013-01-28,63.65
2013-01-29,63.7
2013-01-30,64.0
2013-01-31,65.9
2013-02-01,64.3
2013-02-04,65.0
2013-02-05,63.75
2013-02-06,64.0
2013-02-07,63.3
2013-02-08,63.0
2013-02-11,62.95
2013-02-12,58.55
2013-02-13,58.5
2013-02-14,58.35
2013-02-15,56.65
2013-02-18,55.5
2013-02-19,58.05
2013-02-20,57.1
2013-02-21,55.2
2013-02-22,56.45
2013-02-25,54.5
2013-02-26,54.5
2013-02-27,55.1
2013-02-28,56.5
2013-03-01,55.85
2013-03-04,54.6
2013-03-05,55.7
2013-03-06,54.75
2013-03-07,54.6
2013-03-08,54.25
2013-03-11,54.0
2013-03-12,54.05
2013-03-13,52.45
2013-03-14,52.55
2013-03-15,52.3
2013-03-18,52.7
2013-03-19,52.15
2013-03-20,49.1
2013-03-21,51.45
2013-03-22,50.7
2013-03-25,49.05
2013-03-26,48.3
2013-03-28,49.3
2013-04-01,52.75
2013-04-02,55.0
2013-04-03,58.55
2013-04-04,56.5
2013-04-05,56.45
2013-04-08,55.7
2013-04-09,55.9
2013-04-10,55.95
2013-04-11,55.95
2013-04-12,54.85
2013-04-15,55.05
2013-04-16,55.7
2013-04-17,56.0
2013-04-18,58.45
2013-04-22,60.0
2013-04-23,61.8
2013-04-25,63.85
2013-04-26,63.0
2013-04-29,62.5
2013-04-30,63.3
2013-05-02,61.35
2013-05-03,61.25
2013-05-06,60.25
2013-05-07,60.55
2013-05-08,60.6
2013-05-09,60.05
2013-05-10,63.65
2013-05-11,64.65
2013-05-13,63.0
2013-05-14,64.4
2013-05-15,61.9
2013-05-16,62.25
2013-05-17,60.15
2013-05-20,60.0
2013-05-21,63.55
2013-05-22,62.5
2013-05-23,60.9
2013-05-24,60.4
2013-05-27,60.5
2013-05-28,60.85
2013-05-29,60.1
2013-05-30,61.15
2013-05-31,62.85
2013-06-03,60.2
2013-06-04,63.25
2013-06-05,62.35
2013-06-06,61.95
2013-06-07,60.65
2013-06-10,61.9
2013-06-11,59.95
2013-06-12,60.05
2013-06-13,57.9
2013-06-14,58.75
2013-06-17,59.7
2013-06-18,60.0
2013-06-19,58.7
2013-06-20,57.1
2013-06-21,56.45
2013-06-24,56.0
2013-06-25,54.6
2013-06-26,55.4
2013-06-27,54.7
2013-06-28,56.9
2013-07-01,57.3
2013-07-02,56.55
2013-07-03,53.45
2013-07-04,55.35
2013-07-05,55.05
2013-07-08,55.45
2013-07-09,54.55
2013-07-10,55.6
2013-07-11,55.0
2013-07-12,54.9
2013-07-15,54.9
2013-07-16,56.0
2013-07-17,56.15
2013-07-18,59.25
2013-07-19,58.65
2013-07-22,57.3
2013-07-23,58.8
2013-07-24,57.15
2013-07-25,59.1
2013-07-26,57.1
2013-07-29,57.2
2013-07-30,59.45
2013-07-31,58.75
2013-08-01,58.1
2013-08-02,57.05
2013-08-05,58.5
2013-08-06,58.65
2013-08-07,58.3
2013-08-08,59.3
2013-08-12,59.3
2013-08-13,58.6
2013-08-14,58.95
2013-08-16,57.4
2013-08-19,56.55
2013-08-20,56.2
2013-08-21,56.05
2013-08-22,56.85
2013-08-23,57.8
2013-08-26,57.65
2013-08-27,57.4
2013-08-28,57.95
