Date,SKFINDIA
2013-01-01,640.85
2013-01-02,632.45
2013-01-03,629.65
2013-01-04,621.85
2013-01-07,619.85
2013-01-08,622.65
2013-01-09,616.25
2013-01-10,608.8
2013-01-11,605.35
2013-01-14,608.2
2013-01-15,599.85
2013-01-16,600.0
2013-01-17,594.55
2013-01-18,596.7
2013-01-21,599.45
2013-01-22,598.4
2013-01-23,591.95
2013-01-24,593.6
2013-01-25,590.1
2013-01-28,583.5
2013-01-29,579.05
2013-01-30,574.25
2013-01-31,579.3
2013-02-01,579.85
2013-02-04,579.85
2013-02-05,574.5
2013-02-06,571.05
2013-02-07,568.15
2013-02-08,553.95
2013-02-11,548.25
2013-02-12,556.65
2013-02-13,552.4
2013-02-14,553.65
2013-02-15,554.2
2013-02-18,550.5
2013-02-19,550.5
2013-02-20,550.4
2013-02-21,549.75
2013-02-22,545.2
2013-02-25,534.75
2013-02-26,522.55
2013-02-27,513.6
2013-02-28,515.1
2013-03-01,510.3
2013-03-04,509.6
2013-03-05,537.65
2013-03-06,553.1
2013-03-07,558.55
2013-03-08,566.7
2013-03-11,564.3
2013-03-12,546.15
2013-03-13,549.0
2013-03-14,550.45
2013-03-15,549.8
2013-03-18,557.8
2013-03-19,555.0
2013-03-20,553.8
2013-03-21,553.7
2013-03-22,552.0
2013-03-25,553.65
2013-03-26,551.05
2013-03-28,551.2
2013-04-01,554.0
2013-04-02,570.3
2013-04-03,553.3
2013-04-04,543.7
2013-04-05,552.25
2013-04-08,551.6
2013-04-09,546.0
2013-04-10,544.7
2013-04-11,547.75
2013-04-12,548.25
2013-04-15,547.3
2013-04-16,551.1
2013-04-17,549.7
2013-04-18,551.65
2013-04-22,549.55
2013-04-23,547.6
2013-04-25,548.5
2013-04-26,550.65
2013-04-29,548.9
2013-04-30,554.6
2013-05-02,545.3
2013-05-03,542.15
2013-05-06,541.5
2013-05-07,539.35
2013-05-08,534.2
2013-05-09,550.05
2013-05-10,585.7
2013-05-11,582.45
2013-05-13,600.3
2013-05-14,589.45
2013-05-15,578.9
2013-05-16,576.05
2013-05-17,568.95
2013-05-20,578.05
2013-05-21,575.3
2013-05-22,577.7
2013-05-23,567.35
2013-05-24,569.95
2013-05-27,568.5
2013-05-28,565.25
2013-05-29,566.6
2013-05-30,565.05
2013-05-31,565.0
2013-06-03,567.45
2013-06-04,556.8
2013-06-05,550.15
2013-06-06,557.65
2013-06-07,548.85
2013-06-10,549.15
2013-06-11,535.0
2013-06-12,524.85
2013-06-13,513.2
2013-06-14,524.25
2013-06-17,524.35
2013-06-18,524.75
2013-06-19,529.95
2013-06-20,524.95
2013-06-21,522.0
2013-06-24,523.25
2013-06-25,523.0
2013-06-26,523.15
2013-06-27,513.9
2013-06-28,518.7
2013-07-01,512.1
2013-07-02,510.7
2013-07-03,506.2
2013-07-04,500.5
2013-07-05,494.95
2013-07-08,491.65
2013-07-09,486.5
2013-07-10,488.7
2013-07-11,495.0
2013-07-12,493.85
2013-07-15,501.9
2013-07-16,504.55
2013-07-17,510.25
2013-07-18,506.05
2013-07-19,501.45
2013-07-22,495.1
2013-07-23,491.85
2013-07-24,507.15
2013-07-25,494.45
2013-07-26,494.85
2013-07-29,499.9
2013-07-30,502.1
2013-07-31,500.7
2013-08-01,499.1
2013-08-02,485.85
2013-08-05,461.85
2013-08-06,444.95
2013-08-07,442.75
2013-08-08,439.9
2013-08-12,450.1
2013-08-13,462.45
2013-08-14,470.2
2013-08-16,468.85
2013-08-19,463.7
2013-08-20,459.3
2013-08-21,461.45
2013-08-22,464.9
2013-08-23,466.8
2013-08-26,460.0
2013-08-27,455.95
2013-08-28,454.45
2013-08-29,468.4
2013-08-30,478.25
2013-09-02,482.95
2013-09-03,473.7
2013-09-04,482.7
2013-09-05,490.8
2013-09-06,482.05
2013-09-10,504.65
2013-09-11,511.35
2013-09-12,511.2
2013-09-13,516.35
2013-09-16,506.85
2013-09-17,499.35
2013-09-18,502.25
2013-09-19,505.6
2013-09-20,506.0
2013-09-23,506.1
2013-09-24,507.3
2013-09-25,509.85
2013-09-26,525.3
2013-09-27,506.95
2013-09-30,503.7
2013-10-01,511.65
2013-10-03,519.1
2013-10-04,521.45
2013-10-07,538.45
2013-10-08,530.0
2013-10-09,527.9
2013-10-10,527.0
2013-10-11,529.8
2013-10-14,528.85
2013-10-15,524.45
2013-10-17,528.15
2013-10-18,529.8
2013-10-21,550.05
2013-10-22,557.65
2013-10-23,560.0
2013-10-24,577.15
2013-10-25,575.7
2013-10-28,606.95
2013-10-29,609.6
2013-10-30,605.1
2013-10-31,603.5
2013-11-01,607.95
2013-11-03,604.95
2013-11-05,630.3
2013-11-06,622.5
2013-11-07,618.7
2013-11-08,617.9
2013-11-11,619.05
2013-11-12,609.45
2013-11-13,617.65
2013-11-14,616.9
2013-11-18,615.6
