Date,JSWHL
2013-01-01,613.9
2013-01-02,629.55
2013-01-03,629.95
2013-01-04,622.7
2013-01-07,643.7
2013-01-08,636.3
2013-01-09,626.05
2013-01-10,624.95
2013-01-11,599.9
2013-01-14,618.45
2013-01-15,617.3
2013-01-16,597.0
2013-01-17,601.35
2013-01-18,601.3
2013-01-21,617.0
2013-01-22,604.7
2013-01-23,601.15
2013-01-24,591.85
2013-01-25,607.4
2013-01-28,607.0
2013-01-29,597.65
2013-01-30,595.7
2013-01-31,602.75
2013-02-01,605.45
2013-02-04,593.2
2013-02-05,574.25
2013-02-06,575.65
2013-02-07,561.6
2013-02-08,549.75
2013-02-11,536.2
2013-02-12,519.75
2013-02-13,505.75
2013-02-14,489.35
2013-02-15,481.0
2013-02-18,509.35
2013-02-19,550.15
2013-02-20,548.75
2013-02-21,524.1
2013-02-22,536.25
2013-02-25,522.7
2013-02-26,499.25
2013-02-27,505.75
2013-02-28,480.8
2013-03-01,488.7
2013-03-04,474.2
2013-03-05,480.55
2013-03-06,491.8
2013-03-07,497.85
2013-03-08,502.6
2013-03-11,499.55
2013-03-12,487.0
2013-03-13,476.95
2013-03-14,482.25
2013-03-15,473.2
2013-03-18,460.45
2013-03-19,444.55
2013-03-20,419.3
2013-03-21,409.75
2013-03-22,405.1
2013-03-25,389.3
2013-03-26,387.1
2013-03-28,403.35
2013-04-01,422.1
2013-04-02,506.5
2013-04-03,494.1
2013-04-04,477.7
2013-04-05,478.65
2013-04-08,477.45
2013-04-09,464.05
2013-04-10,457.7
2013-04-11,454.15
2013-04-12,456.15
2013-04-15,461.2
2013-04-16,473.7
2013-04-17,504.5
2013-04-18,495.05
2013-04-22,498.65
2013-04-23,500.75
2013-04-25,493.4
2013-04-26,479.65
2013-04-29,473.95
2013-04-30,460.2
2013-05-02,456.55
2013-05-03,462.25
2013-05-06,470.35
2013-05-07,473.6
2013-05-08,470.3
2013-05-09,466.05
2013-05-10,464.6
2013-05-11,461.3
2013-05-13,452.65
2013-05-14,454.05
2013-05-15,464.5
2013-05-16,473.45
2013-05-17,470.05
2013-05-20,483.65
2013-05-21,474.2
2013-05-22,463.95
2013-05-23,443.3
2013-05-24,455.75
2013-05-27,464.05
2013-05-28,457.3
2013-05-29,448.55
2013-05-30,449.4
2013-05-31,430.8
2013-06-03,431.45
2013-06-04,437.8
2013-06-05,446.8
2013-06-06,450.45
2013-06-07,440.25
2013-06-10,430.6
2013-06-11,409.15
2013-06-12,395.1
2013-06-13,390.85
2013-06-14,399.0
2013-06-17,403.25
2013-06-18,402.6
2013-06-19,411.75
2013-06-20,396.7
2013-06-21,382.0
2013-06-24,371.55
2013-06-25,356.9
2013-06-26,349.1
2013-06-27,346.1
2013-06-28,355.55
2013-07-01,369.35
2013-07-02,364.45
2013-07-03,349.1
2013-07-04,349.95
2013-07-05,347.05
2013-07-08,346.1
2013-07-09,349.45
2013-07-10,341.75
2013-07-11,346.4
2013-07-12,341.35
2013-07-15,340.95
2013-07-16,337.7
2013-07-17,341.8
2013-07-18,339.8
2013-07-19,328.95
2013-07-22,333.15
2013-07-23,336.9
2013-07-24,318.55
2013-07-25,314.45
2013-07-26,294.6
2013-07-29,291.35
2013-07-30,276.1
2013-07-31,282.45
2013-08-01,278.8
2013-08-02,262.25
2013-08-05,258.45
2013-08-06,255.8
2013-08-07,268.0
2013-08-08,275.75
2013-08-12,321.4
2013-08-13,316.95
2013-08-14,318.6
2013-08-16,294.85
2013-08-19,296.65
2013-08-20,314.5
2013-08-21,315.55
2013-08-22,331.55
2013-08-23,338.45
2013-08-26,345.05
2013-08-27,330.7
2013-08-28,323.6
2013-08-29,342.15
2013-08-30,346.0
2013-09-02,348.9
2013-09-03,324.55
2013-09-04,334.5
2013-09-05,337.9
2013-09-06,338.05
2013-09-10,345.2
2013-09-11,352.15
2013-09-12,339.95
2013-09-13,340.6
2013-09-16,339.5
2013-09-17,343.5
2013-09-18,343.1
2013-09-19,359.75
2013-09-20,357.7
2013-09-23,347.65
