Date,SKIPPER
2016-06-15,144.25
2016-06-16,143.15
2016-06-17,143.75
2016-06-20,142.45
2016-06-21,140.9
2016-06-22,143.05
2016-06-23,141.95
2016-06-24,136.6
2016-06-27,137.25
2016-06-28,136.9
2016-06-29,139.25
2016-06-30,147.5
2016-07-01,153.5
2016-07-04,161.3
2016-07-05,157.45
2016-07-07,162.25
2016-07-08,160.35
2016-07-11,161.65
2016-07-12,161.4
2016-07-13,159.05
2016-07-14,159.0
2016-07-15,157.8
2016-07-18,155.5
2016-07-19,153.85
2016-07-20,157.9
2016-07-21,159.95
2016-07-22,161.15
2016-07-25,161.35
2016-07-26,160.7
2016-07-27,160.45
2016-07-28,160.15
2016-07-29,161.35
2016-08-01,159.45
2016-08-02,155.7
2016-08-03,154.8
2016-08-04,154.0
2016-08-05,156.45
2016-08-08,160.75
2016-08-09,158.4
2016-08-10,155.05
2016-08-11,159.4
2016-08-12,158.8
2016-08-16,154.3
2016-08-17,154.5
2016-08-18,156.0
2016-08-19,156.35
2016-08-22,155.0
2016-08-23,153.3
2016-08-24,158.15
2016-08-25,162.5
2016-08-26,165.55
2016-08-29,163.25
2016-08-30,162.2
2016-08-31,160.35
2016-09-01,159.0
2016-09-02,160.85
2016-09-06,160.15
2016-09-07,158.3
2016-09-08,159.25
2016-09-09,159.45
2016-09-12,154.75
2016-09-14,154.75
2016-09-15,154.35
2016-09-16,154.15
2016-09-19,156.4
2016-09-20,155.35
2016-09-21,155.45
2016-09-22,158.0
2016-09-23,158.35
2016-09-26,155.7
2016-09-27,160.65
2016-09-28,160.5
2016-09-29,150.3
2016-09-30,156.45
2016-10-03,157.25
2016-10-04,157.0
2016-10-05,156.45
2016-10-06,156.0
2016-10-07,155.1
2016-10-10,158.05
2016-10-13,153.8
2016-10-14,156.1
2016-10-17,152.9
2016-10-18,154.55
2016-10-19,153.7
2016-10-20,153.55
2016-10-21,152.6
2016-10-24,152.6
2016-10-25,151.55
2016-10-26,150.55
2016-10-27,150.2
2016-10-28,149.95
2016-10-30,150.15
2016-11-01,149.65
2016-11-02,145.95
2016-11-03,143.95
2016-11-04,141.8
2016-11-07,143.85
2016-11-08,142.35
2016-11-09,137.9
2016-11-10,143.55
2016-11-11,138.45
2016-11-15,131.45
2016-11-16,130.9
2016-11-17,132.9
2016-11-18,133.6
2016-11-21,129.8
2016-11-22,131.45
2016-11-23,132.95
2016-11-24,134.15
2016-11-25,138.15
2016-11-28,140.75
2016-11-29,141.8
2016-11-30,140.7
2016-12-01,139.15
2016-12-02,134.55
2016-12-05,134.75
2016-12-06,136.4
2016-12-07,134.45
2016-12-08,135.35
2016-12-09,134.95
2016-12-12,133.55
2016-12-13,133.5
2016-12-14,131.25
2016-12-15,131.45
2016-12-16,131.6
2016-12-19,131.85
2016-12-20,131.15
2016-12-21,131.45
2016-12-22,129.85
2016-12-23,130.95
2016-12-26,129.55
2016-12-27,129.35
2016-12-28,130.05
2016-12-29,135.25
2016-12-30,138.75
2017-01-02,134.65
2017-01-03,139.6
2017-01-04,138.25
2017-01-05,141.65
2017-01-06,142.8
2017-01-09,139.3
2017-01-10,156.15
2017-01-11,155.05
2017-01-12,154.2
2017-01-13,153.2
2017-01-16,153.85
2017-01-17,155.6
2017-01-18,157.85
2017-01-19,154.0
2017-01-20,152.25
2017-01-23,151.9
2017-01-24,157.4
2017-01-25,161.75
2017-01-27,159.6
2017-01-30,160.15
2017-01-31,155.9
2017-02-01,160.7
2017-02-02,158.35
2017-02-03,157.45
2017-02-06,157.85
2017-02-07,154.65
2017-02-08,155.0
2017-02-09,154.6
2017-02-10,153.35
2017-02-13,150.9
2017-02-14,151.25
2017-02-15,146.4
2017-02-16,151.1
2017-02-17,148.0
2017-02-20,147.65
2017-02-21,147.75
2017-02-22,146.7
2017-02-23,145.8
2017-02-27,146.85
2017-02-28,146.6
2017-03-01,147.0
2017-03-02,144.0
2017-03-03,144.55
2017-03-06,144.45
2017-03-07,143.9
2017-03-08,144.55
2017-03-09,142.5
2017-03-10,142.0
2017-03-14,144.15
2017-03-15,154.65
2017-03-16,156.85
2017-03-17,155.2
2017-03-20,158.0
2017-03-21,154.35
2017-03-22,151.8
2017-03-23,162.35
2017-03-24,173.7
2017-03-27,174.55
2017-03-28,175.3
2017-03-29,171.95
2017-03-30,174.85
2017-03-31,183.85
2017-04-03,189.0
2017-04-05,190.55
2017-04-06,185.75
2017-04-07,185.0
2017-04-10,184.8
2017-04-11,185.75
2017-04-12,181.6
2017-04-13,185.5
2017-04-17,192.45
2017-04-18,187.75
2017-04-19,186.85
2017-04-20,189.45
2017-04-21,191.45
2017-04-24,193.55
2017-04-25,191.7
2017-04-26,189.2
2017-04-27,187.65
2017-04-28,190.7
2017-05-02,188.95
2017-05-03,190.65
2017-05-04,189.7
2017-05-05,187.8
2017-05-08,191.65
2017-05-09,191.2
2017-05-10,195.9
2017-05-11,196.5
2017-05-12,195.65
2017-05-15,196.25
2017-05-16,205.15
2017-05-17,206.25
2017-05-18,202.25
2017-05-19,202.1
2017-05-22,202.6
2017-05-23,198.65
2017-05-24,191.4
2017-05-25,191.7
2017-05-26,197.35
2017-05-29,192.65
2017-05-30,195.0
2017-05-31,199.8
2017-06-01,199.05
2017-06-02,199.8
2017-06-05,208.1
2017-06-06,204.95
2017-06-07,206.95
2017-06-08,201.95
2017-06-09,199.6
2017-06-12,193.85
2017-06-13,202.05
2017-06-14,200.15
2017-06-15,199.25
2017-06-16,201.8
2017-06-19,200.05
2017-06-20,200.8
2017-06-21,198.95
2017-06-22,196.9
2017-06-23,192.8
2017-06-27,192.6
2017-06-28,196.0
2017-06-29,199.45
2017-06-30,203.65
2017-07-03,209.15
2017-07-04,219.5
2017-07-05,215.15
2017-07-06,217.25
2017-07-07,216.6
2017-07-10,220.35
2017-07-11,221.4
2017-07-12,218.85
2017-07-13,219.75
2017-07-14,214.05
2017-07-17,216.3
2017-07-18,216.8
2017-07-19,225.6
2017-07-20,229.15
2017-07-21,227.55
2017-07-24,229.75
2017-07-25,228.4
2017-07-26,237.65
2017-07-27,230.25
2017-07-28,233.0
2017-07-31,233.15
2017-08-01,230.9
2017-08-02,226.9
2017-08-03,223.25
2017-08-04,223.15
2017-08-07,220.2
2017-08-08,216.25
2017-08-09,212.0
2017-08-10,194.0
2017-08-11,199.6
2017-08-14,211.95
2017-08-16,202.85
2017-08-17,203.65
2017-08-18,202.6
2017-08-21,204.3
2017-08-22,201.75
2017-08-23,196.75
2017-08-24,199.9
2017-08-28,205.65
2017-08-29,202.95
2017-08-30,211.15
2017-08-31,212.3
2017-09-01,214.1
2017-09-04,214.65
2017-09-05,217.05
2017-09-06,215.35
2017-09-07,209.75
2017-09-08,206.0
2017-09-11,208.5
2017-09-12,211.7
2017-09-13,214.75
2017-09-14,212.45
2017-09-15,219.25
2017-09-18,217.6
2017-09-19,216.6
2017-09-20,215.0
2017-09-21,215.2
2017-09-22,202.75
2017-09-25,204.35
2017-09-26,208.15
2017-09-27,207.55
2017-09-28,203.95
2017-09-29,210.9
2017-10-03,206.6
2017-10-04,207.1
2017-10-05,208.0
2017-10-06,205.85
2017-10-09,208.55
2017-10-10,210.6
2017-10-11,207.5
2017-10-12,210.95
2017-10-13,210.6
2017-10-16,211.6
2017-10-17,211.85
2017-10-18,213.8
2017-10-19,214.65
2017-10-23,223.5
2017-10-24,225.95
2017-10-25,225.2
2017-10-26,228.1
2017-10-27,235.25
2017-10-30,230.5
2017-10-31,244.9
2017-11-01,249.7
2017-11-02,245.8
2017-11-03,249.85
2017-11-06,265.1
2017-11-07,266.4
2017-11-08,268.45
2017-11-09,269.3
2017-11-10,266.25
2017-11-13,256.25
2017-11-14,248.9
2017-11-15,246.85
2017-11-16,248.55
2017-11-17,256.15
2017-11-20,262.45
2017-11-21,264.95
2017-11-22,268.8
2017-11-23,254.15
2017-11-24,262.65
2017-11-27,277.05
2017-11-28,280.4
2017-11-29,274.75
2017-11-30,276.15
2017-12-01,265.1
2017-12-04,257.05
2017-12-05,248.55
2017-12-06,256.4
2017-12-07,265.1
2017-12-08,263.85
2017-12-11,265.6
2017-12-12,265.6
2017-12-13,259.35
2017-12-14,258.8
2017-12-15,267.2
2017-12-18,265.9
2017-12-19,263.65
2017-12-20,264.5
2017-12-21,262.5
2017-12-22,264.05
2017-12-26,264.3
2017-12-27,261.8
2017-12-28,263.0
2017-12-29,270.35
