Date,RELDIVOPP
2016-08-30,22.68
2016-08-31,22.76
2016-09-01,22.79
2016-09-02,22.77
2016-09-06,23.15
2016-09-07,23.06
2016-09-09,22.91
2016-09-12,22.4
2016-09-14,22.06
2016-09-15,22.48
2016-09-16,22.62
2016-09-20,22.75
2016-09-23,22.78
2016-09-26,22.8
2016-09-28,22.71
2016-09-29,22.22
2016-09-30,22.4
2016-10-03,22.6
2016-10-04,23.05
2016-10-05,22.87
2016-10-06,23.0
2016-10-07,22.8
2016-10-10,22.95
2016-10-14,22.72
2016-10-18,22.8
2016-10-19,22.69
2016-10-20,22.73
2016-10-21,22.73
2016-10-25,23.04
2016-10-26,23.05
2016-10-27,22.86
2016-11-03,22.75
2016-11-04,22.3
2016-11-07,22.52
2016-11-08,22.64
2016-11-09,22.27
2016-11-18,21.54
2016-11-21,21.4
2016-11-22,21.3
2016-11-24,21.65
2016-11-25,24.98
2016-11-28,22.49
2016-11-29,22.63
2016-12-01,22.57
2016-12-02,22.16
2016-12-06,22.2
2016-12-07,22.34
2016-12-08,22.49
2016-12-09,22.55
2016-12-12,22.52
2016-12-13,22.36
2016-12-14,22.2
2016-12-15,22.4
2016-12-19,22.22
2016-12-20,22.25
2016-12-21,22.1
2016-12-23,21.74
2016-12-26,21.72
2016-12-29,22.16
2016-12-30,22.45
2017-01-03,22.57
2017-01-05,22.75
2017-01-09,22.78
2017-01-10,22.73
2017-01-11,23.05
2017-01-13,23.24
2017-01-16,23.28
2017-01-18,23.46
2017-01-19,23.5
2017-01-20,23.23
2017-01-25,23.72
2017-01-27,23.85
2017-01-30,23.85
2017-01-31,23.5
2017-02-01,23.41
2017-02-02,23.83
2017-02-03,24.08
2017-02-06,24.06
2017-02-07,24.05
2017-02-08,24.25
2017-02-09,24.34
2017-02-10,24.45
2017-02-13,24.21
2017-02-14,24.41
2017-02-15,24.4
2017-02-16,24.3
2017-02-17,24.27
2017-02-20,24.54
2017-02-21,24.74
2017-02-22,24.67
2017-02-23,24.65
2017-02-27,24.66
2017-02-28,24.55
2017-03-01,24.55
2017-03-02,24.52
2017-03-06,24.5
2017-03-07,24.63
2017-03-09,24.4
2017-03-14,24.65
2017-03-15,24.73
2017-03-16,24.98
2017-03-17,25.18
2017-03-20,25.1
2017-03-21,24.9
2017-03-22,25.0
2017-03-23,25.06
2017-03-24,24.95
2017-03-27,25.03
2017-03-28,25.0
2017-03-29,25.0
2017-03-31,25.26
2017-04-03,25.23
2017-04-05,25.0
2017-04-06,25.21
2017-04-07,25.03
2017-04-10,25.05
2017-04-11,25.1
2017-04-17,24.91
2017-04-18,24.96
2017-04-19,24.79
2017-04-20,25.11
2017-04-21,25.1
2017-04-24,25.09
2017-04-25,25.25
2017-04-26,25.25
2017-04-27,25.26
2017-05-02,25.5
2017-05-03,25.66
2017-05-04,25.66
2017-05-05,25.45
2017-05-08,25.58
2017-05-09,25.65
2017-05-10,25.69
2017-05-11,25.69
2017-05-12,25.85
2017-05-15,25.76
2017-05-16,26.05
2017-05-17,26.24
2017-05-18,26.05
2017-05-19,26.06
2017-05-22,26.0
2017-05-23,25.77
2017-05-24,25.66
2017-05-25,26.01
2017-05-26,26.1
2017-05-29,26.3
2017-05-30,26.34
2017-05-31,26.32
2017-06-01,26.33
2017-06-02,26.4
2017-06-05,26.6
2017-06-06,26.6
2017-06-07,26.43
2017-06-08,26.19
2017-06-09,26.05
2017-06-12,25.99
2017-06-13,27.34
2017-06-14,26.26
2017-06-15,26.05
2017-06-16,26.05
2017-06-19,26.13
2017-06-20,26.18
2017-06-21,26.08
2017-06-22,26.09
2017-06-23,25.61
2017-06-27,25.29
2017-06-28,25.5
2017-06-29,25.5
2017-06-30,25.62
2017-07-03,26.06
2017-07-04,26.07
2017-07-06,26.13
2017-07-07,26.0
2017-07-11,26.4
2017-07-12,26.64
2017-07-13,26.5
2017-07-14,26.48
2017-07-19,24.95
2017-07-21,26.4
2017-07-24,26.5
2017-07-25,26.62
2017-07-26,26.5
2017-07-27,26.52
2017-07-28,26.23
2017-07-31,26.32
2017-08-01,26.6
2017-08-02,26.79
2017-08-03,26.6
2017-08-07,27.14
2017-08-08,27.18
2017-08-09,26.89
2017-08-10,26.33
2017-08-11,26.3
2017-08-14,26.67
2017-08-16,26.78
2017-08-17,26.93
2017-08-18,26.7
2017-08-21,26.67
2017-08-22,26.43
2017-08-24,26.8
2017-08-29,26.71
2017-08-30,26.8
2017-08-31,26.94
2017-09-01,27.24
2017-09-04,27.01
2017-09-07,27.29
2017-09-08,26.95
2017-09-11,27.26
2017-09-12,27.24
2017-09-13,27.61
2017-09-14,27.2
2017-09-15,27.97
2017-09-18,27.5
2017-09-19,27.5
2017-09-20,27.56
2017-09-21,27.23
2017-09-22,27.0
2017-09-25,26.54
2017-09-27,26.36
2017-09-28,28.0
2017-09-29,27.9
2017-10-03,26.64
2017-10-04,26.82
2017-10-05,27.0
2017-10-06,27.25
2017-10-09,27.13
2017-10-10,27.2
2017-10-11,27.16
2017-10-12,27.4
2017-10-13,27.55
2017-10-16,27.76
2017-10-17,27.85
2017-10-18,28.09
2017-10-19,27.92
2017-10-23,27.86
2017-10-24,28.11
2017-10-25,28.08
2017-10-26,28.02
2017-10-27,28.37
2017-10-30,28.32
2017-10-31,28.17
2017-11-01,28.5
2017-11-02,29.19
2017-11-03,29.5
2017-11-06,28.25
2017-11-07,29.58
2017-11-08,28.05
2017-11-09,28.23
2017-11-10,28.22
2017-11-13,28.04
2017-11-14,27.75
2017-11-15,27.64
2017-11-16,27.0
2017-11-17,27.99
2017-11-20,27.95
2017-11-21,27.95
2017-11-22,27.87
2017-11-23,27.91
2017-11-24,28.08
2017-11-27,28.27
2017-11-28,27.0
2017-11-29,28.17
2017-11-30,27.94
2017-12-01,27.55
2017-12-04,27.6
2017-12-05,27.5
2017-12-06,28.64
2017-12-07,27.63
2017-12-08,28.05
2017-12-11,28.35
2017-12-12,28.0
2017-12-13,28.0
2017-12-14,27.64
2017-12-15,28.25
2017-12-18,28.15
2017-12-19,28.33
2017-12-20,28.45
2017-12-21,28.6
2017-12-22,28.76
2017-12-26,28.97
2017-12-27,28.61
2017-12-28,28.75
2017-12-29,28.68
