Date,IBULHSGFIN
2013-08-06,198.55
2013-08-07,196.35
2013-08-08,195.1
2013-08-12,192.4
2013-08-13,191.2
2013-08-14,201.75
2013-08-16,189.1
2013-08-19,191.6
2013-08-20,189.95
2013-08-21,191.6
2013-08-22,193.15
2013-08-23,209.75
2013-08-26,203.7
2013-08-27,192.3
2013-08-28,186.05
2013-08-29,193.9
2013-08-30,197.05
2013-09-02,192.8
2013-09-03,189.25
2013-09-04,189.95
2013-09-05,203.2
2013-09-06,209.35
2013-09-10,211.15
2013-09-11,212.9
2013-09-12,207.05
2013-09-13,209.35
2013-09-16,210.75
2013-09-17,208.2
2013-09-18,203.55
2013-09-19,225.45
2013-09-20,214.1
2013-09-23,192.25
2013-09-24,180.85
2013-09-25,180.55
2013-09-26,183.05
2013-09-27,181.65
2013-09-30,182.85
2013-10-01,186.85
2013-10-03,198.9
2013-10-04,195.15
2013-10-07,198.6
2013-10-08,194.15
2013-10-09,196.5
2013-10-10,194.15
2013-10-11,195.7
2013-10-14,197.0
2013-10-15,188.55
2013-10-17,192.35
2013-10-18,190.3
2013-10-21,189.7
2013-10-22,193.2
2013-10-23,190.9
2013-10-24,198.6
2013-10-25,206.75
2013-10-28,202.85
2013-10-29,218.25
2013-10-30,222.15
2013-10-31,213.8
2013-11-01,213.55
2013-11-03,217.65
2013-11-05,225.7
2013-11-06,226.65
2013-11-07,217.35
2013-11-08,217.1
2013-11-11,214.4
2013-11-12,210.8
2013-11-13,212.3
2013-11-14,215.6
2013-11-18,217.8
2013-11-19,223.85
2013-11-20,220.5
2013-11-21,223.4
2013-11-22,224.9
2013-11-25,225.65
2013-11-26,222.5
2013-11-27,219.2
2013-11-28,219.8
2013-11-29,223.45
2013-12-02,234.4
2013-12-03,231.0
2013-12-04,223.6
2013-12-05,220.65
2013-12-06,216.45
2013-12-09,221.2
2013-12-10,234.55
2013-12-11,227.75
2013-12-12,232.25
2013-12-13,223.9
2013-12-16,225.35
2013-12-17,221.1
2013-12-18,223.45
2013-12-19,217.5
2013-12-20,225.0
2013-12-23,239.9
2013-12-24,244.8
2013-12-26,243.4
2013-12-27,243.95
2013-12-30,239.4
2013-12-31,238.45
2014-01-01,239.7
2014-01-02,235.1
2014-01-03,239.3
2014-01-06,238.3
2014-01-07,238.2
2014-01-08,245.25
2014-01-09,244.45
2014-01-10,240.25
2014-01-13,235.7
2014-01-14,231.75
2014-01-15,228.35
2014-01-16,226.55
2014-01-17,223.85
2014-01-20,228.7
2014-01-21,234.3
2014-01-22,236.85
2014-01-23,231.3
2014-01-24,225.7
2014-01-27,216.25
2014-01-28,221.85
2014-01-29,221.25
2014-01-30,205.8
2014-01-31,206.3
2014-02-03,202.0
2014-02-04,200.5
2014-02-05,200.7
2014-02-06,200.55
2014-02-07,203.25
2014-02-10,199.85
2014-02-11,197.0
2014-02-12,196.25
2014-02-13,192.1
2014-02-14,190.9
2014-02-17,192.2
2014-02-18,191.95
2014-02-19,190.85
2014-02-20,190.05
2014-02-21,191.9
2014-02-24,188.95
2014-02-25,196.85
2014-02-26,195.75
2014-02-28,191.55
2014-03-03,189.4
2014-03-04,192.2
2014-03-05,193.3
2014-03-06,202.95
2014-03-07,206.9
2014-03-10,202.8
2014-03-11,199.8
2014-03-12,201.65
2014-03-13,214.8
2014-03-14,213.1
2014-03-18,219.65
2014-03-19,221.45
2014-03-20,216.15
2014-03-21,218.85
2014-03-22,218.3
2014-03-24,218.4
2014-03-25,211.15
2014-03-26,220.65
2014-03-27,234.05
2014-03-28,229.95
2014-03-31,237.55
2014-04-01,238.65
2014-04-02,239.3
2014-04-03,236.3
2014-04-04,244.15
2014-04-07,246.6
2014-04-09,250.1
2014-04-10,273.4
2014-04-11,277.6
2014-04-15,286.15
2014-04-16,284.6
2014-04-17,285.6
2014-04-21,279.15
2014-04-22,285.55
2014-04-23,276.35
2014-04-25,269.95
2014-04-28,300.65
2014-04-29,305.4
2014-04-30,299.05
2014-05-02,299.45
2014-05-05,305.7
2014-05-06,293.9
2014-05-07,287.0
2014-05-08,287.45
2014-05-09,284.65
2014-05-12,288.9
2014-05-13,290.95
2014-05-14,314.4
2014-05-15,320.0
2014-05-16,335.65
2014-05-19,363.45
2014-05-20,363.4
2014-05-21,395.1
2014-05-22,394.95
2014-05-23,399.95
2014-05-26,379.1
2014-05-27,365.25
2014-05-28,388.15
2014-05-29,376.65
2014-05-30,390.85
2014-06-02,391.35
2014-06-03,390.6
2014-06-04,391.75
2014-06-05,384.6
2014-06-06,388.55
2014-06-09,391.5
2014-06-10,383.15
2014-06-11,382.2
2014-06-12,383.65
2014-06-13,369.45
2014-06-16,365.05
2014-06-17,371.1
2014-06-18,368.95
2014-06-19,362.15
2014-06-20,354.65
2014-06-23,355.8
2014-06-24,365.35
2014-06-25,379.8
2014-06-26,385.5
2014-06-27,382.15
2014-06-30,380.05
2014-07-01,382.15
2014-07-02,386.7
2014-07-03,371.75
2014-07-04,371.85
2014-07-07,375.05
2014-07-08,355.9
2014-07-09,356.1
2014-07-10,370.55
2014-07-11,370.35
2014-07-14,363.9
2014-07-15,364.0
2014-07-16,370.5
2014-07-17,367.8
2014-07-18,373.25
2014-07-21,360.9
2014-07-22,364.05
2014-07-23,360.55
2014-07-24,368.1
2014-07-25,391.9
2014-07-28,420.5
2014-07-30,405.5
2014-07-31,410.1
2014-08-01,396.75
2014-08-04,394.1
2014-08-05,401.45
2014-08-06,397.5
2014-08-07,394.5
2014-08-08,389.6
2014-08-11,391.65
2014-08-12,389.45
2014-08-13,382.95
2014-08-14,388.75
2014-08-18,387.3
2014-08-19,393.9
2014-08-20,394.8
2014-08-21,394.45
2014-08-22,385.0
2014-08-25,386.15
2014-08-26,379.95
2014-08-27,374.6
2014-08-28,377.5
2014-09-01,388.95
2014-09-02,389.9
2014-09-03,396.4
2014-09-04,396.85
2014-09-05,397.65
2014-09-08,395.85
2014-09-09,400.5
2014-09-10,394.8
2014-09-11,407.55
2014-09-12,407.3
2014-09-15,406.6
2014-09-16,401.5
2014-09-17,397.8
2014-09-18,396.4
2014-09-19,396.15
2014-09-22,407.15
2014-09-23,426.6
2014-09-24,423.35
2014-09-25,401.4
2014-09-26,407.45
2014-09-29,399.45
2014-09-30,402.7
2014-10-01,400.25
2014-10-07,398.7
2014-10-08,386.75
2014-10-09,400.7
2014-10-10,394.75
2014-10-13,399.6
2014-10-14,400.3
2014-10-16,396.6
2014-10-17,394.9
2014-10-20,396.2
2014-10-21,398.9
2014-10-22,396.9
2014-10-23,408.7
2014-10-27,398.2
2014-10-28,397.55
2014-10-29,397.9
2014-10-30,401.3
2014-10-31,418.3
2014-11-03,450.3
2014-11-05,469.8
2014-11-07,461.8
2014-11-10,444.65
2014-11-11,443.35
2014-11-12,463.1
2014-11-13,456.25
2014-11-14,456.95
2014-11-17,451.4
2014-11-18,449.85
2014-11-19,450.1
2014-11-20,444.25
2014-11-21,441.0
2014-11-24,450.9
2014-11-25,449.05
2014-11-26,444.65
2014-11-27,446.35
2014-11-28,450.75
2014-12-01,450.1
2014-12-02,468.5
2014-12-03,460.35
2014-12-04,463.15
2014-12-05,457.2
2014-12-08,450.8
2014-12-09,446.15
2014-12-10,460.7
2014-12-11,449.85
2014-12-12,443.7
2014-12-15,438.55
2014-12-16,421.0
2014-12-17,436.35
2014-12-18,458.2
2014-12-19,455.0
2014-12-22,457.6
2014-12-23,445.15
2014-12-24,440.05
2014-12-26,444.0
2014-12-29,447.85
2014-12-30,459.1
2014-12-31,459.85
2015-01-01,454.15
2015-01-02,480.35
2015-01-05,483.4
2015-01-06,473.6
2015-01-07,497.5
2015-01-08,504.65
2015-01-09,495.5
2015-01-12,497.6
2015-01-13,492.2
2015-01-14,499.45
2015-01-15,533.7
2015-01-16,566.35
2015-01-19,571.95
2015-01-20,597.1
2015-01-21,588.65
2015-01-22,586.2
2015-01-23,585.85
2015-01-27,620.25
2015-01-28,619.95
2015-01-29,593.55
2015-01-30,588.7
2015-02-02,595.05
2015-02-03,603.45
2015-02-04,597.9
2015-02-05,584.45
2015-02-06,586.45
2015-02-09,574.7
2015-02-10,580.5
2015-02-11,585.25
2015-02-12,591.45
2015-02-13,610.75
2015-02-16,616.05
2015-02-18,635.15
2015-02-19,629.8
2015-02-20,618.75
2015-02-23,621.5
2015-02-24,632.95
2015-02-25,630.75
2015-02-26,630.55
2015-02-27,633.6
2015-02-28,623.15
2015-03-02,628.15
2015-03-03,631.85
2015-03-04,636.8
2015-03-05,632.75
2015-03-09,602.05
2015-03-10,593.35
2015-03-11,568.45
2015-03-12,563.55
2015-03-13,565.5
2015-03-16,570.8
2015-03-17,563.8
2015-03-18,563.9
2015-03-19,554.85
2015-03-20,554.35
2015-03-23,557.25
2015-03-24,561.8
2015-03-25,559.6
2015-03-26,544.2
2015-03-27,541.95
2015-03-30,548.85
2015-03-31,557.9
2015-04-01,573.45
2015-04-06,573.55
2015-04-07,560.75
2015-04-08,557.65
2015-04-09,581.4
2015-04-10,580.5
2015-04-13,580.7
2015-04-15,573.35
2015-04-16,570.2
2015-04-17,554.75
2015-04-20,536.25
2015-04-21,550.3
2015-04-22,561.15
2015-04-23,559.85
2015-04-24,554.3
2015-04-27,557.35
2015-04-28,574.15
2015-04-29,589.9
2015-04-30,593.65
2015-05-04,587.65
2015-05-05,588.7
2015-05-06,558.7
2015-05-07,541.8
2015-05-08,559.4
2015-05-11,556.2
2015-05-12,549.5
2015-05-13,564.65
2015-05-14,560.5
2015-05-15,558.1
2015-05-18,564.05
2015-05-19,565.05
2015-05-20,573.7
2015-05-21,580.3
2015-05-22,594.35
2015-05-25,592.9
2015-05-26,593.55
2015-05-27,590.9
2015-05-28,593.05
2015-05-29,595.95
2015-06-01,609.1
2015-06-02,596.7
2015-06-03,595.75
2015-06-04,589.05
2015-06-05,585.2
2015-06-08,588.35
2015-06-09,573.0
2015-06-10,578.95
2015-06-11,579.4
2015-06-12,577.6
2015-06-15,556.35
2015-06-16,556.85
2015-06-17,580.55
2015-06-18,596.4
2015-06-19,597.8
2015-06-22,607.35
2015-06-23,599.85
2015-06-24,599.35
2015-06-25,607.55
2015-06-26,616.4
2015-06-29,610.4
2015-06-30,622.45
2015-07-01,630.2
2015-07-02,667.25
2015-07-03,654.5
2015-07-06,663.0
2015-07-07,654.25
2015-07-08,632.05
2015-07-09,620.85
2015-07-10,631.75
2015-07-13,633.0
2015-07-14,639.35
2015-07-15,634.1
2015-07-16,656.55
