Date,JKLAKSHMI
2013-01-01,161.3
2013-01-02,169.1
2013-01-03,163.9
2013-01-04,161.0
2013-01-07,151.9
2013-01-08,146.8
2013-01-09,146.4
2013-01-10,142.95
2013-01-11,137.55
2013-01-14,138.4
2013-01-15,141.8
2013-01-16,140.0
2013-01-17,139.45
2013-01-18,140.25
2013-01-21,142.05
2013-01-22,144.2
2013-01-23,142.35
2013-01-24,138.9
2013-01-25,146.2
2013-01-28,142.45
2013-01-29,139.65
2013-01-30,141.15
2013-01-31,146.05
2013-02-01,144.45
2013-02-04,140.45
2013-02-05,139.95
2013-02-06,142.2
2013-02-07,134.2
2013-02-08,135.95
2013-02-11,135.75
2013-02-12,133.5
2013-02-13,132.2
2013-02-14,130.0
2013-02-15,133.15
2013-02-18,130.15
2013-02-19,131.55
2013-02-20,134.25
2013-02-21,130.15
2013-02-22,130.2
2013-02-25,130.05
2013-02-26,125.6
2013-02-27,125.35
2013-02-28,132.0
2013-03-01,124.8
2013-03-04,119.4
2013-03-05,124.4
2013-03-06,124.2
2013-03-07,121.8
2013-03-08,123.15
2013-03-11,120.6
2013-03-12,122.9
2013-03-13,120.6
2013-03-14,119.95
2013-03-15,119.8
2013-03-18,119.2
2013-03-19,116.95
2013-03-20,110.75
2013-03-21,104.0
2013-03-22,99.45
2013-03-25,100.35
2013-03-26,97.05
2013-03-28,97.0
2013-04-01,101.15
2013-04-02,101.15
2013-04-03,98.7
2013-04-04,95.25
2013-04-05,91.15
2013-04-08,91.7
2013-04-09,90.8
2013-04-10,89.25
2013-04-11,88.3
2013-04-12,88.95
2013-04-15,88.8
2013-04-16,88.55
2013-04-17,91.8
2013-04-18,90.1
2013-04-22,92.35
2013-04-23,90.2
2013-04-25,94.5
2013-04-26,96.5
2013-04-29,97.95
2013-04-30,97.55
2013-05-02,96.65
2013-05-03,96.0
2013-05-06,102.3
2013-05-07,104.25
2013-05-08,109.25
2013-05-09,110.9
2013-05-10,108.55
2013-05-11,107.4
2013-05-13,101.3
2013-05-14,100.35
2013-05-15,101.85
2013-05-16,99.5
2013-05-17,99.9
2013-05-20,104.95
2013-05-21,102.9
2013-05-22,100.5
2013-05-23,97.4
2013-05-24,100.75
2013-05-27,102.4
2013-05-28,105.0
2013-05-29,105.2
2013-05-30,113.9
2013-05-31,107.25
2013-06-03,108.95
2013-06-04,106.65
2013-06-05,102.35
2013-06-06,104.0
2013-06-07,108.1
2013-06-10,116.1
2013-06-11,114.65
2013-06-12,109.6
2013-06-13,106.05
2013-06-14,106.45
2013-06-17,106.4
2013-06-18,109.0
2013-06-19,111.6
2013-06-20,110.1
2013-06-21,110.8
2013-06-24,105.85
2013-06-25,104.3
2013-06-26,105.65
2013-06-27,99.85
2013-06-28,96.75
2013-07-01,98.8
2013-07-02,98.0
2013-07-03,93.9
2013-07-04,92.85
2013-07-05,93.05
2013-07-08,90.4
2013-07-09,88.7
2013-07-10,86.35
2013-07-11,85.55
2013-07-12,83.45
2013-07-15,83.0
2013-07-16,79.75
2013-07-17,75.8
2013-07-18,77.95
2013-07-19,76.3
2013-07-22,75.8
2013-07-23,75.55
2013-07-24,74.15
2013-07-25,70.85
2013-07-26,71.15
2013-07-29,67.95
2013-07-30,65.7
2013-07-31,60.7
2013-08-01,57.2
2013-08-02,55.85
2013-08-05,55.05
2013-08-06,53.7
2013-08-07,54.7
2013-08-08,56.4
2013-08-12,62.4
2013-08-13,63.85
2013-08-14,65.95
2013-08-16,64.9
2013-08-19,62.1
2013-08-20,61.1
2013-08-21,61.9
2013-08-22,59.95
2013-08-23,59.65
2013-08-26,60.4
2013-08-27,57.85
