Date,TATAPOWER
2013-01-01,111.4
2013-01-02,112.0
2013-01-03,110.15
2013-01-04,110.2
2013-01-07,108.8
2013-01-08,109.5
2013-01-09,109.2
2013-01-10,108.75
2013-01-11,106.8
2013-01-14,106.35
2013-01-15,108.05
2013-01-16,106.1
2013-01-17,106.55
2013-01-18,108.15
2013-01-21,108.55
2013-01-22,107.4
2013-01-23,110.0
2013-01-24,107.65
2013-01-25,105.95
2013-01-28,106.0
2013-01-29,106.5
2013-01-30,103.4
2013-01-31,101.1
2013-02-01,102.3
2013-02-04,100.3
2013-02-05,98.65
2013-02-06,99.0
2013-02-07,96.95
2013-02-08,97.15
2013-02-11,97.6
2013-02-12,96.7
2013-02-13,94.05
2013-02-14,95.0
2013-02-15,96.55
2013-02-18,96.25
2013-02-19,96.8
2013-02-20,97.4
2013-02-21,97.3
2013-02-22,97.35
2013-02-25,98.3
2013-02-26,97.35
2013-02-27,97.4
2013-02-28,94.4
2013-03-01,97.35
2013-03-04,97.25
2013-03-05,98.75
2013-03-06,98.15
2013-03-07,97.9
2013-03-08,98.8
2013-03-11,101.15
2013-03-12,98.05
2013-03-13,98.0
2013-03-14,100.7
2013-03-15,101.7
2013-03-18,98.3
2013-03-19,98.0
2013-03-20,98.4
2013-03-21,94.65
2013-03-22,95.8
2013-03-25,95.65
2013-03-26,94.9
2013-03-28,96.5
2013-04-01,95.85
2013-04-02,95.3
2013-04-03,95.95
2013-04-04,95.05
2013-04-05,95.15
2013-04-08,96.6
2013-04-09,94.75
2013-04-10,95.05
2013-04-11,94.1
2013-04-12,95.35
2013-04-15,93.95
2013-04-16,96.15
2013-04-17,94.55
2013-04-18,94.9
2013-04-22,95.6
2013-04-23,94.75
2013-04-25,94.6
2013-04-26,94.85
2013-04-29,95.3
2013-04-30,94.7
2013-05-02,94.4
2013-05-03,93.7
2013-05-06,94.0
2013-05-07,94.2
2013-05-08,93.95
2013-05-09,93.95
2013-05-10,94.0
2013-05-11,94.25
2013-05-13,93.1
2013-05-14,94.0
2013-05-15,94.0
2013-05-16,93.15
2013-05-17,93.95
2013-05-20,93.45
2013-05-21,92.65
2013-05-22,90.85
2013-05-23,88.0
2013-05-24,91.5
2013-05-27,91.7
2013-05-28,90.9
2013-05-29,90.15
2013-05-30,90.15
2013-05-31,89.4
2013-06-03,88.05
2013-06-04,89.05
2013-06-05,88.95
2013-06-06,88.25
2013-06-07,88.6
2013-06-10,87.65
2013-06-11,82.35
2013-06-12,79.8
2013-06-13,78.15
2013-06-14,81.0
2013-06-17,82.35
2013-06-18,83.3
2013-06-19,82.8
2013-06-20,80.95
2013-06-21,81.5
2013-06-24,82.2
2013-06-25,80.45
2013-06-26,80.45
2013-06-27,81.4
2013-06-28,86.3
2013-07-01,88.65
2013-07-02,86.7
2013-07-03,82.55
2013-07-04,85.55
2013-07-05,85.8
2013-07-08,85.0
2013-07-09,85.55
2013-07-10,86.4
2013-07-11,88.3
2013-07-12,89.6
2013-07-15,88.6
2013-07-16,89.2
2013-07-17,91.0
2013-07-18,93.1
2013-07-19,92.5
2013-07-22,93.55
2013-07-23,94.5
2013-07-24,92.4
2013-07-25,89.65
2013-07-26,88.95
2013-07-29,88.2
2013-07-30,86.4
2013-07-31,88.05
2013-08-01,88.0
2013-08-02,84.5
2013-08-05,84.0
2013-08-06,71.4
2013-08-07,77.0
2013-08-08,77.7
2013-08-12,75.45
2013-08-13,76.4
2013-08-14,78.2
2013-08-16,73.45
2013-08-19,74.95
2013-08-20,73.55
2013-08-21,74.0
2013-08-22,74.65
2013-08-23,78.05
2013-08-26,77.7
2013-08-27,74.45
2013-08-28,77.1
2013-08-29,76.9
2013-08-30,75.85
2013-09-02,74.25
2013-09-03,71.95
2013-09-04,73.0
2013-09-05,72.55
2013-09-06,70.8
2013-09-10,72.4
2013-09-11,73.65
2013-09-12,76.7
2013-09-13,78.4
2013-09-16,76.25
2013-09-17,75.6
2013-09-18,78.15
2013-09-19,83.15
2013-09-20,82.3
2013-09-23,79.0
2013-09-24,80.85
2013-09-25,81.35
2013-09-26,82.45
2013-09-27,81.65
2013-09-30,81.15
2013-10-01,77.85
2013-10-03,81.15
2013-10-04,81.0
2013-10-07,81.85
2013-10-08,84.1
2013-10-09,85.85
2013-10-10,83.75
2013-10-11,81.75
2013-10-14,81.0
2013-10-15,79.3
2013-10-17,78.85
2013-10-18,79.85
2013-10-21,80.0
2013-10-22,82.0
2013-10-23,81.8
2013-10-24,81.05
2013-10-25,80.05
2013-10-28,79.1
2013-10-29,81.25
2013-10-30,80.6
2013-10-31,82.15
2013-11-01,82.5
2013-11-03,83.1
2013-11-05,83.45
2013-11-06,84.05
2013-11-07,81.95
2013-11-08,82.35
2013-11-11,81.6
2013-11-12,79.1
2013-11-13,77.7
2013-11-14,78.6
2013-11-18,78.9
2013-11-19,78.9
2013-11-20,79.45
2013-11-21,77.3
2013-11-22,76.9
2013-11-25,78.2
2013-11-26,77.65
2013-11-27,77.7
2013-11-28,78.1
2013-11-29,79.5
2013-12-02,79.95
2013-12-03,80.0
2013-12-04,82.0
2013-12-05,83.5
2013-12-06,88.4
2013-12-09,89.05
2013-12-10,87.75
2013-12-11,85.9
2013-12-12,89.25
2013-12-13,87.2
2013-12-16,88.85
2013-12-17,88.05
2013-12-18,91.6
2013-12-19,89.5
2013-12-20,90.7
2013-12-23,89.05
2013-12-24,86.25
2013-12-26,89.9
2013-12-27,89.65
2013-12-30,88.85
2013-12-31,91.35
2014-01-01,90.4
2014-01-02,87.35
2014-01-03,84.05
2014-01-06,81.85
2014-01-07,79.55
2014-01-08,81.0
2014-01-09,81.25
2014-01-10,80.35
