Date,SIMPLEXINF
2013-01-01,244.9
2013-01-02,238.0
2013-01-03,239.0
2013-01-04,231.45
2013-01-07,225.5
2013-01-08,223.0
2013-01-09,227.05
2013-01-10,226.4
2013-01-11,221.3
2013-01-14,219.55
2013-01-15,217.8
2013-01-16,212.25
2013-01-17,205.95
2013-01-18,203.7
2013-01-21,196.75
2013-01-22,194.85
2013-01-23,194.3
2013-01-24,188.9
2013-01-25,187.3
2013-01-28,188.1
2013-01-29,185.05
2013-01-30,185.1
2013-01-31,184.3
2013-02-01,183.75
2013-02-04,180.85
2013-02-05,176.7
2013-02-06,176.95
2013-02-07,171.75
2013-02-08,168.55
2013-02-11,168.0
2013-02-12,164.05
2013-02-13,161.45
2013-02-14,164.65
2013-02-15,161.5
2013-02-18,165.3
2013-02-19,166.75
2013-02-20,164.85
2013-02-21,168.75
2013-02-22,164.6
2013-02-25,161.0
2013-02-26,160.05
2013-02-27,155.8
2013-02-28,152.15
2013-03-01,150.15
2013-03-04,151.4
2013-03-05,152.05
2013-03-06,150.7
2013-03-07,147.65
2013-03-08,145.9
2013-03-11,145.65
2013-03-12,142.95
2013-03-13,139.65
2013-03-14,136.8
2013-03-15,137.0
2013-03-18,130.5
2013-03-19,128.2
2013-03-20,125.4
2013-03-21,127.3
2013-03-22,124.6
2013-03-25,121.8
2013-03-26,116.95
2013-03-28,114.4
2013-04-01,114.25
2013-04-02,115.6
2013-04-03,113.9
2013-04-04,110.75
2013-04-05,111.75
2013-04-08,108.9
2013-04-09,106.15
2013-04-10,106.55
2013-04-11,111.35
2013-04-12,110.1
2013-04-15,114.0
2013-04-16,127.95
2013-04-17,127.7
2013-04-18,121.35
2013-04-22,123.6
2013-04-23,119.1
2013-04-25,118.3
2013-04-26,117.95
2013-04-29,116.7
2013-04-30,115.85
2013-05-02,113.8
2013-05-03,111.2
2013-05-06,112.9
2013-05-07,115.35
2013-05-08,115.3
2013-05-09,114.65
2013-05-10,115.85
2013-05-11,116.2
2013-05-13,112.5
2013-05-14,110.5
2013-05-15,112.45
2013-05-16,110.4
2013-05-17,108.5
2013-05-20,109.7
2013-05-21,108.1
2013-05-22,105.2
2013-05-23,103.95
2013-05-24,102.8
2013-05-27,105.65
2013-05-28,106.25
2013-05-29,104.4
2013-05-30,102.65
2013-05-31,102.6
2013-06-03,100.35
2013-06-04,99.7
2013-06-05,99.1
2013-06-06,100.3
2013-06-07,101.65
2013-06-10,98.4
2013-06-11,94.8
2013-06-12,94.45
2013-06-13,90.3
2013-06-14,92.15
2013-06-17,91.4
2013-06-18,91.35
2013-06-19,88.5
2013-06-20,86.2
2013-06-21,85.1
2013-06-24,82.95
2013-06-25,80.3
2013-06-26,75.95
