Date,VIVIMEDLAB
2013-01-01,338.4
2013-01-02,339.8
2013-01-03,343.2
2013-01-04,341.85
2013-01-07,340.6
2013-01-08,343.85
2013-01-09,340.25
2013-01-10,344.65
2013-01-11,341.55
2013-01-14,341.1
2013-01-15,339.85
2013-01-16,338.65
2013-01-17,339.7
2013-01-18,338.95
2013-01-21,337.55
2013-01-22,333.4
2013-01-23,329.4
2013-01-24,328.8
2013-01-25,331.8
2013-01-28,347.75
2013-01-29,344.45
2013-01-30,338.25
2013-01-31,336.9
2013-02-01,335.2
2013-02-04,331.5
2013-02-05,330.65
2013-02-06,329.35
2013-02-07,326.0
2013-02-08,331.0
2013-02-11,328.1
2013-02-12,325.0
2013-02-13,326.9
2013-02-14,320.45
2013-02-15,328.0
2013-02-18,324.65
2013-02-19,329.55
2013-02-20,328.65
2013-02-21,322.1
2013-02-22,323.2
2013-02-25,319.85
2013-02-26,290.8
2013-02-27,289.1
2013-02-28,278.85
2013-03-01,294.0
2013-03-04,302.65
2013-03-05,299.05
2013-03-06,298.0
2013-03-07,298.45
2013-03-08,297.5
2013-03-11,298.3
2013-03-12,296.45
2013-03-13,295.35
2013-03-14,297.0
2013-03-15,294.55
2013-03-18,292.75
2013-03-19,286.55
2013-03-20,284.9
2013-03-21,285.5
2013-03-22,279.1
2013-03-25,281.1
2013-03-26,279.7
2013-03-28,280.8
2013-04-01,287.45
2013-04-02,290.45
2013-04-03,288.4
2013-04-04,285.2
2013-04-05,285.3
2013-04-08,284.65
2013-04-09,282.9
2013-04-10,284.75
2013-04-11,286.1
2013-04-12,282.7
2013-04-15,281.05
2013-04-16,279.9
2013-04-17,280.95
2013-04-18,290.2
2013-04-22,290.4
2013-04-23,289.9
2013-04-25,288.75
2013-04-26,288.2
2013-04-29,289.65
2013-04-30,289.9
2013-05-02,299.45
2013-05-03,298.7
2013-05-06,297.7
2013-05-07,297.0
2013-05-08,297.8
2013-05-09,291.95
2013-05-10,288.8
2013-05-11,289.65
2013-05-13,286.85
2013-05-14,287.4
2013-05-15,290.4
2013-05-16,291.2
2013-05-17,295.85
2013-05-20,296.85
2013-05-21,296.7
2013-05-22,296.2
2013-05-23,292.15
2013-05-24,291.0
2013-05-27,290.2
2013-05-28,290.1
2013-05-29,288.8
2013-05-30,288.1
2013-05-31,281.35
2013-06-03,279.7
2013-06-04,279.8
2013-06-05,284.95
2013-06-06,287.7
2013-06-07,282.6
2013-06-10,281.25
2013-06-11,278.6
2013-06-12,275.95
2013-06-13,274.7
2013-06-14,278.1
2013-06-17,272.75
2013-06-18,275.15
2013-06-19,279.25
2013-06-20,274.75
2013-06-21,272.8
2013-06-24,267.95
2013-06-25,262.65
2013-06-26,257.3
2013-06-27,260.25
2013-06-28,259.2
2013-07-01,260.1
2013-07-02,257.2
2013-07-03,253.05
2013-07-04,254.7
2013-07-05,249.35
2013-07-08,252.3
2013-07-09,249.05
2013-07-10,248.75
2013-07-11,248.6
2013-07-12,247.1
2013-07-15,248.5
2013-07-16,244.9
2013-07-17,242.75
2013-07-18,243.2
2013-07-19,239.9
2013-07-22,235.4
2013-07-23,235.85
2013-07-24,216.55
2013-07-25,173.25
2013-07-26,138.6
2013-07-29,124.75
2013-07-30,112.3
2013-07-31,101.1
2013-08-01,106.15
2013-08-02,111.45
2013-08-05,117.0
2013-08-06,122.85
2013-08-07,128.95
2013-08-08,135.35
2013-08-12,142.1
2013-08-13,149.2
2013-08-14,156.65
2013-08-16,164.45
2013-08-19,167.1
2013-08-20,168.1
2013-08-21,160.0
2013-08-22,159.3
2013-08-23,154.5
2013-08-26,153.05
2013-08-27,151.9
2013-08-28,146.55
2013-08-29,146.4
2013-08-30,145.45
2013-09-02,150.0
2013-09-03,156.7
2013-09-04,159.4
2013-09-05,160.9
2013-09-06,156.9
2013-09-10,159.1
2013-09-11,158.9
2013-09-12,154.9
2013-09-13,157.45
2013-09-16,155.0
2013-09-17,154.9
2013-09-18,154.7
2013-09-19,153.35
2013-09-20,153.4
2013-09-23,153.25
2013-09-24,152.85
2013-09-25,149.2
2013-09-26,153.1
2013-09-27,150.45
2013-09-30,148.0
2013-10-01,144.7
2013-10-03,144.8
2013-10-04,143.95
2013-10-07,143.9
2013-10-08,143.9
2013-10-09,146.5
2013-10-10,147.7
2013-10-11,162.45
2013-10-14,178.65
2013-10-15,181.7
2013-10-17,174.95
2013-10-18,183.65
2013-10-21,192.8
2013-10-22,199.5
2013-10-23,195.45
2013-10-24,192.05
2013-10-25,182.6
2013-10-28,185.75
2013-10-29,187.6
2013-10-30,188.45
2013-10-31,179.6
2013-11-01,188.4
2013-11-03,186.55
2013-11-05,184.0
2013-11-06,183.75
2013-11-07,178.2
2013-11-08,182.5
2013-11-11,176.6
2013-11-12,178.35
2013-11-13,175.85
2013-11-14,176.05
2013-11-18,175.35
2013-11-19,178.6
2013-11-20,189.1
2013-11-21,184.3
2013-11-22,184.1
2013-11-25,181.45
2013-11-26,181.8
2013-11-27,176.15
2013-11-28,177.05
2013-11-29,178.9
2013-12-02,178.45
2013-12-03,177.65
2013-12-04,178.05
2013-12-05,179.35
2013-12-06,177.0
2013-12-09,174.55
2013-12-10,172.6
2013-12-11,172.0
2013-12-12,169.35
2013-12-13,165.85
2013-12-16,163.25
2013-12-17,178.2
2013-12-18,186.75
2013-12-19,184.1
2013-12-20,187.4
2013-12-23,198.7
2013-12-24,199.25
2013-12-26,199.7
2013-12-27,196.35
2013-12-30,193.1
2013-12-31,186.95
2014-01-01,194.85
2014-01-02,199.05
2014-01-03,198.8
2014-01-06,198.05
2014-01-07,206.8
2014-01-08,215.15
2014-01-09,207.65
2014-01-10,204.75
2014-01-13,202.15
2014-01-14,198.25
2014-01-15,194.05
2014-01-16,195.8
2014-01-17,190.3
2014-01-20,192.0
2014-01-21,192.3
2014-01-22,192.45
2014-01-23,192.3
2014-01-24,192.25
2014-01-27,185.85
2014-01-28,186.6
2014-01-29,184.25
2014-01-30,181.3
2014-01-31,182.75
2014-02-03,183.65
2014-02-04,181.0
2014-02-05,180.2
2014-02-06,181.75
2014-02-07,181.1
2014-02-10,181.3
2014-02-11,182.25
2014-02-12,178.1
2014-02-13,174.65
2014-02-14,174.6
2014-02-17,172.05
2014-02-18,169.55
2014-02-19,169.5
2014-02-20,168.7
2014-02-21,167.7
2014-02-24,168.95
2014-02-25,168.85
2014-02-26,167.7
2014-02-28,169.75
2014-03-03,165.8
2014-03-04,166.4
2014-03-05,164.6
2014-03-06,165.35
2014-03-07,165.6
2014-03-10,162.95
2014-03-11,161.85
2014-03-12,161.8
2014-03-13,162.35
2014-03-14,166.2
2014-03-18,166.8
2014-03-19,171.05
2014-03-20,168.1
2014-03-21,168.5
2014-03-22,174.65
2014-03-24,180.0
2014-03-25,182.35
2014-03-26,176.8
2014-03-27,173.65
2014-03-28,172.65
2014-03-31,176.0
2014-04-01,176.0
2014-04-02,176.6
2014-04-03,172.3
2014-04-04,186.25
2014-04-07,191.35
2014-04-09,209.65
2014-04-10,225.75
2014-04-11,225.6
2014-04-15,217.75
2014-04-16,231.45
2014-04-17,229.75
2014-04-21,235.65
2014-04-22,231.2
2014-04-23,228.9
2014-04-25,259.3
2014-04-28,265.2
2014-04-29,257.85
2014-04-30,258.05
2014-05-02,251.8
2014-05-05,244.35
2014-05-06,245.25
2014-05-07,244.9
2014-05-08,236.95
2014-05-09,238.2
2014-05-12,233.75
