Date,ICRA
2013-01-01,1488.25
2013-01-02,1475.45
2013-01-03,1451.25
2013-01-04,1447.25
2013-01-07,1447.45
2013-01-08,1443.0
2013-01-09,1431.95
2013-01-10,1412.9
2013-01-11,1396.15
2013-01-14,1398.9
2013-01-15,1418.0
2013-01-16,1418.85
2013-01-17,1444.55
2013-01-18,1444.9
2013-01-21,1448.2
2013-01-22,1434.2
2013-01-23,1421.65
2013-01-24,1433.25
2013-01-25,1440.05
2013-01-28,1360.1
2013-01-29,1303.35
2013-01-30,1301.95
2013-01-31,1297.05
2013-02-01,1275.85
2013-02-04,1258.1
2013-02-05,1264.95
2013-02-06,1272.65
2013-02-07,1262.85
2013-02-08,1266.55
2013-02-11,1265.15
2013-02-12,1249.2
2013-02-13,1243.0
2013-02-14,1239.4
2013-02-15,1256.4
2013-02-18,1269.75
2013-02-19,1305.65
2013-02-20,1282.65
2013-02-21,1268.2
2013-02-22,1268.95
2013-02-25,1240.55
2013-02-26,1228.35
2013-02-27,1219.85
2013-02-28,1199.95
2013-03-01,1198.05
2013-03-04,1151.35
2013-03-05,1148.55
2013-03-06,1126.35
2013-03-07,1095.95
2013-03-08,1089.1
2013-03-11,1086.9
2013-03-12,1089.0
2013-03-13,1081.55
2013-03-14,1060.75
2013-03-15,1050.4
2013-03-18,1058.85
2013-03-19,1050.0
2013-03-20,1037.9
2013-03-21,1026.7
2013-03-22,1011.15
2013-03-25,1017.6
2013-03-26,1006.35
2013-03-28,1009.9
2013-04-01,1042.65
2013-04-02,1104.75
2013-04-03,1112.0
2013-04-04,1065.95
2013-04-05,1054.75
2013-04-08,1054.55
2013-04-09,1032.0
2013-04-10,1029.75
2013-04-11,1029.15
2013-04-12,1029.45
2013-04-15,1028.7
2013-04-16,1031.85
2013-04-17,1027.45
2013-04-18,1016.4
2013-04-22,1018.15
2013-04-23,1018.85
2013-04-25,1021.15
2013-04-26,1020.95
2013-04-29,1034.05
2013-04-30,1050.7
2013-05-02,1069.95
2013-05-03,1073.55
2013-05-06,1071.1
2013-05-07,1070.95
2013-05-08,1130.6
2013-05-09,1117.05
2013-05-10,1104.35
2013-05-11,1112.2
2013-05-13,1069.9
2013-05-14,1064.6
2013-05-15,1070.4
2013-05-16,1060.35
2013-05-17,1074.05
2013-05-20,1064.9
2013-05-21,1061.55
2013-05-22,1032.5
2013-05-23,991.3
2013-05-24,984.3
2013-05-27,993.05
2013-05-28,996.05
2013-05-29,993.55
2013-05-30,995.25
2013-05-31,964.65
2013-06-03,1091.3
2013-06-04,1011.6
2013-06-05,1005.65
2013-06-06,1013.4
2013-06-07,1004.05
2013-06-10,998.95
2013-06-11,985.35
2013-06-12,986.3
2013-06-13,982.1
2013-06-14,988.6
2013-06-17,1024.0
2013-06-18,1011.25
2013-06-19,996.0
2013-06-20,989.85
2013-06-21,993.7
2013-06-24,988.3
2013-06-25,979.65
2013-06-26,963.95
