Date,J&KBANK
2013-01-01,1311.6
2013-01-02,1321.05
2013-01-03,1316.0
2013-01-04,1323.4
2013-01-07,1315.65
2013-01-08,1317.1
2013-01-09,1315.45
2013-01-10,1316.25
2013-01-11,1315.15
2013-01-14,1326.2
2013-01-15,1358.25
2013-01-16,1320.8
2013-01-17,1315.95
2013-01-18,1315.7
2013-01-21,1316.1
2013-01-22,1300.6
2013-01-23,1301.45
2013-01-24,1250.75
2013-01-25,1279.85
2013-01-28,1319.25
2013-01-29,1313.5
2013-01-30,1332.0
2013-01-31,1370.1
2013-02-01,1373.7
2013-02-04,1399.2
2013-02-05,1394.05
2013-02-06,1337.15
2013-02-07,1325.75
2013-02-08,1316.65
2013-02-11,1315.25
2013-02-12,1303.2
2013-02-13,1299.2
2013-02-14,1293.6
2013-02-15,1295.55
2013-02-18,1289.55
2013-02-19,1306.95
2013-02-20,1322.3
2013-02-21,1294.05
2013-02-22,1305.05
2013-02-25,1295.0
2013-02-26,1282.2
2013-02-27,1301.85
2013-02-28,1262.3
2013-03-01,1282.2
2013-03-04,1266.45
2013-03-05,1268.3
2013-03-06,1260.3
2013-03-07,1269.15
2013-03-08,1266.55
2013-03-11,1276.4
2013-03-12,1316.8
2013-03-13,1299.55
2013-03-14,1315.0
2013-03-15,1300.7
2013-03-18,1293.1
2013-03-19,1280.45
2013-03-20,1225.35
2013-03-21,1238.9
2013-03-22,1227.1
2013-03-25,1217.8
2013-03-26,1187.65
2013-03-28,1191.7
2013-04-01,1216.7
2013-04-02,1206.4
2013-04-03,1197.2
2013-04-04,1173.2
2013-04-05,1173.0
2013-04-08,1142.3
2013-04-09,1103.4
2013-04-10,1153.15
2013-04-11,1179.7
2013-04-12,1189.25
2013-04-15,1217.05
2013-04-16,1234.95
2013-04-17,1252.85
2013-04-18,1272.1
2013-04-22,1255.35
2013-04-23,1280.25
2013-04-25,1290.85
2013-04-26,1285.1
2013-04-29,1325.6
2013-04-30,1362.7
2013-05-02,1374.5
2013-05-03,1326.8
2013-05-06,1341.3
2013-05-07,1360.2
2013-05-08,1333.8
2013-05-09,1340.3
2013-05-10,1361.7
2013-05-11,1357.85
2013-05-13,1339.75
2013-05-14,1334.1
2013-05-15,1345.2
2013-05-16,1317.25
2013-05-17,1318.6
2013-05-20,1317.4
2013-05-21,1269.05
2013-05-22,1265.75
2013-05-23,1268.4
2013-05-24,1242.0
2013-05-27,1256.15
2013-05-28,1257.65
2013-05-29,1242.55
2013-05-30,1220.35
2013-05-31,1223.2
2013-06-03,1220.1
2013-06-04,1221.75
2013-06-05,1249.65
2013-06-06,1267.3
2013-06-07,1278.0
2013-06-10,1283.05
2013-06-11,1270.1
2013-06-12,1262.6
2013-06-13,1218.15
2013-06-14,1211.45
2013-06-17,1218.2
2013-06-18,1217.45
2013-06-19,1213.05
2013-06-20,1203.85
2013-06-21,1182.0
2013-06-24,1126.3
2013-06-25,1165.35
2013-06-26,1144.8
2013-06-27,1166.5
2013-06-28,1226.25
2013-07-01,1226.2
2013-07-02,1236.85
2013-07-03,1206.35
2013-07-04,1223.4
2013-07-05,1227.8
2013-07-08,1219.55
2013-07-09,1221.1
2013-07-10,1229.25
2013-07-11,1230.8
2013-07-12,1235.85
2013-07-15,1278.45
2013-07-16,1245.35
2013-07-17,1241.6
2013-07-18,1242.4
2013-07-19,1247.2
2013-07-22,1258.6
2013-07-23,1244.1
2013-07-24,1209.05
2013-07-25,1178.15
2013-07-26,1130.45
2013-07-29,1110.7
2013-07-30,1101.65
2013-07-31,1121.85
2013-08-01,1095.2
2013-08-02,1099.4
2013-08-05,1120.55
2013-08-06,1066.2
2013-08-07,1038.3
2013-08-08,1013.6
2013-08-12,1065.3
2013-08-13,1050.3
2013-08-14,1097.2
2013-08-16,1089.55
2013-08-19,1072.95
2013-08-20,1046.6
2013-08-21,1084.4
2013-08-22,1095.5
2013-08-23,1125.4
2013-08-26,1101.5
2013-08-27,1082.85
2013-08-28,1057.55
2013-08-29,1117.6
2013-08-30,1115.55
2013-09-02,1080.5
2013-09-03,1055.25
2013-09-04,1051.2
2013-09-05,1121.75
