Date,MANGLMCEM
2013-01-01,183.3
2013-01-02,186.1
2013-01-03,185.2
2013-01-04,185.5
2013-01-07,180.4
2013-01-08,180.35
2013-01-09,179.1
2013-01-10,175.55
2013-01-11,163.2
2013-01-14,161.65
2013-01-15,162.7
2013-01-16,160.45
2013-01-17,157.35
2013-01-18,154.9
2013-01-21,155.7
2013-01-22,158.35
2013-01-23,155.05
2013-01-24,152.8
2013-01-25,154.75
2013-01-28,157.45
2013-01-29,157.65
2013-01-30,156.1
2013-01-31,157.85
2013-02-01,154.7
2013-02-04,155.2
2013-02-05,153.4
2013-02-06,155.0
2013-02-07,150.2
2013-02-08,151.3
2013-02-11,150.4
2013-02-12,143.0
2013-02-13,146.15
2013-02-14,145.1
2013-02-15,142.3
2013-02-18,145.25
2013-02-19,146.85
2013-02-20,146.7
2013-02-21,142.8
2013-02-22,145.35
2013-02-25,144.15
2013-02-26,140.1
2013-02-27,141.85
2013-02-28,141.6
2013-03-01,139.85
2013-03-04,134.55
2013-03-05,137.5
2013-03-06,142.65
2013-03-07,142.2
2013-03-08,145.0
2013-03-11,144.4
2013-03-12,141.0
2013-03-13,138.55
2013-03-14,137.55
2013-03-15,138.1
2013-03-18,138.25
2013-03-19,137.15
2013-03-20,133.4
2013-03-21,131.3
2013-03-22,130.7
2013-03-25,131.55
2013-03-26,130.7
2013-03-28,133.05
2013-04-01,134.35
2013-04-02,138.6
2013-04-03,140.05
2013-04-04,134.95
2013-04-05,132.1
2013-04-08,130.3
2013-04-09,126.4
2013-04-10,126.95
2013-04-11,126.9
2013-04-12,125.0
2013-04-15,123.7
2013-04-16,124.0
2013-04-17,126.85
2013-04-18,126.45
2013-04-22,129.75
2013-04-23,130.75
2013-04-25,132.9
2013-04-26,133.5
2013-04-29,136.4
2013-04-30,142.85
2013-05-02,141.85
2013-05-03,125.3
2013-05-06,126.75
2013-05-07,125.55
2013-05-08,127.7
2013-05-09,128.75
2013-05-10,128.0
2013-05-11,127.25
2013-05-13,124.2
2013-05-14,123.15
2013-05-15,122.4
2013-05-16,118.45
2013-05-17,120.55
2013-05-20,121.55
2013-05-21,120.8
2013-05-22,120.45
2013-05-23,119.85
2013-05-24,120.2
2013-05-27,120.1
2013-05-28,121.2
2013-05-29,120.75
2013-05-30,120.05
2013-05-31,121.15
2013-06-03,120.7
2013-06-04,119.3
2013-06-05,118.65
2013-06-06,119.4
2013-06-07,122.3
2013-06-10,122.5
2013-06-11,124.45
2013-06-12,121.8
2013-06-13,120.75
2013-06-14,121.4
2013-06-17,121.25
2013-06-18,121.7
2013-06-19,121.55
2013-06-20,119.3
2013-06-21,117.8
2013-06-24,115.6
2013-06-25,115.0
2013-06-26,113.95
2013-06-27,115.0
2013-06-28,119.55
2013-07-01,122.8
2013-07-02,122.1
2013-07-03,122.05
2013-07-04,122.7
2013-07-05,121.9
2013-07-08,127.4
2013-07-09,125.4
2013-07-10,125.8
2013-07-11,125.9
2013-07-12,126.2
2013-07-15,126.8
2013-07-16,126.85
2013-07-17,123.3
2013-07-18,117.0
2013-07-19,115.75
2013-07-22,112.4
2013-07-23,110.45
2013-07-24,108.8
2013-07-25,107.8
2013-07-26,103.05
2013-07-29,101.05
2013-07-30,99.7
2013-07-31,98.55
2013-08-01,96.5
2013-08-02,88.65
2013-08-05,90.6
2013-08-06,89.65
2013-08-07,90.15
2013-08-08,92.4
2013-08-12,97.0
2013-08-13,100.5
2013-08-14,102.25
2013-08-16,97.4
2013-08-19,95.9
2013-08-20,96.35
2013-08-21,98.0
2013-08-22,97.5
2013-08-23,98.0
2013-08-26,98.7
2013-08-27,94.8
2013-08-28,91.65
2013-08-29,93.55
2013-08-30,94.05
2013-09-02,94.75
2013-09-03,94.6
2013-09-04,95.3
2013-09-05,95.6
2013-09-06,96.15
2013-09-10,95.25
2013-09-11,97.65
2013-09-12,101.95
2013-09-13,101.9
2013-09-16,100.05
2013-09-17,99.8
2013-09-18,99.55
2013-09-19,101.7
2013-09-20,100.8
2013-09-23,99.7
2013-09-24,99.1
2013-09-25,99.8
2013-09-26,99.55
2013-09-27,99.35
2013-09-30,98.5
2013-10-01,98.95
2013-10-03,99.9
2013-10-04,99.95
2013-10-07,100.0
2013-10-08,101.9
2013-10-09,105.2
2013-10-10,104.45
2013-10-11,102.5
2013-10-14,102.05
2013-10-15,101.25
2013-10-17,100.35
2013-10-18,100.1
2013-10-21,103.2
2013-10-22,102.5
2013-10-23,101.95
2013-10-24,101.4
2013-10-25,102.85
2013-10-28,100.95
2013-10-29,100.4
2013-10-30,102.05
2013-10-31,101.95
2013-11-01,102.6
2013-11-03,104.85
2013-11-05,107.2
2013-11-06,107.9
2013-11-07,104.6
2013-11-08,103.9
2013-11-11,101.9
2013-11-12,101.9
2013-11-13,99.7
2013-11-14,102.2
2013-11-18,105.0
2013-11-19,105.0
2013-11-20,104.2
2013-11-21,104.05
2013-11-22,102.15
2013-11-25,102.65
2013-11-26,102.2
2013-11-27,100.7
2013-11-28,102.7
2013-11-29,101.85
2013-12-02,103.6
2013-12-03,101.95
2013-12-04,104.3
2013-12-05,107.45
2013-12-06,107.2
2013-12-09,112.35
2013-12-10,108.35
2013-12-11,107.2
